Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2XxhvgTmhvJPbZ0P3uFTrz,"Something Real","FLEDGE - EP","Malz Monday",2019-08-12,182293,0,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:26:38Z,"","Pine Nation Entertainment INC",0.457,0.709,0,-6.449,1,0.261,0.0473,0,0.162,0.601,79.103,4
0trHOzAhNpGCsGBEu7dOJo,"N.Y. State of Mind","Illmatic","Nas",1994-04-19,293973,71,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:26:58Z,"east coast hip hop,hip hop","Columbia",0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,4
2LhhnqrHPWvXYveZVHLKrd,"Life's a Bitch (feat. AZ & Olu Dara)","Illmatic","Nas,AZ,Olu Dara",1994-04-19,210840,61,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:03Z,"east coast hip hop,hip hop,boom bap","Columbia",0.775,0.734,7,-5.41,1,0.215,0.00138,0,0.304,0.342,90.001,4
7G3lxTsMfSx4yarMkfgnTC,"The World Is Yours","Illmatic","Nas",1994-04-19,290573,67,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:08Z,"east coast hip hop,hip hop","Columbia",0.678,0.794,10,-6.186,0,0.14,0.274,0.00000168,0.124,0.54,87.374,4
2PRsh2LNPxoxC9OnErnelg,"Halftime","Illmatic","Nas",1994-04-19,260799,58,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:12Z,"east coast hip hop,hip hop","Columbia",0.766,0.793,4,-6.638,0,0.166,0.0303,0.00000809,0.173,0.652,91.925,4
27u3Rh4IWYPdwVST20ALrt,"One Love (feat. Q-Tip)","Illmatic","Nas,Q-Tip",1994-04-19,325653,55,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:20Z,"east coast hip hop,hip hop","Columbia",0.765,0.687,0,-6.664,1,0.259,0.216,0,0.104,0.813,92.873,4
2CPturRUlpvirYr7VpkXCV,"It Ain't Hard to Tell","Illmatic","Nas",1994-04-19,202106,64,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:24Z,"east coast hip hop,hip hop","Columbia",0.69,0.729,11,-5.819,0,0.221,0.000017,0.0431,0.152,0.357,91.376,4
2igwFfvr1OAGX9SKDCPBwO,"Empire State Of Mind","The Blueprint 3","JAY-Z,Alicia Keys",2009-09-08,276920,81,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:34Z,"hip hop,east coast hip hop,rap,r&b,neo soul","Roc Nation / Jay-Z",0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,4
1FVUFtrQnIqgwEXrRb2Qrr,"Outside!","FM!","Vince Staples",2018-11-02,125120,35,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:46Z,"","Def Jam Recordings",0.906,0.807,6,-4.035,0,0.125,0.318,0,0.12,0.668,100.062,4
6Bxy3KpK4ygO2X9QAiOQ3W,"ꞌCosmicꞌ.m4a","UNLOCKED","Denzel Curry,Kenny Beats",2020-02-07,166653,46,wkkmmfvtr9yeaxearnh7lnmnm,2025-03-12T21:27:55Z,"punk rap","Loma Vista Recordings",0.685,0.789,7,-6.04,1,0.415,0.377,0,0.688,0.527,96.301,4
