Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0jGmBA9jESBGNHE9FK6mST,"I Wish You Were Dead","Sleepless Empire","Lacuna Coil",2025-02-14,172280,53,,2025-03-11T13:54:57Z,"gothic metal,symphonic metal,metal,symphonic rock,melodic metal","Century Media",0.475,0.78,5,-4.325,0,0.0286,0.000151,0.0000226,0.376,0.347,99.035,4
2zSb2Db4kNYH5qIs5V3BgG,"Screaming Suicide","72 Seasons","Metallica",2023-04-14,330453,49,,2025-03-11T13:54:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.425,0.972,4,-3.448,0,0.045,0.0000242,0.0202,0.239,0.282,101.125,4
08IpZZZPvzDMED3oq9F8Or,"Floods of Triton","Floods of Triton","Mastodon,Lamb of God",2024-09-12,269583,54,,2025-03-11T13:54:57Z,"progressive metal,sludge metal,metal,stoner rock,groove metal,heavy metal,nu metal,death metal","Loma Vista Recordings",0.466,0.989,7,-2.752,1,0.113,0.000069,0.000919,0.301,0.137,102.521,4
6V65rowmWJM1QeAM4Nk4BG,"Residue","Residue","Kerry King",2024-04-12,278338,44,,2025-03-11T13:54:57Z,"thrash metal,metal","Reigning Phoenix Music",0.255,0.956,8,-2.907,1,0.225,0.000323,0.0000357,0.074,0.102,158.771,4
4AFjPeecGnS3999PV5iOSK,"Mea Culpa (Ah! Ça ira!)","Mea Culpa (Ah! Ça ira!)","Gojira,Marina Viotti,Victor Le Masne",2024-08-30,173160,63,,2025-03-11T13:54:57Z,"metal,progressive metal,groove metal,death metal,djent","BMG Rights Management (UK) Ltd.",0.206,0.89,7,-5.277,0,0.0468,0.00144,0.0975,0.356,0.249,90.349,4
6lF3rwnMFBlbZeCWwZTWoS,"The Gallows","The Gallows","Black Label Society",2024-09-10,230375,44,,2025-03-11T13:54:57Z,"groove metal,metal,heavy metal","MNRK Music",0.378,0.942,6,-4.777,1,0.0891,0.000259,0.00000674,0.341,0.431,158.063,4
2XXXvrIkEBtR3LlbfJExpJ,"Perfume Of The Timeless","Perfume Of The Timeless","Nightwish",2024-05-21,492106,46,,2025-03-11T13:54:57Z,"symphonic metal,gothic metal,power metal,symphonic rock,melodic metal,metal,folk metal","Nuclear Blast",0.479,0.682,2,-10.11,0,0.0326,0.00354,0.018,0.109,0.23,128.026,4
69rXxY0Vbo9Z2BCYfKlWdF,"Night Terror - Radio Edit","Night Terror","Dream Theater",2024-10-11,361130,43,,2025-03-11T13:54:57Z,"progressive metal,progressive rock,metal","InsideOutMusic",0.279,0.951,6,-5.832,0,0.065,0.000638,0.0105,0.0862,0.35,107.205,4
2wwxE7Ww8UfcDtXCiLlnsB,"No Loss, No Love","Tsunami Sea","Spiritbox",2025-03-07,176466,57,,2025-03-11T13:54:57Z,"metalcore,djent,metal","Rise Records",0.594,0.942,8,-5.56,1,0.192,0.000194,0.135,0.107,0.249,137.035,4
3LmcjJ7e4tlRqwYs2VNRq0,"While We Serve","The Forgotten","Orbit Culture",2023-12-01,362500,50,,2025-03-11T13:54:57Z,"melodic death metal,metal,groove metal,deathcore,death metal","Seek & Strike",0.451,0.992,2,-2.651,1,0.131,0.000413,0.00238,0.107,0.0398,104.531,4
