Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0fsgieABBLYkx6rk5N3JUD,"NISSAN ALTIMA","NISSAN ALTIMA","Doechii",2024-08-02,128132,65,,2024-08-07T22:41:32Z,"","Top Dawg Entertainment/Capitol Records",0.975,0.71,11,-5.14,0,0.198,0.0954,0.00003,0.0845,0.314,117.021,4
49oKnEjgRSs3DMXScEU2G1,"Gangsta","Gangsta","Free Nationals,A$AP Rocky,Anderson .Paak",2024-02-23,194520,54,,2024-08-07T22:41:32Z,"rap","APESHIT, LLC. / EMPIRE",0.642,0.784,9,-5.098,0,0.121,0.429,0.000166,0.225,0.518,79.969,4
57L5EYzCfHS7Jd58rV33lW,"HIGHJACK","HIGHJACK","A$AP Rocky,Jessica Pratt",2024-08-02,190074,72,,2024-08-07T22:41:32Z,"rap","A$AP Worldwide",0.61,0.682,7,-4.877,1,0.123,0.318,0,0.321,0.694,142.966,4
7k0QYUgeKHmNuroFKUbQbw,"On Up","On Up","Big Sean",2024-08-02,150763,39,,2024-08-07T22:41:32Z,"","FF to Def Entertainment/Def Jam PS",0.521,0.7,8,-6.214,0,0.189,0.167,0,0.115,0.344,95.074,4
0i1bokCJ95evU1gb5HcXFy,"Never Lose Me (feat. SZA & Cardi B)","Fine Ho, Stay","Flo Milli,SZA,Cardi B",2024-03-15,165754,69,,2024-08-07T22:41:32Z,"r&b","'94 Sounds/RCA Records",0.812,0.537,1,-8.187,1,0.0934,0.0389,0.00000543,0.17,0.274,122.002,4
3Ojk8AKbhBtEW0UrCCbAn7,"high3r (feat. Lil Yachty & Lil Wayne)","high3r (feat. Lil Yachty & Lil Wayne)","Mike WiLL Made-It,Lil Yachty,Lil Wayne",2024-08-02,243902,48,,2024-08-07T22:41:32Z,"rap,hip hop","Giant Music",0.696,0.562,7,-7.543,0,0.11,0.212,0,0.174,0.538,123,4
4Na2HfNSr58chvfX69fy36,"one of wun","One of Wun","Gunna",2024-05-10,144000,82,,2024-08-07T22:41:32Z,"melodic rap","300 Entertainment",0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,4
4IFd7EVCyJsUHesBMXI8ju,"Parking Lot","Parking Lot","Mustard,Travis Scott",2024-06-21,172794,68,,2024-08-07T22:41:32Z,"rap","BMG Rights Management (US) LLC",0.724,0.555,3,-7.2,1,0.0507,0.17,0.0000261,0.322,0.408,100.047,4
0KFXE2mLTFdOKkTZEDgJPv,"ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN)","Attitude (feat. Charlie Wilson & Cash Cobain)","Don Toliver,Charlie Wilson,Cash Cobain",2024-05-22,161053,60,,2024-08-07T22:41:32Z,"sexy drill,jersey club","Cactus Jack / Atlantic",0.65,0.655,2,-5.43,1,0.0385,0.0285,0,0.159,0.432,154.993,4
3WqnBqYNdMlNBX4xNkOhrR,"Lady Killers III","Lady Killers III","G-Eazy",2024-05-02,176132,56,,2024-08-07T22:41:32Z,"","BPG/RVG/RCA Records",0.708,0.732,7,-6.766,0,0.145,0.0438,0,0.139,0.465,135.99,4
4OLpvmygTruvZfH1uyj6sS,"Workin On Me","Workin On Me","Russ,6LACK",2024-05-17,300016,64,,2024-08-07T22:41:32Z,"","DIEMON / 6lack appears courtesy of LVRN/Interscope Records",0.817,0.324,6,-7.729,0,0.0346,0.554,0.0000161,0.0912,0.247,121.965,4
3K5yjMCFHN4TRWKj1zdKIQ,"Yeern 101","Yeern 101","ScHoolboy Q",2024-02-15,140005,47,,2024-08-07T22:41:32Z,"","Top Dawg Entertainment/Interscope Records",0.865,0.79,11,-6.676,1,0.11,0.17,0,0.117,0.288,137.994,4
7pDfRnoEDRkcz7bQsOjnPc,"Enough (Miami)","Enough (Miami)","Cardi B",2024-03-15,158727,63,,2024-08-07T22:41:32Z,"","Atlantic Records",0.926,0.791,5,-4.553,1,0.273,0.00255,0,0.0772,0.473,139.166,5
4xhsWYTOGcal8zt0J161CU,"Lovin On Me","Lovin On Me","Jack Harlow",2023-11-10,138411,82,,2024-08-07T22:41:32Z,"","Generation Now/Atlantic",0.943,0.558,2,-4.911,1,0.0568,0.0026,0.00000219,0.0937,0.606,104.983,4
57wp7VFnV8X0pSVnYArGeJ,"Whatever She Wants","Whatever She Wants","Bryson Tiller",2024-02-13,161342,78,,2024-08-07T22:41:32Z,"r&b","TrapSoul/RCA Records",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,4
4HzV6IvuKEuKdh5O60v52u,"New Black History (feat. Vince Staples)","I LAY DOWN MY LIFE FOR YOU","JPEGMAFIA,Vince Staples",2024-08-01,136666,54,,2024-08-07T22:41:32Z,"experimental hip hop,alternative hip hop,experimental","2024 Peggy Under Exclusive License to AWAL Recordings America, Inc.",0.779,0.822,0,-3.066,1,0.0603,0.0662,0,0.122,0.89,122.946,4
2dshtwEGNpyrE0x69wUiHj,"DEEP IN THE WATER","Deep in the Water","Don Toliver",2024-03-14,170453,57,,2024-08-07T22:41:32Z,"","Cactus Jack / Atlantic",0.671,0.543,7,-5.45,0,0.0357,0.376,0.000209,0.11,0.112,124.051,4
1nQaTUDJ7Rc4yOvZmg9Ozr,"Mmhmm","Mmhmm","BigXthaPlug",2023-10-06,119015,64,,2024-08-07T22:41:32Z,"southern hip hop","BigXthaPlug under exclusive license to UnitedMasters LLC",0.93,0.682,9,-8.799,1,0.331,0.028,0,0.129,0.962,126.003,4
3lCb7ZYE3Fvie4JOPqpXfY,"FIELD TRIP","FIELD TRIP","¥$,Playboi Carti,Don Toliver,Kodak Black",2024-08-03,163155,70,,2024-08-07T22:41:32Z,"rage rap","YZY",0.731,0.685,11,-4.707,0,0.12,0.054,0,0.0865,0.458,121.991,4
