Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2FbD2sqUmAdjqqCBp0mn2g,"Foolish","Ashanti","Ashanti",2002-01-01,227386,0,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"r&b","Def Jam Recordings",0.665,0.696,0,-5.763,1,0.0521,0.337,0,0.106,0.711,90.116,4
47UnzjxpWvJKCverxM1OaS,"two nights part ii (Lykke Li x Skrillex x Ty Dolla $ign)","two nights part ii (Lykke Li x Skrillex x Ty Dolla $ign)","Lykke Li,Skrillex",2019-07-11,210994,33,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"dubstep,edm,electro,electronic","LL Recordings/RCA Records",0.711,0.684,0,-7.06,1,0.0892,0.244,0.0000721,0.0977,0.323,119.974,4
5YLGlPYkZBDXieMwzVve7g,"MOVE (feat. Grace Jones & Tems)","RENAISSANCE","Beyoncé,Grace Jones,Tems",2022-07-29,203383,61,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"art pop,afrobeats,alté,afrobeat","Parkwood Entertainment/Columbia",0.876,0.628,1,-6.595,1,0.0935,0.0165,0.0339,0.0938,0.809,118.028,4
2GQEM9JuHu30sGFvRYeCxz,"Faded","THE NIGHTDAY","ZHU",2014-09-11,223480,57,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"edm","Mind of a Genius",0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,124.979,4
4h1T8pUzl9VtudWWlVAxxz,"Mo Money Mo Problems (feat. P. Diddy, Ma$e) - 2005 Remaster","Bad Boy's 10th Anniversary- The Hits","The Notorious B.I.G.,Ma$e,Diddy",2004-03-09,253133,44,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"gangster rap,east coast hip hop,hip hop","Bad Boy Records",0.857,0.867,6,-4.952,0,0.063,0.0271,0,0.128,0.918,104.405,4
5dL5jv5GSCRoDhTtnY8maL,"Mesmerize","The Last Temptation","Ja Rule,Ashanti",2002-01-01,278693,61,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"east coast hip hop,r&b","I.G. Records, Inc./Universal Records",0.769,0.646,1,-6.653,1,0.199,0.0566,0,0.406,0.433,90.079,4
2PpruBYCo4H7WOBJ7Q2EwM,"Hey Ya!","Speakerboxxx/The Love Below","Outkast",2003,235213,81,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"southern hip hop,hip hop","Arista",0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,4
5EUr5hyFJ2y5BMBIjTNvbQ,"Black Moses (feat. JPEGMAFIA)","Black Moses (feat. JPEGMAFIA)","Channel Tres,JPEGMAFIA",2019-07-30,260224,34,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"hip house,experimental hip hop,alternative hip hop,experimental","GODMODE",0.912,0.431,1,-11.408,1,0.31,0.0767,0.00305,0.0559,0.592,89.043,4
7fBv7CLKzipRk6EC6TWHOB,"The Hills","Beauty Behind The Madness","The Weeknd",2015-08-28,242253,85,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"","Universal Republic Records",0.585,0.564,0,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,4
6EidGY4S6hkU6fwNdSSabg,"Oh Sheit it's X","Apocalypse","Thundercat",2013-06-03,227086,47,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"","Brainfeeder",0.632,0.682,4,-8.052,1,0.0459,0.000323,0.0248,0.142,0.532,122.983,3
7CH99b2i1TXS5P8UUyWtnM,"Them Changes","Drunk","Thundercat",2017-02-24,188453,69,21focq27ocnh36hhvz3btzlwy,2024-06-14T02:08:23Z,"","Brainfeeder",0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,4
