Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7EW7Yivb93qKAtp5qEm5of,"Dark Thoughts","Dark Thoughts","Lil Tecca",2025-03-14,136991,77,,2025-03-14T04:00:25Z,"melodic rap,rap","Galactic / Republic Records",0.801,0.773,1,-3.756,0,0.155,0.055,0,0.189,0.709,101.935,4
0nj9Bq5sHDiTxSHunhgkFb,"squabble up","GNX","Kendrick Lamar",2024-11-22,157992,91,,2025-03-14T04:00:25Z,"hip hop,west coast hip hop","pgLang, under exclusive license to Interscope Records",0.874,0.672,0,-5.568,1,0.198,0.0206,0,0.0783,0.711,103.921,4
57wp7VFnV8X0pSVnYArGeJ,"Whatever She Wants","Whatever She Wants","Bryson Tiller",2024-02-13,161342,78,,2025-03-14T04:00:25Z,"r&b","TrapSoul/RCA Records",0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,4
1ZWCDMKlV6FxgBesm4Iw09,"MUTT","MUTT (REMIX)","Leon Thomas",2024-08-30,193333,47,,2025-03-14T04:00:25Z,"","EZMNY Records/Motown Records",0.641,0.451,1,-8.102,1,0.123,0.195,0.00000692,0.0684,0.601,179.976,4
2kZoOj1n5vk9BuF0sih58M,"SOMEBODY LOVES ME","$ome $exy $ongs 4 U","PARTYNEXTDOOR,Drake",2025-02-14,182767,81,,2025-03-14T04:00:25Z,"r&b,rap,hip hop","OVO Sound",0.365,0.511,9,-6.14,1,0.0905,0.514,0,0.702,0.222,77.029,3
1musbempyJAw5gfSKZHXP9,"Anxiety","Anxiety","Doechii",2025-03-05,249302,90,,2025-03-14T04:00:25Z,"","Top Dawg Entertainment/Capitol Records",0.808,0.594,0,-6.838,1,0.0373,0.338,0.00054,0.105,0.888,129.023,4
3aSWXU6owkZeVhh94XxEWO,"30 For 30 (with Kendrick Lamar)","SOS Deluxe: LANA","SZA,Kendrick Lamar",2024-12-20,278276,89,,2025-03-14T04:00:25Z,"r&b,hip hop,west coast hip hop","Top Dawg Entertainment/RCA Records",0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4
5Nt2FMqnKI2mlp7lztURNo,"KEHLANI (REMIX) [feat. Kehlani]","KEHLANI (REMIX) [feat. Kehlani]","Jordan Adetunji,Kehlani",2024-06-20,179974,70,,2025-03-14T04:00:25Z,"sexy drill","300 Entertainment",0.408,0.699,6,-3.607,1,0.0559,0.0759,0,0.298,0.219,159.687,4
2n9fC0A4ptmWqYeMXEVaok,"GOOD CREDIT (with Kendrick Lamar)","MUSIC","Playboi Carti,Kendrick Lamar",2025-03-14,190373,83,,2025-03-14T14:34:10Z,"rage rap,hip hop,west coast hip hop","AWGE/Interscope Records",0.744,0.679,0,-7.375,1,0.219,0.0197,0.00000368,0.856,0.397,145.041,4
6QNR2YGST3W8EIhyrrrQvH,"Wheels Fall Off (feat. Ye)","Wheels Fall Off (feat. Ye)","Ty Dolla $ign,Yé",2025-02-08,121153,71,,2025-03-14T04:00:25Z,"","P2025",0.921,0.466,1,-8.086,0,0.306,0.0172,0,0.161,0.747,104.027,4
2u9S9JJ6hTZS3Vf22HOZKg,"NOKIA","$ome $exy $ongs 4 U","Drake",2025-02-14,241023,90,,2025-03-14T04:00:25Z,"rap,hip hop","OVO Sound",0.537,0.727,5,-4.184,1,0.15,0.247,0,0.173,0.508,106.037,4
0FIDCNYYjNvPVimz5icugS,"Timeless (feat Playboi Carti)","Hurry Up Tomorrow","The Weeknd,Playboi Carti",2025-01-31,256000,90,,2025-03-14T04:00:25Z,"rage rap","XO / Republic Records",0.768,0.775,11,-5.06,0,0.0466,0.069,0.00000296,0.138,0.6,119.999,4
2c7z5oRcPBbqRaBY2mLWcf,"NEW DROP","HARDSTONE PSYCHO","Don Toliver",2024-06-14,217333,84,,2025-03-14T04:00:25Z,"","Cactus Jack / Atlantic",0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4
68qeaZhtMZ6abrJCYt6nQn,"RATHER LIE (with The Weeknd)","MUSIC","Playboi Carti,The Weeknd",2025-03-14,209680,86,,2025-03-14T14:34:10Z,"rage rap","AWGE/Interscope Records",0.72,0.665,8,-4.431,1,0.0325,0.0583,0,0.213,0.279,132.991,4
3sZQ8L4aptFDJXBqdVdvO8,"Run It Up","Run It Up","Hanumankind",2025-03-06,173502,72,,2025-03-14T04:00:25Z,"malayalam hip hop,desi hip hop","Capitol Records/Universal Music India",0.635,0.604,7,-5.792,1,0.32,0.0921,0,0.0837,0.73,123.953,4
5MQw4sDFeFub72PLbRvsZv,"Classy Girl","Classy Girl","Turbo,Gunna",2025-03-07,173800,69,,2025-03-14T04:00:25Z,"melodic rap","300 Entertainment",0.576,0.685,4,-5.739,0,0.138,0.115,0.00000977,0.124,0.695,132.898,5
45J4avUb9Ni0bnETYaYFVJ,"luther (with sza)","GNX","Kendrick Lamar,SZA",2024-11-22,177598,92,,2025-03-14T04:00:25Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
1zhMHgotgZXkLCXpqNRnPK,"N o C h i l l","PARTYNEXTDOOR 4 (P4)","PARTYNEXTDOOR",2024-04-26,265373,78,,2025-03-14T04:00:25Z,"r&b","OVO Sound",0.575,0.411,2,-9.022,1,0.0619,0.509,0.00321,0.0884,0.062,81.755,4
1VzQrfygsLEi0Vle8FSea0,"Saving My Love (feat. Kehlani)","Some Days I’m Good, Some Days I’m Not","Fridayy,Kehlani",2025-02-28,183560,64,,2025-03-14T04:00:25Z,"","FRIDAYY PS/ Def Jam",0.584,0.668,9,-5.783,1,0.09,0.541,0,0.132,0.403,95.976,4
6jx0JZB3f0Cc2jjdldYaDb,"Truth In The Lies (feat. Lil Durk)","CAN'T RUSH GREATNESS","Central Cee,Lil Durk",2025-01-24,142786,78,,2025-03-14T04:00:25Z,"uk drill,drill,grime","Columbia",0.618,0.508,6,-5.09,1,0.185,0.59,0,0.101,0.614,95.012,4
4tfOoCcYPtb08J5HWlSo3r,"Another Life","SOS Deluxe: LANA","SZA",2024-12-20,205214,77,,2025-03-14T04:00:25Z,"r&b","Top Dawg Entertainment/RCA Records",0.332,0.45,7,-8.664,1,0.045,0.68,0.00000883,0.116,0.357,215.338,3
0NUqi0ps17YpLUC3kgsZq0,"DIE TRYING","$ome $exy $ongs 4 U","PARTYNEXTDOOR,Drake,Yebba",2025-02-14,195431,87,,2025-03-14T04:00:25Z,"r&b,rap,hip hop","OVO Sound",0.763,0.531,11,-6.154,1,0.0328,0.146,0,0.175,0.665,110.497,4
1UNEuG9DYOWiikf00ayr52,"Love Me Not","Love Me Not / Love Is Blind","Ravyn Lenae",2024-05-03,213466,79,,2025-03-14T04:00:25Z,"alternative r&b","Atlantic Records",0.786,0.741,0,-6.147,1,0.0309,0.293,0,0.132,0.816,113.98,4
2dKkVF2m160z0RNDN2dddc,"NISSAN ALTIMA","Alligator Bites Never Heal","Doechii",2024-08-30,126832,85,,2025-03-14T04:00:25Z,"","Top Dawg Entertainment/Capitol Records",0.974,0.711,11,-5.206,0,0.194,0.0988,0.0000392,0.0888,0.328,117.038,4
2HA4tNLIXY1dGvDVCLeslk,"Little Things","3","Ella Mai",2024-11-03,172924,73,,2025-03-14T04:00:25Z,"r&b","10 Summers/Interscope Records",0.725,0.566,11,-5.989,1,0.16,0.477,0,0.142,0.232,135.794,4
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","CHROMAKOPIA","Tyler, The Creator,GloRilla,Sexyy Red,Lil Wayne",2024-10-28,255915,88,,2025-03-14T04:00:25Z,"rap,hip hop","Columbia",0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,4
5xeSd4HgzrYpNLEf3LfYLK,"WHATCHU KNO ABOUT ME (feat. Sexyy Red)","GLORIOUS","GloRilla,Sexyy Red",2024-10-11,149461,81,,2025-03-14T04:00:25Z,"","CMG/Interscope Records",0.832,0.684,1,-4.691,1,0.359,0.00449,0,0.229,0.68,166.976,4
