Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2hE4UBDF2BPc2hlQLfyDFp,"Got To Keep On - Riton Remix","Got To Keep On (Riton Remix)","The Chemical Brothers,Riton",2019-03-15,267914,22,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"big beat,alternative dance,electronic,breakbeat,house","EMI",0.77,0.884,6,-5.04,0,0.0588,0.0346,0.531,0.103,0.736,125.018,4
3v2oAQomhOcYCPPHafS3KV,"Opus","Opus","Eric Prydz",2016-02-05,543453,60,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"","Virgin Records Ltd",0.275,0.721,6,-6.222,0,0.0359,0.000702,0.821,0.0792,0.184,125.156,4
0QpyJWORLFGotplb4ojDTT,"Bigger Than Prince - Hot Since 82 Remix","Armada Deep House Selection, Vol. 2 (The Finest Deep House Tunes)","Green Velvet,Hot Since 82",2014-04-11,192970,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"tech house,techno,house,deep house","Armada Music Bundles",0.849,0.868,4,-5.201,0,0.0576,0.0124,0.436,0.104,0.911,122.018,4
2OX5gQcAkbAN9Y7lZVUBZV,"Slammin' (Original Mix)","Slammin`","Eric Prydz",2004-04-29,436484,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"","Egoiste",0.729,0.808,11,-7.961,0,0.142,0.000102,0.919,0.191,0.544,126.995,4
6extgyeYdF9MW3gBe91rY4,"The Mechanism","The Mechanism","Disclosure,Friend Within",2014-04-10,386738,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"house,piano house,tech house","Universal-Island Records Ltd.",0.806,0.809,11,-6.635,0,0.257,0.0271,0.123,0.0348,0.615,120.05,4
6c4T1Dz9hwK5xat7eh3g8o,"Jaded","Caracal (Deluxe)","Disclosure",2015-09-25,274749,42,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"house","Universal-Island Records Ltd.",0.801,0.857,6,-5.078,1,0.194,0.0111,0.00000375,0.0645,0.552,117.01,4
66UVKEhJPiuDCi0nTQM2sc,"Perfect Run - Nicky Night Time Late Night Dub","Perfect Run (Remixes)","Crooked Colours,Nicky Night Time",2018-03-09,453178,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"house,piano house,future house","Sweat It Out",0.805,0.964,9,-6.08,1,0.048,0.000142,0.88,0.05,0.549,119.997,4
57nCGvMtAiCWpwXemlMJ7q,"Hold You Tight","Higher Ground","Diplo",2019-05-02,319354,32,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"moombahton","Mad Decent",0.797,0.827,4,-5.081,0,0.0599,0.00568,0.556,0.0466,0.694,123.997,4
1B7CAgwFeswNTNGPGvqQpn,"MHATLP - HI-LO Edit","MHATLP (HI-LO Edit)","Oliver Heldens,Da Hool,HI-LO",2015-10-09,274246,17,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"future house,house,techno,acid techno,hard techno","Spinnin' Records",0.78,0.911,6,-5.894,0,0.044,0.00945,0.865,0.509,0.426,128.003,4
0jJr6tAAPS7Ytkb6d6Hcld,"Heavy","Heavy","Marten Hørger,Neon Steve",2019-03-29,205161,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"bass house,g-house,tech house","SUITOR",0.84,0.729,5,-4.954,1,0.0882,0.027,0.00224,0.165,0.432,123.981,4
1b2uzDm0Nm39b96HZvcisr,"The Sermon","No Redemption","Tchami,Malaa",2018-04-03,249679,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"future house,bass house,g-house,house","Malaa Music LLC CC",0.8,0.819,11,-5.82,0,0.0524,0.00564,0.879,0.0758,0.66,124.006,4
5lVfYnIybzaMXtlZdaNeHo,"Love On The Line - Extended Mix","Love On The Line","Kormak",2018-10-26,373336,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"tech house","DFTD",0.815,0.641,2,-8.75,1,0.0636,0.02,0.764,0.0399,0.467,124.01,4
74oMKaFeHS9lPFWgSM6qec,"Tied Up","Tied Up (The Remixes)","Moon Boots,Steven Klavier",2020-02-19,285426,7,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"nu disco","Anjunadeep",0.744,0.819,5,-4.71,0,0.0467,0.037,0.387,0.243,0.376,119.018,4
57Udy8KfPSoUWW2npb1Y0g,"Deeper Love","All Night","Soundstream",2010,344108,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"disco house,french house","Soundstream",0.771,0.716,8,-8.4,1,0.0552,0.00359,0.913,0.0191,0.697,125.004,4
4qEEERg5kM60N2vcna11oq,"Aura","Dusk","SG Lewis,J Warner",2018-04-06,229743,50,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"","EMI",0.844,0.775,4,-5.684,0,0.211,0.0066,0.00254,0.561,0.719,116.995,4
5lXY6PTuWXOludKy4zDQwM,"On My Mind","On My Mind","Diplo,SIDEPIECE",2019-12-13,189268,56,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"moombahton,tech house,edm","Higher Ground",0.771,0.731,7,-6.574,1,0.0409,0.00165,0.633,0.217,0.635,123.026,4
2uaQbkPV4EPWe53LTyHNIK,"Talk to Me","Talk to Me","Cloonee",2020-03-13,368333,21,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"tech house,house,latin house,techno","La Pera Records",0.925,0.834,0,-8.636,1,0.091,0.00175,0.928,0.171,0.872,125.996,4
2Aroudvh2atj8Tv1jrwzNT,"RED","POP WORKS","Nick Monaco",2020-05-08,226771,5,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"","UNISEX Records",0.68,0.602,1,-6.171,1,0.0603,0.00862,0.577,0.127,0.223,127.034,4
7qVLZuvzNjyiy3TVtEBwBE,"When A Fire Starts To Burn","Settle (Deluxe)","Disclosure",2013-06-03,284026,47,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"house","Universal-Island Records Ltd.",0.625,0.756,7,-6.955,1,0.231,0.00933,0.00131,0.324,0.673,123.948,4
1BHyi5tS67s00jDSlGQXg4,"Always","Always","Waze & Odyssey,George Michael,Mary J. Blige,Tommy Theo",2020-02-28,186300,45,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"r&b","Ministry of Sound Recordings",0.7,0.914,8,-6.43,0,0.106,0.0109,0.00296,0.0849,0.913,125.07,4
3Go6Qofl4u0vo4PxgGKs4m,"The Sturdy Track","Shall Not Fade - 3 Years of Service","Adryiano",2018-11-16,411428,30,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house,disco house,house","Shall Not Fade",0.798,0.904,10,-7.371,1,0.0772,0.0212,0.845,0.459,0.326,126.019,4
041RKnQpbVpDuSRtg231un,"005A1","5","Apparel Wax",2018-10-08,347186,26,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house,nu disco,disco house,funky house","Apparel Music",0.804,0.846,6,-7.994,1,0.0565,0.096,0.246,0.0623,0.887,124.003,4
3YEte8zWi9t9nsF3OK84VV,"Passion (Of Your Passion) - 12 Mix","Passion","Gat Decor",1992-06-12,470626,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"piano house,acid house,rave","Altra Moda Music",0.752,0.693,5,-12.072,0,0.0408,0.00127,0.744,0.799,0.129,124.875,4
1OxNBuk83EeS1Nj0k8mfPZ,"I Lost 200€ in a Club","Cool Bananas","Tell",2018-06-01,263315,47,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house","Noire & Blanche",0.85,0.423,6,-8.432,1,0.0961,0.00141,0.694,0.0707,0.32,117.325,4
6JhJ3Qiw7sWE74MmSTbwkK,"Electricity (feat. Dua Lipa) - MK Remix","Electricity (feat. Dua Lipa) [MK Remix]","Silk City,Dua Lipa,Mark Ronson,Diplo,MK",2018-11-09,346880,39,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"pop,moombahton,house,piano house","Columbia",0.675,0.894,9,-4.982,0,0.0821,0.000156,0.00856,0.112,0.844,123.995,4
3orINoVgwz9tFzi3kNIXdK,"The Job","The Aquarium Effect","Kousto,Aroop Roy",2020-12-04,396451,18,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house,disco house,funky house,nu disco","Little Foot Records",0.838,0.56,6,-9.687,0,0.154,0.0525,0.231,0.121,0.135,122.984,4
4ZDPLzh6X4DwxUmssdYeyr,"Agenou","Classroom","Traumer",2016-05-02,402580,12,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"minimal techno,dub techno,tech house,minimalism","Gettraum",0.809,0.529,10,-10.595,0,0.0507,0.000751,0.902,0.0912,0.368,126.041,4
69uPNh3b6VKdMZMbIKYQ1l,"By Your Side","By Your Side","Sofia Kourtesis",2021-02-23,367362,48,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house","Technicolour",0.887,0.823,5,-7.57,0,0.0462,0.0237,0.731,0.593,0.641,121.993,4
4FderzNN7EStQkltUXjBhg,"Pianos of Gold","Goldtones","Jovonn",2014-12-22,384343,20,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"chicago house,house,deep house","Clone Classic Cuts",0.824,0.802,11,-7.657,1,0.15,0.0245,0.871,0.0687,0.547,122.887,4
6SXDOnUmPVbitPjrhf3toI,"Needledrop - Laurence Guy Remix","Needledrop Remixed","Session Victim,Laurence Guy",2020-06-12,401495,0,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house","Night Time Stories (Catalogue)",0.739,0.691,6,-9.922,1,0.0427,0.000196,0.885,0.023,0.671,125.004,4
23Nceug0W60HSyLUGxM1MI,"Annadin","Fantasia","Fort Romeau,Sunscreem",2020-05-08,421970,9,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house,italo disco","Permanent Vacation",0.749,0.771,0,-9.508,1,0.0464,0.00387,0.878,0.11,0.134,128.974,4
58w9QjI9CFlQfAs1jwgPtS,"Last Forever (feat. Sam Sparro) - Destructo Remix","Last Forever (feat. Sam Sparro) [Destructo Remix]","Oliver,Sam Sparro,Destructo",2018-04-13,267317,16,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"nu disco,french house,indie dance,g-house,bass house","Pulse Recordings/Interscope",0.851,0.792,1,-3.428,1,0.0694,0.00167,0.812,0.169,0.708,123.029,4
1V9lZ8vPOAShUDkdm8o7J3,"Win Win","Higher Ground","Diplo,Tove Lo",2019-05-02,255483,31,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"moombahton","Mad Decent",0.74,0.676,1,-4.637,1,0.0492,0.0102,0.0453,0.0482,0.468,123.988,4
4b6mADxnmXq2bbhJJQx8Ac,"Runnin'","Casual High Technology","Wajatta",2018-05-11,338417,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"","Comedy Dynamics, A Nacelle Company",0.665,0.763,6,-6.197,1,0.0623,0.0406,0.273,0.147,0.754,138.991,4
0JsksdOkfj218dQsQboNRk,"Arrested","Arrested","Demuja",2018-12-17,308000,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house,disco house,funky house","MUJA",0.773,0.897,7,-7.322,0,0.0608,0.00694,0.887,0.0682,0.351,120.005,4
5fpBnUnBSaU5CcWOkVQk7e,"Night Sensation","Cosmic Connection","Demuja",2019-03-28,448000,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:26:16Z,"lo-fi house,disco house,funky house","MUJA",0.774,0.792,0,-9.347,1,0.0362,0.000303,0.891,0.0781,0.853,124.007,4
