Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4JoPwacbkrBPl6A98KhXDV,"we can be happy","it's good to hear your voice","dj poolboi",2020-03-20,345000,31,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","Majestic Casual Records",0.807,0.553,6,-13.41,1,0.143,0.00872,0.916,0.0585,0.621,125.004,4
3lTT9gsm1jP9LyKCv6FleR,"Cosmic Echoes","Cosmic Echoes","2Plants",2025-03-14,142677,12,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.73,0.493,10,-15.912,0,0.0423,0.482,0.812,0.114,0.607,126.999,4
1JIy13EwKBwIcthzbVBOb3,"ílios","ílios","surfbored.",2025-03-05,250840,23,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.675,0.761,8,-8.019,1,0.0468,0.208,0.886,0.0915,0.11,125.014,4
77cNv0DURtX2W87RKaX8qU,"Not Your Type","Not Your Type","Sideluv",2025-01-23,178064,41,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.777,0.623,9,-7.964,0,0.231,0.252,0.899,0.205,0.166,123.978,3
39WK2KdYElKgZfYkFwYuPL,"holdmyhand","holdmyhand","TRAVEL BUREAU",2025-02-05,148000,27,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.729,0.341,0,-15.583,1,0.356,0.9,0.882,0.121,0.588,120.003,4
1tpTQDEv7I3rpT0W816meN,"U, Me and Madonna","U, Me and Madonna","1-800 GIRLS",2017-09-29,250000,37,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house,breakbeat","1-800 GIRLS",0.712,0.433,9,-14.932,0,0.0382,0.389,0.781,0.0922,0.265,120.032,4
2jwyxEx7taiDLNzCUAhSbo,"Weblooom","Weblooom","Mindeliq",2024-06-07,229000,19,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi,lo-fi beats","Magnolia",0.704,0.399,7,-18.748,0,0.0586,0.242,0.889,0.11,0.744,120.002,4
7JqUzCEIijure99GZ6w2bk,"No Feelings","No Feelings","Sideluv",2023-08-04,179512,52,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.742,0.716,3,-14.633,1,0.0769,0.851,0.935,0.134,0.169,122.995,4
7toNRUpUROt2z8k2CKmACd,"Changes","Changes","2Plants",2025-01-22,160000,22,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.726,0.618,11,-14.202,1,0.0416,0.0268,0.89,0.169,0.306,120,4
4ytKWPtRuklv5DEivYU8G5,"Heartbreak","Heartbreak","Shroomyland",2024-09-13,283278,32,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","FIFTYFIVE MUSIC",0.792,0.532,9,-14.873,0,0.128,0.646,0.887,0.0887,0.237,122.001,4
2EgAGBixbDEsuGWKEizd9z,"tourist","tourist","ais.",2025-02-12,324589,19,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.756,0.602,9,-12.624,1,0.0361,0.331,0.885,0.191,0.546,125.034,4
1q2qwpQLBH4ZwJnu7GnEJE,"Messy","Messy","2Plants",2025-02-21,144000,20,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.821,0.631,0,-11.073,1,0.0571,0.0686,0.749,0.125,0.515,120.032,4
4L1GXUGt9HQbqVkFAno88y,"Flavour","Flavour","Nübel,Dj Fki",2025-02-14,245760,21,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house,boom bap","55 MUSIC",0.789,0.725,7,-7.782,1,0.0697,0.194,0.88,0.106,0.521,125.035,4
5N6GyJTFXaqAYQPeJdyDlV,"All I Want","All I Want","Digital Tourist",2024-12-05,167619,25,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.811,0.667,1,-12.641,1,0.0819,0.454,0.699,0.121,0.308,126.033,4
2sNLrcfGsMC9io1ygzkKj7,"By Your Side","By Your Side","Sideluv",2024-03-20,192000,44,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","FIFTYFIVE MUSIC",0.754,0.44,10,-8.328,0,0.136,0.756,0.719,0.111,0.257,130.006,4
51oib6a2dRu2f6x8OMMphQ,"Réveiller (feat. manon)","Réveiller (feat. manon)","Shaolin Cowboy,manon",2021-03-26,289787,48,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","Unbelievably Spectacular",0.842,0.418,8,-9.602,0,0.138,0.765,0.0228,0.117,0.448,128.009,4
5gBYl4SUJrpWeRTHa8XLnF,"If Anything","If Anything","Jonny James",2025-01-15,299520,18,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.718,0.758,7,-10.387,0,0.126,0.0659,0.843,0.104,0.495,124.977,4
51glOQHf2CWjiT63TMt98H,"100 reasons","Lo-Fi_house.Zip","kemt",2019-12-27,375000,40,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","Majestic Casual Records",0.705,0.853,10,-10.584,1,0.202,0.221,0.93,0.112,0.202,119.025,4
33GkWePl7MUNqfzRwY0OS3,"palms","palms","TRAVEL BUREAU",2025-01-17,145573,32,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.887,0.404,7,-16.919,1,0.054,0.153,0.624,0.1,0.949,122.011,4
2sdMtMeL9g5kV0Zcg5GTlC,"We Twirl Goodbye","We Twirl Goodbye","edgebug",2024-12-18,316493,23,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.729,0.521,9,-14.607,0,0.133,0.306,0.89,0.471,0.474,122.998,4
0Lyuuge6ZSG832cRGgYGMg,"Nübel - Mojo (Edit)","Mojo","Nübel",2024-11-13,201305,19,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.786,0.811,9,-8.246,1,0.0436,0.000559,0.912,0.0759,0.155,123.997,4
1DRukVwxfTHm5fYYUlmAeS,"Drowning (Mind, Body, Soul)","Drowning (Mind, Body, Soul)","Kronol,Jay Latune",2024-12-20,334158,21,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house,future house","55 MUSIC",0.713,0.921,8,-6.162,1,0.0734,0.452,0.864,0.633,0.496,129.997,4
12mLoWliMUR6KxDUkzmFgF,"2017","2017","nuage9",2024-06-28,251000,25,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","FIFTYFIVE MUSIC",0.713,0.587,6,-10.739,0,0.134,0.561,0.911,0.128,0.139,122.983,4
041HCM4WYKanM57JGaUj7X,"Loving U","Loving U","ALX-106",2025-01-08,381951,19,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.83,0.574,9,-10.054,1,0.0536,0.00232,0.431,0.0343,0.838,123.004,4
2aYDWSJwejbgeyNR14pY43,"VALENCIA","SWEETERMAN / VALENCIA","geneva",2022-12-02,144031,43,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","geneva",0.69,0.478,0,-17.059,1,0.0406,0.571,0.937,0.116,0.353,119.988,4
0LkjbV4QSF8vuGBVaxmqpn,"by my side","New York","surfbored.",2024-03-13,317489,13,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.807,0.516,1,-10.673,0,0.0568,0.249,0.909,0.103,0.188,120.007,4
4rvnBqTmx66LlCJZLbLAOY,"Winona","Winona","DJ BORING",2017-06-09,511031,48,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","E-Beamz",0.656,0.693,5,-7.876,0,0.0704,0.0385,0.831,0.111,0.158,122.029,4
6MgYqTdj3yw0XZArpJNP50,"Always a Kid","Always a Kid","Bootie Grove",2024-01-26,207096,41,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","Origins Inconclusive",0.726,0.63,1,-12.952,0,0.0485,0.583,0.924,0.0947,0.316,124.012,4
4CH5pQsHSEUcpw8NHE1Bmy,"Care 4 U","Care 4 U","Terry Rider",2024-11-01,235511,21,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi house","55 MUSIC",0.625,0.938,0,-7.693,0,0.0648,0.658,0.874,0.111,0.367,126.988,4
0u7AR0GGzmK0dsmJiwY8gp,"Osaka","Osaka","Donovan's Playground",2024-11-22,141639,24,gd3yexq7dd2dryqq4m94d5hom,2025-03-14T02:27:06Z,"lo-fi beats","55 MUSIC",0.895,0.238,4,-17.887,0,0.162,0.915,0.878,0.0833,0.158,122.021,4
