Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7lDGg8CFySbkKUrjgzcLlY,"The Less I Know The Better","The Less I Know The Better","Mau P",2025-02-28,176114,64,,2025-03-07T05:00:26Z,"tech house,house","Nervous Records",0.754,0.8,6,-7.383,0,0.0506,0.000793,0.651,0.352,0.948,128.001,4
04gs2fDnnjT6995ruR1qbk,"Ease My Mind","Ease My Mind","Chris Lake,Abel Balder",2025-02-14,191704,66,,2025-03-07T05:00:26Z,"tech house,house,bass house","Black Book Records",0.739,0.805,8,-6.067,0,0.0337,0.0551,0.16,0.103,0.766,125.997,4
1cFuWTgSE8LCgnG7MSVwZI,"Raf","Raf","Carlita,Andre Zimmer",2025-02-27,263231,48,,2025-03-07T05:00:26Z,"melodic house,tech house","fabric Records",0.81,0.967,0,-4.118,1,0.0585,0.01,0.00013,0.0555,0.8,129.038,4
4tJ4UrKsJ48wTpprhf5VKj,"Burning Fire","Burning Fire","lau.ra,Sasha GiGi",2025-03-07,171021,34,,2025-03-07T05:00:26Z,"tech house","DVINE Sounds",0.751,0.853,2,-5.129,1,0.041,0.000605,0.74,0.299,0.431,127.992,4
1gkTO34Xg6FO8W9HrxYR4E,"Drum Death","Drum Death","Westend,HOSANNA",2025-02-21,170644,56,,2025-03-07T05:00:26Z,"tech house,latin house,house","Experts Only",0.749,0.97,0,-4.414,1,0.0799,0.0019,0.874,0.16,0.641,128.008,4
6oWmcKVK6atTCoWVYTdSg1,"Dreamin (feat. Daya)","Dreamin (feat. Daya)","Dom Dolla,Daya",2025-02-07,171526,74,,2025-03-07T05:00:26Z,"house,tech house","Three Six Zero Recordings/Columbia Records",0.775,0.672,6,-7.554,0,0.161,0.0419,0.0000459,0.1,0.713,134.047,4
4Ko4SzgkfEOw2aestyWDVn,"Stephanie - HNTR Remix","Stephanie (HNTR Remix)","Cloonee,Young M.A,InntRaw,HNTR",2025-02-07,145467,56,,2025-03-07T05:00:26Z,"tech house,house,latin house,techno","Hellbent Records",0.765,0.948,6,-4.048,0,0.0436,0.00701,0.00651,0.113,0.743,134.011,4
6cBs0IiuiBT0172vOcc7GE,"Butterflies","Butterflies","Jamie Jones,Green Velvet",2025-02-21,169411,57,,2025-03-07T05:00:26Z,"tech house,house,deep house,techno","Helix Records",0.806,0.725,11,-6.849,0,0.0481,0.00017,0.672,0.0804,0.577,127.986,4
5wGwW2DK549Mg9vyNzBCnt,"Dame Más (Gasolina)","Dame Más (Gasolina)","Andruss,Juos",2025-01-24,181846,53,,2025-03-07T05:00:26Z,"latin house,tech house,tribal house","Helix Records",0.749,0.874,0,-6.636,1,0.0489,0.00979,0.631,0.171,0.448,129.998,4
0fs75XwQHj1mdIWUhvNohh,"Hot & Mysterious","Hot & Mysterious","Austin Millz,Kah-Lo",2025-01-31,155076,55,,2025-03-07T05:00:26Z,"","Ultra Records, LLC",0.723,0.945,4,-3.983,0,0.0823,0.00501,0.522,0.221,0.517,129.991,4
5XXriU0XC0HPH60GIJYpIA,"Freak","Freak","Biscits",2024-12-06,201093,61,,2025-03-07T05:00:26Z,"tech house,house","WRONG.",0.71,0.784,11,-4.416,0,0.0748,0.0142,0.0141,0.263,0.888,127.695,4
2H9SdFmXgiHM5MhwLOuBm3,"Ménage À Trois","Ménage À Trois","SIDEPIECE,Barney Bones",2025-02-14,175600,54,,2025-03-07T05:00:26Z,"tech house,edm","Catch & Release",0.815,0.832,10,-4.846,0,0.0679,0.00212,0.0583,0.121,0.728,127.996,4
0oUnCHrsjhjclb9owm741n,"Sunday Best","Sunday Best","Coco & Breezy,Aluna",2025-02-07,171990,55,,2025-03-07T05:00:26Z,"","Noir Fever Records",0.625,0.906,4,-5.341,0,0.0319,0.00854,0.958,0.0958,0.962,127.023,4
51t4KpMubQMCQXV8T4lK3F,"Self Love","Never Walk Alone","BLOND:ISH",2025-02-14,172374,57,,2025-03-07T05:00:26Z,"afro house,latin house","Insomniac Records",0.649,0.794,5,-7.217,1,0.0398,0.0204,0.000012,0.182,0.165,119.991,4
0u5aRUEwlWhtO32VASKoLi,"Divine","Divine","Blair Muir",2024-11-01,163641,69,,2025-03-07T05:00:26Z,"","All Ways Dance",0.62,0.875,7,-6.5,1,0.0468,0.00781,0.043,0.107,0.102,132.007,4
78IApFVx1V4KINyZnIXjoi,"Valerie","Valerie","CASSIMM",2024-12-06,141732,55,,2025-03-07T05:00:26Z,"tech house,funky house,disco house,latin house","Toolroom",0.605,0.963,9,-5.314,1,0.0378,0.0189,0.801,0.281,0.514,127.028,4
7xFy1kfgGWJWTpx1vSHBLi,"It Feels So Good","It Feels So Good","Matt Sassari,HUGEL,Sonique",2024-11-01,160973,78,,2025-03-07T05:00:26Z,"tech house,latin house,afro house","Cr2 Records",0.704,0.82,5,-5.663,0,0.0282,0.0034,0.000134,0.261,0.84,128.007,4
7cN7LW0oy05OuKc06eE1eV,"P!NK","D.O.P.E.","SLAMM,Dan Molinari",2025-02-28,180000,44,,2025-03-07T05:00:26Z,"tech house","Chaste Records",0.894,0.521,7,-10.749,1,0.176,0.0151,0.0235,0.098,0.588,128.001,4
2gVJTQbla9i7bxnKdLiu45,"Disco Tetris - Edit","Disco Tetris (Edit)","Luuk Van Dijk",2024-12-13,198675,58,,2025-03-07T05:00:26Z,"tech house,house","DSOTS",0.903,0.805,5,-10.239,1,0.0605,0.0066,0.00495,0.131,0.678,127.013,4
2nO5YCEAQLPYKLbza7N64Z,"I Look Good","I Look Good","Jackie Hollander,Lizzy Land",2025-02-28,164659,46,,2025-03-07T05:00:26Z,"tech house","Insomniac Records",0.592,0.855,6,-6.376,1,0.0585,0.0135,0.517,0.3,0.296,131.957,4
