Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1EhvYd5e7vkoN3udEN1Vyl,"Got 'Til It's Gone","The Velvet Rope","Janet Jackson,Q-Tip,Joni Mitchell",1997-10-07,241760,62,,2024-06-28T10:14:13Z,"new jack swing,east coast hip hop,folk,singer-songwriter,folk rock","Virgin Records",0.752,0.364,7,-10.375,1,0.277,0.0177,0.000306,0.278,0.534,89.842,4
5l7icgnicl7JToRxPkSXyy,"The Truth","So...How's Your Girl?","Handsome Boy Modeling School,Róisín Murphy,J-Live",1999-10-19,337200,59,,2024-06-28T10:14:13Z,"trip hop,jazz rap,art pop,electropop,underground hip hop,east coast hip hop,boom bap","Tommy Boy Music, LLC",0.703,0.393,2,-10.88,1,0.0455,0.6,0.00000609,0.113,0.478,79.653,4
57wnYQxQw4friJAptcbVla,"Uknowhowwedu","Women of Hip Hop 2023","Bahamadia",2023-03-29,214866,31,,2024-06-28T10:14:13Z,"","UME - Global Clearing House",0.535,0.596,6,-10.289,1,0.388,0.64,0.0000218,0.276,0.908,185.744,4
2WyLyygONxNBVtXCRLMjFY,"Breakadawn","Buhloone Mindstate","De La Soul",1993-09-21,255008,57,,2024-06-28T10:14:13Z,"jazz rap,east coast hip hop,hip hop","AOI Records",0.819,0.775,7,-5.074,1,0.295,0.015,0.0017,0.128,0.513,95.883,4
5KBUiiDRPsocZlY2v3EtRk,"I Like It (I Wanna Be Where You Are)","2000","Grand Puba",1995-06-20,263533,58,,2024-06-28T10:14:13Z,"east coast hip hop,jazz rap,boom bap","Tommy Boy Music, LLC",0.865,0.641,10,-6.652,0,0.162,0.0613,0.000106,0.218,0.761,95.307,4
4fuLWKNpY01OLMT9tARnB4,"Doin' Our Own Dang","Done By The Forces Of Nature","Jungle Brothers",1989-11-08,258933,46,,2024-06-28T10:14:13Z,"jazz rap,hip house,east coast hip hop,acid house,chicago house","Warner Records",0.835,0.447,6,-14.901,1,0.22,0.155,0.00876,0.108,0.839,113.082,4
1VzhfMEGIIkn5hFITMJzW1,"Loungin'","Jazzmatazz Volume 1","Guru,Donald Byrd",1993-01-01,279640,56,,2024-06-28T10:14:13Z,"jazz rap,acid jazz,east coast hip hop,hard bop,jazz funk,jazz,soul jazz,jazz fusion","Chrysalis\EMI Records (USA)",0.716,0.58,10,-12.747,0,0.239,0.0694,0.00000671,0.906,0.707,99.077,4
0eEXcw3JLVXcRxYrVYMy68,"Electric Relaxation","The Anthology","A Tribe Called Quest",1999-10-26,226133,66,,2024-06-28T10:14:13Z,"jazz rap,east coast hip hop,hip hop","Jive",0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243,4
5KHgAcM5Zq90Gr0wqTA0nY,"People Everyday - Metamorphosis Mix","Definitely Maybe","Arrested Development",2008-02-11,295560,40,,2024-06-28T10:14:13Z,"","Parlophone UK",0.819,0.793,8,-5.416,1,0.211,0.0126,0,0.505,0.733,91.11,4
0BaipJ80fvka5OhKrjnpGO,"Grown Man Sport","Center of Attention","Pete Rock,InI",2017-03-24,276373,57,,2024-06-28T10:14:13Z,"jazz rap,east coast hip hop,boom bap","VinDig",0.802,0.757,7,-8.01,1,0.316,0.476,0.0000128,0.163,0.605,88.03,4
1B53Y95tPd4ah4FExO0egE,"What They Do","Illadelph Halflife","The Roots",1996-09-24,357200,59,,2024-06-28T10:14:13Z,"east coast hip hop,hip hop,jazz rap","DGC",0.885,0.414,0,-10.539,1,0.166,0.341,0.000297,0.0891,0.684,92.727,4
0PV1TFUMTBrDETzW6KQulB,"93 'Til Infinity","93 'til Infinity","Souls Of Mischief",1993-02-13,286440,68,,2024-06-28T10:14:13Z,"jazz rap","Jive",0.59,0.672,1,-11.792,1,0.412,0.125,0.00000104,0.147,0.688,206.247,4
3yjVsUq8psgcHm8SQrZ8i4,"Hip 2 Da Game","The Awakening","Lord Finesse",1996-02-20,243106,59,,2024-06-28T10:14:13Z,"east coast hip hop,boom bap,hardcore hip hop","Tommy Boy Music, LLC",0.769,0.752,11,-6,1,0.324,0.0317,0.00000296,0.0564,0.527,90.228,4
2KBo6O5rkNdtYT3wYjkEkq,"Fall In Love","Fantastic, Vol. 2.10","Slum Village",2010-10-12,235212,56,,2024-06-28T10:14:13Z,"jazz rap","Ne’Astra Music",0.796,0.543,1,-7.994,1,0.164,0.0486,0.00584,0.124,0.784,91.212,4
2MAaiV0bbeq4FpSwPe2rR8,"Find a Way","The Love Movement","A Tribe Called Quest",1998-09-29,203066,60,,2024-06-28T10:14:13Z,"jazz rap,east coast hip hop,hip hop","Jive",0.773,0.58,8,-8.466,1,0.432,0.0357,0,0.485,0.713,94.093,4
