Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1HvmjWFZpe1lrEl1ehLsvr,"Share My World","Share My World","Mary J. Blige",1997-01-01,307106,60,,2025-02-07T07:47:44Z,"r&b","Geffen*",0.707,0.539,4,-6.742,0,0.0373,0.015,0,0.12,0.747,140.021,4
1EhvYd5e7vkoN3udEN1Vyl,"Got 'Til It's Gone","The Velvet Rope","Janet Jackson,Q-Tip,Joni Mitchell",1997-10-07,241760,63,,2022-09-16T08:12:46Z,"new jack swing,east coast hip hop,folk,singer-songwriter,folk rock","Virgin Records",0.752,0.364,7,-10.375,1,0.277,0.0177,0.000306,0.278,0.534,89.842,4
22QiTJqDn1BIRSh4mkNJ5w,"Cherish the Day","Love Deluxe","Sade",1992-10-26,332133,64,,2022-10-27T04:00:00Z,"","Epic",0.68,0.389,8,-13.239,1,0.0545,0.0121,0.0834,0.105,0.68,80.145,4
6eB35pgMXdfhz5Z0WjwF1O,"Hey Mr. D.J.","Pronounced Jah-Nay","Zhané",1994-01-01,252400,64,,2022-09-16T08:12:46Z,"new jack swing","Motown",0.865,0.557,2,-8.018,1,0.0612,0.0221,0.00353,0.0973,0.859,101.295,4
5X82VFLvjpeWQlTSShqqj0,"Be Happy","My Life","Mary J. Blige",1994-01-01,349560,58,,2021-08-20T04:02:00Z,"r&b","Uptown",0.682,0.739,10,-8.504,1,0.0763,0.129,0,0.252,0.685,92.893,4
6l4TNbfPtNAOOlGIfceSaO,"Ascension (Don't Ever Wonder) - Remastered 2021","Maxwell's Urban Hang Suite","Maxwell",1996-04-02,345975,64,,2021-08-20T04:02:00Z,"neo soul,quiet storm,smooth r&b,r&b","Columbia",0.762,0.459,0,-10.307,1,0.0379,0.111,0.0219,0.147,0.749,96.069,4
7861kBrZ5aw7o4NfggcyYW,"It's Not Right But It's Okay","My Love Is Your Love","Whitney Houston",1998-11-17,292400,65,,2022-09-16T08:12:46Z,"","Arista",0.805,0.802,1,-7.076,1,0.1,0.162,0.000883,0.0698,0.531,127.924,4
5u3FywQOPJ5O7ZAjm31cnq,"Right Here - Human Nature Radio Mix","Right Here","SWV",1992,226800,55,,2021-08-20T04:02:00Z,"new jack swing,r&b","RCA/Legacy",0.601,0.74,9,-5.043,0,0.0573,0.0299,0.332,0.0937,0.672,94.013,4
0tNuJpBgtE65diL6Q8Q7fI,"On & On","Baduizm","Erykah Badu",1997-01-01,226133,69,,2021-08-20T04:02:00Z,"neo soul,r&b","Universal Records",0.761,0.403,11,-10.424,0,0.158,0.0392,0.0113,0.256,0.346,80.476,4
2lp8xjq0WTm3HZKHuDEweg,"Tell Me","Groove Theory","Groove Theory",1995-07-25,236066,64,,2021-08-20T04:02:00Z,"neo soul,new jack swing","Epic",0.8,0.362,6,-10.849,0,0.0634,0.035,0.00000399,0.0667,0.888,93.059,4
