Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2CH4mc6qWAI3ejAdqpON9B,"Belfast","Orbital","Orbital",1991-01-01,490680,48,,2022-04-13T13:57:28Z,"idm,big beat,acid house,breakbeat,rave","London Music Stream",0.523,0.706,0,-9.837,1,0.0465,0.000796,0.313,0.112,0.345,119.693,4
3dhyPQeO6G4EoRw9eHa28o,"Elvism","Las Vegas","burger/ink",1996-01-01,314426,33,,2022-04-13T13:57:28Z,"dub techno,idm,minimal techno","Harvest",0.673,0.408,4,-17.354,0,0.0403,0.748,0.901,0.107,0.236,120.013,4
5XT2TzmqO1yDMzd2Gm6Sxq,"Taurus","Taurus","Jacques Greene",2022-01-13,282091,4,,2022-04-13T13:57:28Z,"","Arts & Crafts Productions Inc.",0.594,0.87,9,-6.36,0,0.042,0.0869,0.865,0.119,0.161,132.03,4
7AGNscz3KdxHBICsA6e6cC,"Everything Is Inside Out","Alien Mode","Pearson Sound",2020-07-10,356778,23,,2022-04-13T13:57:28Z,"breakbeat,uk funky,idm","Hessle Audio",0.783,0.852,1,-9.501,1,0.0462,0.0552,0.901,0.111,0.208,119.958,4
2T6rMXWYc934IWMudx1H1X,"Jupiter Jazz","Galaxy 2 Galaxy: A High Tech Jazz Compilation","Galaxy 2 Galaxy",2005,270746,35,,2022-04-13T13:57:28Z,"acid house,chicago house","Submerge Recordings",0.645,0.877,7,-10.616,1,0.0456,0.00657,0.858,0.127,0.473,124.697,4
2ZIaH69kaz55RM4Pjx6KXl,"Two Thousand and Seventeen","New Energy","Four Tet",2017-09-29,252255,54,,2022-04-13T23:57:14Z,"idm,electronica","Text Records",0.551,0.469,2,-8.393,1,0.0296,0.327,0.161,0.0939,0.498,75.495,4
5zh23oMbATQlWbwEe5U0KG,"Papua New Guinea","Accelerator","The Future Sound Of London",1991,405293,44,,2022-04-13T13:57:28Z,"idm,big beat,acid house,ambient,breakbeat,trip hop","Jumpin' & Pumpin'",0.352,0.575,8,-14.853,1,0.0445,0.00181,0.687,0.143,0.431,124.864,4
5xcunlfaZvD9BDQsLONI7A,"Halcyon and On and On","Orbital 2","Orbital",1993-01-01,567106,57,,2022-04-13T13:57:28Z,"idm,big beat,acid house,breakbeat,rave","London Music Stream",0.577,0.729,11,-14.376,0,0.0319,0.0953,0.928,0.184,0.177,126.988,4
42GvOywB5T4YfcI1arQ8M7,"Shimmer","Beat Excursions #5","Kabuki",2020-03-27,316097,17,,2022-04-13T13:57:28Z,"liquid funk,jazz rap,drumstep,lo-fi beats","Beat Excursions",0.756,0.826,4,-5.255,0,0.0476,0.000435,0.835,0.0395,0.0307,123.018,4
2Ktuc6919DC0C0hx1tXDQH,"Ten Days Of Blue","Ten Days Of Blue","John Beltran",1996-05-24,453400,23,,2022-04-13T13:57:28Z,"idm","Peacefrog Records",0.787,0.558,8,-10.218,0,0.0503,0.195,0.89,0.0779,0.335,131.364,4
