Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4DVzLeYAtcIVU7PUcw0OJ0,"Ingo Swann","Spirit Box","Flying Lotus",2024-10-29,217513,34,,2025-02-10T23:39:34Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.853,0.732,10,-7.541,0,0.051,0.00189,0.74,0.102,0.419,123.954,4
56NeC5RB6XA4ctZ8FctwG4,"Cards On The Table","Cards On The Table","Nia Archives",2024-04-10,176913,45,,2025-02-10T23:39:34Z,"jungle,drum and bass,uk garage","Universal-Island Records Ltd.",0.6,0.928,9,-3.699,1,0.0951,0.00509,0.00000111,0.372,0.444,169.934,4
1JkpySdM4EIKzcYbOBkIXr,"SLOW DANCE IN A GAY BAR","SLOW DANCE IN A GAY BAR","Benjamin Booker",2025-01-14,250097,38,,2025-02-10T23:39:34Z,"modern blues,roots rock,blues rock","Fire Next Time Records",0.612,0.419,1,-9.923,1,0.0272,0.536,0.495,0.167,0.148,61.971,4
0GzqA980TSsNnqKQbIQyHn,"Seasons","Seasons","Sam Austins",2024-05-21,157664,76,,2025-02-10T23:39:34Z,"","Sam Austins",0.677,0.703,6,-6.236,0,0.0431,0.338,0.39,0.12,0.219,136.979,4
0uMd9pp22GoCf6i1r60lxA,"Emotions","Like A Ribbon","John Glacier",2024-02-23,204916,37,,2025-02-10T23:39:34Z,"experimental hip hop","Young",0.564,0.674,1,-5.592,1,0.0675,0.00204,0.00023,0.571,0.146,152.023,4
6dghpjjJO91mBJ62Ev67Qu,"Heaven","Hole Erth","Toro y Moi,Kevin Abstract,Lev",2024-09-06,234866,37,,2025-02-10T23:39:34Z,"chillwave","Dead Oceans",0.578,0.537,10,-5.77,1,0.0331,0.126,0,0.123,0.293,140.234,4
5cAY2jEYGRVF2IpH1a214i,"Gold Filigree","All Cylinders","Yves Jarvis",2025-02-28,204615,18,,2025-02-10T23:39:34Z,"","Next Door Records",0.708,0.335,0,-8.16,1,0.0383,0.525,0.0000694,0.0918,0.582,103.952,3
7FdDBpqrdpWtdAromLpv4V,"Eusexua","Eusexua","FKA twigs",2024-09-13,263693,55,,2025-02-10T23:39:34Z,"art pop,alternative r&b","Atlantic Records",0.645,0.559,9,-14.292,1,0.0763,0.599,0.162,0.113,0.106,142.934,4
48oFsXk4HYLQWd8ELs82pj,"war","war","Fousheé",2024-08-13,129091,37,,2025-02-10T23:39:34Z,"","Trackmasters Entertainment/RCA Records",0.737,0.606,3,-5.469,1,0.0336,0.0839,0.000487,0.0944,0.772,87.93,4
5CeJU8nNGuwR6LWUzJa5QF,"Even (with Cat Burns)","Even (with Cat Burns)","Rachel Chinouriri,Cat Burns",2024-10-02,151373,56,,2025-02-10T23:39:34Z,"","Parlophone UK",0.667,0.412,11,-6.097,0,0.0319,0.393,0,0.12,0.547,132.044,4
5ZLfgxU8yDwwMQXA2OSFlb,"Perfect Stranger","Perfect Stranger","FKA twigs",2024-10-17,197346,52,,2025-02-10T23:39:34Z,"art pop,alternative r&b","Atlantic Records",0.851,0.605,1,-7.975,1,0.142,0.0327,0.00436,0.0343,0.686,135.011,4
3bfPZagJDhGPzmUJiX19VU,"I Look for You","Acts of Faith","SAULT",2024-12-25,191120,53,,2025-02-10T23:39:34Z,"","Forever Living Originals",0.837,0.611,0,-8.463,1,0.0329,0.724,0.777,0.188,0.696,105.582,4
3zIqekohxiaS4HF79pxHzt,"Hello, Hi","Hello, Hi","Little Simz",2024-12-30,135996,60,,2025-02-10T23:39:34Z,"","Little Simz",0.759,0.576,10,-6.475,0,0.074,0.399,0.00000508,0.11,0.52,142.104,4
6vBlEMm5JlUVZok4pfVjlu,"Metalhead","Big Smile, Black Mire","urika's bedroom",2024-11-01,227640,32,,2025-02-10T23:39:34Z,"","True Panther/Virgin",0.612,0.673,7,-5.332,0,0.0317,0.242,0.207,0.449,0.342,82.003,4
4mv58j67K96UMIeYvpffHB,"Floating Parade","Floating Parade","Michael Kiwanuka",2024-07-10,229619,50,,2025-02-10T23:39:34Z,"soul","Polydor Records",0.402,0.602,4,-8.84,0,0.0303,0.547,0.0793,0.261,0.786,85.244,4
7hLkwgguzGRq1rTyA3P9pr,"A Girl Like You","A Girl Like You","Bakar",2024-08-16,116852,47,,2025-02-10T23:39:34Z,"","Avenue A Records",0.866,0.784,5,-6.321,0,0.0411,0.0609,0.0508,0.127,0.897,130.056,4
3DLlsSUvnQG2WIJSy044AN,"Moments","Moments","MOIO",2023-10-27,247190,67,,2025-02-10T23:39:34Z,"","MOIO",0.666,0.519,5,-8.762,0,0.0259,0.00488,0.0143,0.211,0.484,102.998,4
0PLZE8HRRa4ShdC1bUPhNJ,"I Might be Fake-Arrr","I Might be Fake-Arrr","Master Peace,Georgia,Princess Superstar",2024-03-29,168805,18,,2025-02-10T23:39:34Z,"electroclash","PMR Records",0.661,0.897,4,-4.035,0,0.0428,0.007,0.000016,0.302,0.586,134.002,4
78Uo6eJIPkVo4Xw848NCN7,"Time","Time","Olivia Dean",2024-06-26,224000,63,,2025-02-10T23:39:34Z,"pop soul","PLG - Capitol",0.476,0.529,8,-6.193,1,0.0554,0.573,0.00841,0.098,0.255,169.945,4
49aBr2lBFh0LkR84IbsIQz,"Colors","Colors","Chenayder,MAVI",2024-04-25,186666,42,,2025-02-10T23:39:34Z,"experimental hip hop,alternative hip hop","Alamo",0.811,0.631,1,-8.497,1,0.0512,0.64,0.0383,0.12,0.74,99.039,4
3C5eqElWp0s4of3vTU37bF,"Dancing Circles 2.0","Lahai (Deluxe)","Sampha",2024-10-01,226495,49,,2025-02-10T23:39:34Z,"","Young",0.771,0.717,5,-8.124,1,0.0329,0.209,0.0107,0.0974,0.306,114.007,4
0cmFvQp6vy6TuwcGGdACZ6,"Madonna","Hole Erth","Toro y Moi,Don Toliver",2024-09-06,172893,45,,2025-02-10T23:39:34Z,"chillwave","Dead Oceans",0.637,0.46,6,-7.783,1,0.0478,0.5,0.000186,0.108,0.231,132.026,4
7D7XVolNtIMUZbJdf76BwY,"Cows Come Home","Duppy Gun","John Glacier",2024-06-20,172857,21,,2025-02-10T23:39:34Z,"experimental hip hop","Young",0.682,0.825,0,-9.255,1,0.325,0.0154,0.000207,0.737,0.513,111.99,5
35wqLh4Ht76d4YIUU2oNXq,"PULL UP","PULL UP","Internet Girl",2024-04-26,140143,42,,2025-02-10T23:39:34Z,"hyperpop","Pack Records",0.688,0.809,2,-6.22,1,0.109,0.0438,0.363,0.404,0.35,100.002,4
6QrQIAcvX1OZ0UrOjj2mrJ,"Already Gone","Already Gone","Orion Sun",2024-06-12,228040,47,,2025-02-10T23:39:34Z,"alternative r&b,bedroom pop","Mom+Pop",0.588,0.412,3,-8.362,1,0.0541,0.66,0.0128,0.0787,0.433,139.903,4
