Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0YSLuLkd42sfo1CYXcdijR,"Too Pretty For Buffalo","Too Pretty For Buffalo","Baby Nova",2025-03-06,236525,60,,2025-03-14T04:00:19Z,"","Artist Partner Group, Inc.",0.524,0.56,3,-5.713,1,0.0362,0.103,0,0.112,0.373,76.083,4
2J051fjLklkoPbzOoTAACZ,"Sally, When The Wine Runs Out","Kansas Anymore (The Longest Goodbye)","ROLE MODEL",2025-02-14,218660,79,,2025-03-14T04:00:19Z,"bedroom pop","Interscope Records",0.678,0.814,1,-6.065,1,0.0294,0.015,0,0.104,0.857,119.974,4
45LwOlqL3HOEQkPjjHpu7U,"blade bird","choke enough","Oklou",2025-02-07,198587,57,,2025-03-14T04:00:19Z,"art pop,hyperpop,alternative r&b","True Panther Records",0.67,0.565,6,-7.463,1,0.0414,0.769,0.00143,0.193,0.294,95.007,4
2R9tRDrSrKgfO3UgicExI4,"jupiter","DIVE (deluxe)","almost monday,Jordana",2025-01-22,182386,58,,2025-03-14T04:00:19Z,"","Hollywood Records",0.647,0.811,6,-4.936,1,0.0417,0.0068,0.0067,0.0578,0.929,103.973,4
0ZuR9ulA5MibXlRivZPGdQ,"Nick of Time","Fabrics (Deluxe)","Avry",2025-02-28,163810,35,,2025-03-14T04:00:19Z,"","Avry Recordings",0.713,0.509,9,-9.602,1,0.0395,0.11,0.0652,0.114,0.365,78.017,4
5CmOOH5Lum4krzr0O8M57f,"Chasing You","Chasing You","Black Atlass",2025-03-14,174031,36,,2025-03-14T04:00:19Z,"","Black Atlass Inc.",0.756,0.708,7,-8.715,1,0.0784,0.293,0.314,0.0589,0.669,119.994,4
7ljOGJKQLO3bdsyrbDHTsj,"Lighter","Big After I Die","Charlie Houston",2025-01-31,246040,40,,2025-03-14T04:00:19Z,"","Arts & Crafts",0.56,0.578,2,-5.89,1,0.0324,0.0241,0.0012,0.0972,0.58,170.099,4
0InIeZW4P6VO7dUGRM4AKH,"Sienna","Submarine","The Marías",2024-05-31,224840,80,,2025-03-14T04:00:19Z,"bedroom pop","Nice Life/Atlantic",0.685,0.468,7,-9.405,1,0.031,0.583,0.57,0.159,0.594,147.993,4
3AK1IvwhjvgOAWhl7wuhe6,"Rodeo","Rodeo","Sophia Kennedy",2025-01-29,228349,39,,2025-03-14T04:00:19Z,"art pop","City Slang",0.72,0.691,4,-9.561,0,0.0381,0.0319,0.274,0.0654,0.574,103.008,4
2BgBE2sl7r2vcLeC6vxCfl,"soft light","soft light","young friend",2025-01-03,155387,41,,2025-03-14T04:00:19Z,"","Nettwerk Music Group",0.692,0.455,3,-9.292,1,0.0343,0.751,0.439,0.12,0.343,138.976,4
