Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3WXA2EphDWTd58tFlNzYAw,"Time Machine Love","Time Machine Love","A-bug,タイムマシン Funky Time Machine,ウナチャン",2024-10-31,252923,18,12165404663,2024-10-31T18:58:31Z,"lo-fi,j-r&b,city pop","A-bug",0.745,0.532,1,-9.364,1,0.384,0.21,0,0.349,0.669,130.025,4
4Qaz9T5NxD2Y8GobzmmAk4,"Tobira Wo Akete (CardCaptor Sakura) 2° Opening","Magical Grooves (CardCaptor Sakura Edition)","A-bug,Alissa Fiora,タイムマシン Funky Time Machine",2025-01-03,275624,15,12165404663,2025-01-03T03:05:24Z,"lo-fi,j-r&b,city pop","A-bug",0.702,0.854,7,-5.238,1,0.0538,0.000804,0.000606,0.16,0.51,128.017,4
19i85EumTUda0scxmE44H4,"Midnight Funk","Midnight Funk","タイムマシン Funky Time Machine",2024-05-03,144000,15,12165404663,2024-05-03T13:40:25Z,"j-r&b,city pop","タイムマシン Funky Time Machine",0.68,0.834,11,-5.227,1,0.0786,0.00019,0.451,0.339,0.717,124.948,4
771tx1oX7hGvsSlEgxRHqu,"Hayabusa Solawave 1991","Hayabusa Solawave 1991","タイムマシン Funky Time Machine",2024-07-19,84923,18,12165404663,2024-07-19T06:58:38Z,"j-r&b,city pop","タイムマシン Funky Time Machine",0.697,0.921,10,-7.406,0,0.0356,0.00000238,0.722,0.257,0.717,130.054,4
2tSJ6Vo9l9ywIjMIKAJtlr,"Tokyo Nights","Neo Tokyo Future Beats","タイムマシン Funky Time Machine,A-bug",2023-08-25,225230,14,12165404663,2023-08-25T03:30:36Z,"j-r&b,city pop,lo-fi","タイムマシン Funky Time Machine",0.716,0.949,1,-6.737,1,0.115,0.000744,0.328,0.25,0.654,130.014,4
5aK674QqQpC5abAUFtWvki,"Venus","Venus","ウナチャン,Phase Zero",2025-03-10,240124,7,12165404663,2025-03-11T01:47:19Z,"j-r&b,vaporwave","Future Tune",0.381,0.937,10,-4.891,0,0.47,0.0149,0.0164,0.122,0.263,129.998,4
1tlCTbsR1tsU8EzaKF24ab,"Groovy (CardCaptor Sakura) 1° Ending","Magical Grooves (CardCaptor Sakura Edition)","A-bug,Alissa Fiora,タイムマシン Funky Time Machine",2025-01-03,166213,14,12165404663,2025-01-03T03:05:24Z,"lo-fi,j-r&b,city pop","A-bug",0.705,0.81,0,-6.227,1,0.0592,0.000582,0.372,0.0981,0.548,130.028,4
2xs0wJr9FRwdxG0D66lv1T,"I Want Chu","I Want Chu","Oran Jusu",2025-02-28,201773,21,12165404663,2025-03-02T11:24:29Z,"","Plastic Love",0.63,0.911,8,-6.494,1,0.128,0.0592,0.604,0.834,0.749,123.904,4
2Adx7w1zkrJVZFNF6vRMhy,"Moon Prism Power Make Up! (Sailor Moon)","Moon Prism Power Make Up! (Sailor Moon)","A-bug,Rafush,タイムマシン Funky Time Machine,Jembei",2023-10-27,123555,20,12165404663,2023-10-27T03:07:47Z,"lo-fi,j-r&b,city pop","A-bug",0.652,0.901,11,-8.275,0,0.196,0.00016,0.543,0.383,0.696,135.01,4
0MbiErhZY1leao1cyQOiQj,"Remember Summer Days","Remember Summer Days","A-bug,タイムマシン Funky Time Machine,Alissa Fiora",2024-04-19,226874,14,12165404663,2024-04-19T03:04:21Z,"lo-fi,j-r&b,city pop","A-bug",0.694,0.879,4,-6.384,1,0.0533,0.002,0.203,0.377,0.876,127.973,4
59QtNokgSZQ2ukAA7XO2nF,"danceさせる","danceさせる","ウナチャン",2025-01-29,199354,6,12165404663,2025-03-10T02:40:18Z,"j-r&b","5148452 Records DK",0.665,0.883,8,-5.723,0,0.405,0.0523,0.108,0.31,0.536,124.026,4
4vpltIjCfGgoNvE37Eqgko,"Ao No Sumika","青のすみか (Jujutsu Kaisen)","A-bug,Alissa Fiora,Mito Namikawa",2025-02-07,197720,16,12165404663,2025-02-07T03:11:55Z,"lo-fi,j-r&b","A-bug",0.541,0.892,4,-6.895,1,0.0532,0.000246,0.432,0.836,0.714,151.907,4
6ZfE9HUqFtARAdy0U0W01N,"personagroove4","personagroove4","Corrout",2025-03-07,177782,10,12165404663,2025-03-12T09:14:17Z,"city pop,nu disco","Pacific Collective",0.865,0.867,5,-9.221,0,0.334,0.000962,0.354,0.175,0.621,135.003,4
62NOcf2ujgioCdcWT2tQyN,"Catch You Catch Me (CardCaptor Sakura) 1° Opening","Magical Grooves (CardCaptor Sakura Edition)","A-bug,Alissa Fiora,タイムマシン Funky Time Machine",2025-01-03,222809,12,12165404663,2025-01-03T03:05:24Z,"lo-fi,j-r&b,city pop","A-bug",0.732,0.94,0,-5.951,1,0.046,0.00804,0.685,0.584,0.638,129.992,4
7J2m2gAjxm3SWE1TIsD5xA,"Candy Crush","Candy Crush","Ajotabeats,A-bug",2022-03-30,154721,13,12165404663,2022-03-30T03:53:13Z,"lo-fi,vaporwave","Ajotabeats",0.696,0.794,10,-8.44,1,0.49,0.0395,0.000634,0.0825,0.587,130.179,4
605KouRMg7cT0t4hDg6Uay,"可愛いpig","可愛いpig","ウナチャン",2024-07-23,132147,11,12165404663,2024-07-28T16:49:52Z,"j-r&b","5148452 Records DK",0.766,0.764,8,-7.344,0,0.288,0.0148,0.0000105,0.0881,0.748,126.049,4
65VrTa3Jb5ZGTlmUjaX9vb,"Good Bye Boogie Dance","Good Bye Boogie Dance","タイムマシン Funky Time Machine",2024-09-06,203076,16,12165404663,2024-09-07T01:55:29Z,"j-r&b,city pop","タイムマシン Funky Time Machine",0.719,0.76,11,-7.266,0,0.149,0.000554,0.928,0.106,0.579,130.021,4
1FA49CNEIxQS8Kv6Qw0v71,"あなたへのおすすめ(A-bug Remix)","あなたへのおすすめ(A-bug Remix)","Uilou,A-bug",2023-11-15,245960,19,12165404663,2023-11-14T15:28:26Z,"breakcore,lo-fi","Uilou",0.704,0.882,5,-6.054,0,0.0368,0.431,0.00117,0.31,0.809,130.012,4
6u3H9YixXlUuxLSac2YoQK,"ピーチ⭐️Tell Me","ピーチ⭐️Tell Me","エフエムTOWNS,DE DE MOUSE,Sasuke Haraguchi,寧音",2024-11-13,156000,22,12165404663,2024-12-21T19:17:59Z,"city pop,j-dance,shibuya-kei,vocaloid","not records",0.705,0.792,1,-5.447,1,0.0607,0.292,0,0.352,0.686,159.857,4
39FO0D16cEPNoXWCgOqKAn,"I Can't Stop","I Can't Stop","A-bug,Danny Styles",2023-02-13,265100,12,12165404663,2023-02-13T06:17:18Z,"lo-fi,city pop","A-bug",0.694,0.921,7,-5.781,1,0.355,0.0036,0.00384,0.07,0.601,134.051,4
5UmPlaiMJzRxdEcrd9uLTl,"Fall In Love","Fall In Love","A-bug,タイムマシン Funky Time Machine,Ajotabeats",2023-12-15,183798,10,12165404663,2023-12-15T03:11:42Z,"lo-fi,j-r&b,city pop,vaporwave","A-bug",0.869,0.727,10,-9.709,1,0.396,0.00437,0.00155,0.145,0.668,128.042,4
7ERekqOQVQkKa7wLSM25k0,"Exotic Yokogao - Night Tempo Showa Groove Mix","Hitomi Tohyama - Night Tempo Presents The Showa Groove","Night Tempo,Hitomi Tohyama",2024-01-31,228106,15,12165404663,2024-09-06T02:59:31Z,"city pop,vaporwave,j-dance,j-r&b","Nippon Columbia Co., Ltd./NIPPONOPHONE",0.837,0.935,6,-4.076,1,0.21,0.0834,0.274,0.154,0.936,128.017,4
1i5G0teFxebNaarsHck4Mk,"Ronaldinho ワールドサッカー","Neo Tokyo Future Beats","タイムマシン Funky Time Machine",2023-08-25,166153,10,12165404663,2023-08-25T03:30:36Z,"j-r&b,city pop","タイムマシン Funky Time Machine",0.714,0.961,11,-7.63,0,0.139,0.0000549,0.864,0.0846,0.501,130.091,4
2NGnf2a7tIqhuX0PL63qun,"i wanna dance on lonely nights","Funk to the Future","ウナチャン",2024-07-30,248380,8,12165404663,2024-09-07T03:42:44Z,"j-r&b","5148452 Records DK",0.75,0.721,7,-8.511,1,0.0754,0.435,0.0000709,0.115,0.838,120.143,4
2ec2LiAc0U0OuEyhiVfFwg,"リカちゃん","Neo Tokyo Future Beats","タイムマシン Funky Time Machine",2023-08-25,212000,10,12165404663,2023-08-25T03:30:36Z,"j-r&b,city pop","タイムマシン Funky Time Machine",0.744,0.825,2,-7.626,1,0.12,0.000155,0.15,0.11,0.911,119.978,4
0cwRardX67NbsvOYCttNJG,"摩天楼Starlight","摩天楼Starlight","DE DE MOUSE,HITOMITOI",2024-07-17,202558,17,12165404663,2025-01-15T05:21:31Z,"j-dance,city pop,shibuya-kei,jazz fusion","not records",0.625,0.879,6,-5.07,0,0.0915,0.0293,0.00158,0.161,0.65,128.023,4
3bVVmBBPPQ47Go4NkGC3XW,"Million Miles Away - Edit","Million Miles Away (Edit)","Vantage,Milk Talk",2023-07-05,211995,34,12165404663,2024-11-02T07:21:08Z,"city pop,vaporwave,j-dance","Inaka Disco",0.685,0.846,1,-6.108,0,0.0385,0.0154,0.00917,0.315,0.765,108.01,4
0kAuLxnK67blnJYMDeTJeN,"Sky high","Castto IV","Tui",2021-02-19,230769,0,12165404663,2024-09-22T06:07:11Z,"trap funk,funk carioca","Tui",0.7,0.968,2,-5.76,1,0.0447,0.000378,0.0265,0.0852,0.935,130,4
5xkt8vnh8OBCrnzeL9dxGs,"THANK YOU","THANK YOU","Ajotabeats",2021-02-23,140692,17,12165404663,2022-03-11T13:28:26Z,"lo-fi,vaporwave","Ajotabeats",0.697,0.895,1,-8.95,1,0.526,0.0443,0.597,0.123,0.642,130.013,4
5WV2IEdEFdvALwNqMm4PoP,"Venti coffee","Venti coffee","bedroomtheft",2025-02-20,229547,5,12165404663,2025-02-22T02:37:30Z,"nu disco,future bass","bedroomtheft",0.606,0.95,0,-2.95,0,0.198,0.0227,0.000244,0.297,0.816,109.033,4
418ur7qlTdMxgYnDhHWJLG,"Michael BaBe's Disco","Michael BaBe's Disco","Phase Zero",2024-12-31,246461,11,12165404663,2025-01-03T23:04:06Z,"vaporwave,j-r&b","PROJECT ZERO",0.694,0.975,11,-5.685,0,0.303,0.0622,0.0000876,0.148,0.509,130.113,4
6IgcAGUKRIXiehRZMZMRsw,"Sunset Road","Sunset Road","タイムマシン Funky Time Machine,Odisseia Groove",2023-09-27,179062,12,12165404663,2023-09-30T15:51:10Z,"j-r&b,city pop","タイムマシン Funky Time Machine",0.721,0.954,7,-6.993,1,0.139,0.00832,0.013,0.513,0.865,127.98,4
2E8I0RWARJNigXIVAZbJUE,"JUST BUBBLY","Sunset For Two","KaijuuOST",2025-01-10,131098,9,12165404663,2025-01-10T04:30:51Z,"j-r&b,nu disco","KaijuuOST",0.705,0.921,6,-8.58,1,0.245,0.00287,0.0357,0.522,0.795,127.936,4
6kjpSlxAKCbz1AsWJdFdMX,"Eleven Night","Eleven Night","☆NoAki☆",2025-01-10,110691,30,12165404663,2025-01-09T22:17:59Z,"breakcore","VBR",0.851,0.931,1,-4.152,0,0.213,0.327,0.00228,0.12,0.423,123.026,4
7iYzzxnru0nDyoJft5MD4k,"CAPCOM vs SNK (Garage House Mix)","CAPCOM vs SNK (Garage House Mix)","A-bug,タイムマシン Funky Time Machine",2024-05-31,120000,15,12165404663,2024-05-31T03:02:03Z,"lo-fi,j-r&b,city pop","Gatomon",0.673,0.804,2,-6.944,1,0.0969,0.00323,0.808,0.111,0.142,124.958,4
