Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6MN6yRVriszuyAVlyF8ndB,"Coffee Cold","Shapes of Rhythm/Woman Is Sweeter","Galt MacDermot",2000-01-01,205720,63,,2025-01-07T13:20:15Z,"","Kilmarnock Records",0.685,0.472,9,-9.691,0,0.0298,0.785,0.284,0.224,0.475,80.487,4
2QHFSR7VUZZfRRwZycKqSa,"Love Theme From Spartacus - Remastered 2023","Eastern Sounds (Remastered 2023)","Yusef Lateef",2024-02-02,255097,55,,2025-01-07T13:20:15Z,"jazz,hard bop,free jazz,avant-garde","Craft Recordings",0.583,0.301,4,-16.064,0,0.0295,0.595,0.923,0.0701,0.519,133.339,3
4DVu7YgHVJaeN0C7HNpy2q,"Turiya & Ramakrishna","Ptah The El Daoud","Alice Coltrane",1996-01-01,498146,54,,2025-01-07T13:20:15Z,"free jazz,jazz","Impulse!",0.418,0.295,6,-14.667,1,0.0303,0.913,0.896,0.248,0.132,109.621,4
6xjngOjttV8JBN1UqKEnbS,"COOL OUT","HUTSON","Leroy Hutson",1975-05-05,177280,42,,2025-01-07T13:20:15Z,"","TRIUMPH RECORDS",0.362,0.361,2,-16.219,0,0.0371,0.0828,0.00146,0.102,0.132,91.999,4
0E8q2Fx2XuzXCO2NSAppkR,"In A Sentimental Mood","Duke Ellington & John Coltrane","Duke Ellington,John Coltrane",1963-02,255226,65,,2025-01-07T13:20:15Z,"jazz,big band,swing music,cool jazz,hard bop,free jazz,bebop,jazz blues","Impulse!",0.464,0.305,3,-12.435,0,0.0316,0.936,0.0848,0.208,0.281,107.854,4
7znjbX9XdoQayIrVNdd50Z,"The Girl From Ipanema","Getz/Gilberto (Expanded Edition)","Stan Getz",1964-03-01,320253,68,,2025-01-07T13:20:15Z,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz","Verve Reissues",0.654,0.147,10,-17.844,0,0.039,0.867,0.000923,0.0986,0.472,130.359,4
6TAW00MAPvS59yEoIgtOEI,"All Alone","All Alone","Mal Waldron",1966-01-01,310054,45,,2025-01-07T13:20:15Z,"hard bop,jazz,free jazz,jazz blues","Universal Digital Enterprises",0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,4
1YQWosTIljIvxAgHWTp7KP,"Take Five","Time Out","The Dave Brubeck Quartet",1959-12-14,324133,69,,2025-01-07T13:20:15Z,"jazz,cool jazz","Columbia/Legacy",0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,5
0kUYnVS6z9YhL22l9pDDcB,"Dolphin Dance","The Awakening","Ahmad Jamal Trio",1970,309200,48,,2025-01-07T13:20:15Z,"jazz,cool jazz,hard bop","Impulse!",0.469,0.232,4,-18.065,0,0.0309,0.868,0.924,0.101,0.131,74.844,4
1J9iVCaEriyoMXpj2XszhU,"When Sunny Gets Blue","Today And Tomorrow","McCoy Tyner",1964,282320,62,,2025-01-07T13:20:15Z,"jazz,hard bop,cool jazz,bebop,free jazz","GRP",0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,4
0Wh99eifNTNqDFRtzWhCE2,"Corcovado (Quiet Nights Of Quiet Stars)","Getz/Gilberto (Expanded Edition)","Stan Getz,João Gilberto,Astrud Gilberto,Antônio Carlos Jobim",1964-03-01,256560,64,,2025-01-07T13:20:15Z,"bossa nova,jazz,brazilian jazz,cool jazz,latin jazz,samba,mpb,vocal jazz,adult standards","Verve Reissues",0.519,0.132,0,-17.856,1,0.0478,0.916,0.00106,0.246,0.376,127.214,4
3f9KhpRN6mMYoVnpuozgHD,"Gary's Theme - Remastered 2003","You Must Believe In Spring (Remastered Version)","Bill Evans",1981-02-02,257693,62,,2025-01-07T13:20:15Z,"jazz,cool jazz,bebop,hard bop","Craft Recordings.",0.421,0.08,7,-21.795,1,0.04,0.903,0.859,0.135,0.0546,122.044,3
2gG3ivmsfylVXLyIJvLXyN,"Journey In Satchidananda","Journey in Satchidananda","Alice Coltrane,Pharoah Sanders",1971,396066,49,,2025-01-07T13:20:15Z,"free jazz,jazz,hard bop","GRP",0.184,0.543,11,-13.583,0,0.0391,0.016,0,0.105,0.211,98.4,3
38xcUjiTP1ivfb7ObwjyGA,"Watermelon Man - Remastered 2007","Takin' Off (Expanded Edition)","Herbie Hancock",1962-05-28,429266,54,,2025-01-07T13:20:15Z,"jazz,jazz fusion,jazz funk,hard bop,cool jazz","Blue Note Records",0.612,0.526,0,-8.558,0,0.0272,0.727,0.0331,0.183,0.594,129.341,4
7ilc2TB1RZXbQJyFs5qCiC,"Fly Me To The Moon","The Shadow Of Your Smile","Astrud Gilberto",1965-05-22,142533,63,,2025-01-07T13:20:15Z,"bossa nova,brazilian jazz,latin jazz,vocal jazz,adult standards","Verve Reissues",0.596,0.306,7,-14.404,1,0.0345,0.884,0.000375,0.0733,0.474,133.639,4
2qswPLZD9CbUoSidGNyxwm,"It Ain't Necessarily So","Gilles Peterson - Magic Peterson Sunshine","Mary Lou Williams",2016-04-15,280480,52,,2025-01-07T13:20:15Z,"jazz,bebop","MPS",0.477,0.237,4,-17.115,0,0.0321,0.947,0.901,0.0974,0.178,126.222,3
0aWMVrwxPNYkKmFthzmpRi,"Blue in Green (feat. John Coltrane & Bill Evans)","Kind Of Blue (Legacy Edition)","Miles Davis,John Coltrane,Bill Evans",1959-08-17,337733,64,,2025-01-07T13:20:15Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,jazz blues,free jazz","Columbia/Legacy",0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,4
5F8rPLt2c52p0SK7kiH26b,"Crystal Silence","Return To Forever","Chick Corea",1972-07-01,415000,47,,2025-01-07T13:20:15Z,"jazz fusion,jazz,latin jazz,free jazz","ECM Records",0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591,4
0sCeNwt8xRCMR4NhKpMyBe,"Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition","Empyrean Isles (Expanded Edition)","Herbie Hancock",1964-06-17,333946,60,,2025-01-07T13:20:15Z,"jazz,jazz fusion,jazz funk,hard bop,cool jazz","Blue Note Records",0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,4
4smkJW6uzoHxGReZqqwHS5,"I'll Be Seeing You","Billie Holiday","Billie Holiday",1957-01-01,211533,67,,2025-01-07T13:20:15Z,"jazz,vocal jazz,jazz blues,big band","Verve Reissues",0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,3
5Lhjlnly9Ynhf52ojQS534,"My Baby Just Cares for Me (2013 - Remaster)","Little Girl Blue (2013 - Remaster)","Nina Simone",2013-08-27,215746,69,,2025-01-07T13:20:15Z,"vocal jazz,jazz blues,soul jazz,soul,jazz,blues","Bethlehem Jazz",0.747,0.243,4,-15.134,0,0.124,0.829,0.00000102,0.0905,0.426,118.661,4
4rmCI9VWrwrJTJ8XQ80BMN,"My Little Brown Book","Duke Ellington & John Coltrane","Duke Ellington,John Coltrane",1963-02,319733,61,,2025-01-07T13:20:15Z,"jazz,big band,swing music,cool jazz,hard bop,free jazz,bebop,jazz blues","Impulse!",0.381,0.187,7,-13.497,0,0.0322,0.942,0.135,0.161,0.215,70.418,4
