Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4RyMSXFOu9TmoKID0tVJIS,"Funkin' Around","Funkin' Around","Brock Berrigan",2023-05-05,106933,34,,2025-03-18T20:47:11Z,"lo-fi beats,jazz beats,jazz rap,trip hop,lo-fi","Brock Berrigan",0.75,0.764,6,-5.272,0,0.0338,0.00676,0.0581,0.324,0.898,101.003,4
74QLfg69aVm4Afw3VGhDTY,"Port Antonio","Port Antonio","J. Cole",2024-12-31,316235,63,,2025-03-18T20:47:11Z,"rap","Cole World, Inc. under exclusive license to Interscope Records",0.477,0.591,2,-7.271,0,0.333,0.299,0,0.153,0.582,80.857,4
7t5qW5nd52zSft927ByoHF,"Amnesia - Slim. Remix","Still Nothing Still (Deluxe)","Summers Sons,Slim.,Jackson Mathod",2024-07-12,186153,35,,2025-03-18T20:47:11Z,"jazz rap,jazz funk,soul jazz,nu jazz","Melting Pot Music",0.741,0.396,6,-10.445,1,0.316,0.894,0.0912,0.111,0.415,78.199,4
0xSGp6VPeckr3Inxz3IrA9,"Just for Kicks (“Meat Grinder” demo)","Madvillainy Demos","Madvillain,Madlib,MF DOOM",2025-01-31,166016,52,,2025-03-18T20:47:11Z,"experimental hip hop,alternative hip hop,jazz rap,east coast hip hop","Stones Throw Records",0.489,0.845,8,-7.56,0,0.484,0.634,0,0.413,0.782,90.838,4
2HtpC9dJ6jOLa4OMN0nnfj,"What Am I to Do?","What Am I to Do?","Ezra Collective,Loyle Carner",2019-04-03,244733,43,,2025-03-18T20:47:11Z,"jazz rap,nu jazz","Enter The Jungle",0.81,0.705,8,-8.041,0,0.239,0.392,0.115,0.109,0.681,96.696,4
0TXJsbQDxbUlsjsk2FttAb,"Acaecer","Acaecer","La Brigida Orquesta,Ana Tijoux",2024-07-04,224906,50,,2025-03-18T20:47:11Z,"jazz rap,latin hip hop,latin alternative","La Brígida Orquesta",0.682,0.502,9,-6.656,0,0.289,0.57,0.0000788,0.104,0.776,86.831,4
2S5nBg0LC70vm8ODpxUY7e,"Most Days","Most Days","Syf of Talking Knots,Mondo Loops",2022-08-29,149333,37,,2025-03-18T20:47:11Z,"jazz rap,lo-fi,lo-fi beats","Aviary Bridge Records",0.761,0.267,5,-17.163,0,0.171,0.926,0.624,0.102,0.341,89.96,4
1lw3asU5xp73sdBy0rYsuK,"Friendly Hallucinations","Balloonerism","Mac Miller",2025-01-17,285805,67,,2025-03-18T20:47:11Z,"","Warner Records",0.582,0.512,0,-7.886,1,0.226,0.174,0,0.0947,0.397,81.509,4
0gSLaX91J2Cs9cWXqsRc4X,"Children Of The Internet - Ezra Collective Remix","Children Of The Internet (Remixes)","Future Utopia,Ezra Collective,Dave,Es Devlin",2020-12-03,353346,52,,2025-03-18T20:47:11Z,"jazz rap,nu jazz,grime,uk drill,drill","70Hz Recordings",0.514,0.638,0,-5.033,1,0.0861,0.0204,0.0704,0.327,0.521,173.628,4
2Wmc9yRZJH0xcfPUbnu4rj,"P.O.P Hold It Down","P.O.P Hold It Down","RetcH,Ab-Soul",2025-02-14,210649,47,,2025-03-18T20:47:11Z,"","FASTMONEY",0.721,0.671,1,-9.876,1,0.455,0.424,0.00000738,0.279,0.623,97.989,4
4xP0S8zYknb3pBCotgY7T7,"Breathe","Breathe","Syrup,Twit One,C.Tappin,Turt",2023-03-22,189146,32,,2025-03-18T20:47:11Z,"jazz rap,lo-fi beats","Melting Pot Music",0.588,0.374,7,-10.746,1,0.261,0.127,0,0.141,0.184,81.867,4
3wImNO7NIhfZZ17wyZr5yb,"The Gout","The Gout","Jimmie D,Nicholas Craven,Tha God Fahim",2025-03-07,165752,42,,2025-03-18T20:47:11Z,"jazz rap,boom bap,underground hip hop","Nicholas Craven Productions",0.433,0.656,9,-6.733,1,0.454,0.313,0,0.642,0.583,75.846,4
7c9T1m1RrtAWopKQVvFC3D,"Let It Go","Let It Go","Erick the Architect,Loyle Carner,FARR",2020-12-09,223641,61,,2025-03-18T20:47:11Z,"jazz rap","Architect Recording Company",0.747,0.613,8,-8.151,0,0.398,0.124,0.00364,0.288,0.555,139.723,4
3D1fiZW2BZf7QpbqhgFtwb,"Dont Wanna C Me Rich","Dont Wanna C Me Rich","Redman",2024-11-26,141172,48,,2025-03-18T20:47:11Z,"east coast hip hop,hardcore hip hop,hip hop","GILLA HOUSE / RIVETING MUSIC I Powered by Groundwērk",0.932,0.65,7,-5.295,1,0.324,0.151,0,0.709,0.626,104.892,4
752bn2V69weT2NKka3Fz5F,"GREEN LIGHT","GREEN LIGHT","Moses Yoofee Trio,ENNY",2024-11-08,175714,42,,2025-03-18T20:47:11Z,"nu jazz,jazz fusion,alternative r&b","LEITER",0.587,0.755,10,-9.394,0,0.151,0.0343,0.0241,0.0847,0.754,112.125,4
7KPZwV0b7aFQXhIPahLJdZ,"Bittersweet Baby","ARE WE STILL DREAMING?","blackwave.,Konteks",2019-11-08,199373,52,,2025-03-18T20:47:11Z,"jazz rap,lo-fi beats,jazz beats,lo-fi","Sony Music Entertainment",0.69,0.665,6,-6.963,0,0.0746,0.597,0,0.606,0.423,88.018,4
11qPxILRaVPoLVgVajD82l,"Standing There","The Silhouettes Project","The Silhouettes Project,Pedro Retro,Meron T,Asher Kosher,Paya",2020-12-11,226933,48,,2025-03-18T20:47:11Z,"jazz rap,indie r&b,indie jazz","Melting Pot Music",0.659,0.316,7,-13.136,1,0.359,0.627,0.0000271,0.168,0.38,96.472,4
6lDGHbWMmi6MzcLzsAVs9D,"Tesla Tower Power","Tesla Tower Power","Raz Fresco,Futurewave",2025-03-15,162125,34,,2025-03-18T20:47:11Z,"underground hip hop,boom bap,jazz rap,hardcore hip hop,east coast hip hop","VinDig",0.479,0.701,10,-7.002,0,0.104,0.778,0.00000562,0.408,0.519,77.49,4
48Co4cbgmgcAGch0mZoJuJ,"Egyptian Luvr","Dear Annie","Rejjie Snow,Dana Williams,Aminé",2018-05-03,256613,54,,2025-03-18T20:47:11Z,"jazz rap","+1 Records",0.834,0.591,10,-7.543,0,0.305,0.0563,0,0.074,0.901,104.949,4
5Niwu1Unu9JZEkkFmvWfyZ,"Flashback","See You Soon","Submerse,Devin Morrison,Pink Siifu",2019-09-27,153750,36,,2025-03-18T20:47:11Z,"chillstep,jungle,jazz rap,neo soul,experimental hip hop","Project Mooncircle",0.775,0.555,7,-8.73,1,0.253,0.0593,0.00187,0.0876,0.485,95.965,4
344MYybqGBtYOEI97tb0f5,"MOVIN'","GISEKE","Bluestaeb,Mick Jenkins,Aréna",2021-07-23,153028,51,,2025-03-18T20:47:11Z,"jazz rap,nu jazz","Jakarta",0.713,0.525,1,-10.334,1,0.267,0.673,0.0091,0.115,0.604,163.989,4
0NCPFi6xi9C75yvdfukZKY,"gin and wine (ginuwine)","gin and wine (ginuwine)","tg.blk",2024-02-21,129473,58,,2025-03-18T20:47:11Z,"jazz rap","Little Worry",0.621,0.454,5,-8.957,0,0.0408,0.515,0.0383,0.502,0.45,76.042,4
38g4mEWyukKL2IZwX5f4jg,"Good Vibrations","Good Vibrations","freekind.",2022-12-09,216883,36,,2025-03-18T20:47:11Z,"jazz rap","Butter92",0.563,0.586,0,-9.062,1,0.412,0.632,0,0.142,0.291,178.178,4
04fnzAJxtQZFVbn8N3XrQm,"Chapter 7 (feat. Ty)","Chapter 7","Ezra Collective,Ty",2016-04-20,287320,53,,2025-03-18T20:47:11Z,"jazz rap,nu jazz,chinese hip hop","Independent",0.787,0.523,7,-8.628,0,0.0603,0.205,0.0492,0.115,0.803,105.041,4
0eAXtuToazVgRJvKn8Rln9,"Double Standards (feat. Sampha)","Double Standards (feat. Sampha)","Ghetts,Sampha",2024-02-08,301800,41,,2025-03-18T20:47:11Z,"grime","Warner Records",0.504,0.68,5,-7.698,1,0.365,0.538,0,0.109,0.57,190.804,4
2OyWzhIOjcafQmZZujXdR7,"Still (Got Your Love)","Burkes Beach","88JETZ,Thelonious,Terrell Morris,Seamus Blake",2025-02-28,155548,36,,2025-03-18T20:47:11Z,"jazz rap,jazz","88JETZ",0.474,0.771,11,-5.528,0,0.132,0.464,0.00000188,0.122,0.523,77.881,4
15vePScuEPjJeOWsnNqGgo,"Casa Lopez","Casa Lopez","Venna,Masego,Mick Jenkins",2023-01-13,243560,52,,2025-03-18T20:47:11Z,"jazz rap","Hillside",0.779,0.634,1,-7.185,1,0.173,0.169,0.00185,0.164,0.556,138.059,4
