Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
46nw6YdpJkEyclznx4VU7o,"Plasma","Planet Piano","DR. GABBA",2022-03-11,251904,57,soundrevolver,2022-09-02T01:21:34Z,"house,gabber","RAVESTATION",0.811,0.749,3,-9.051,1,0.0636,0.0154,0.886,0.133,0.542,125.995,4
4kdnniHBTCnzaYXrnsweSf,"Poison","Lekker Setje Beats","Klaus Veen",2020-07-09,191772,2,soundrevolver,2022-09-02T01:21:31Z,"house","Klaus Veen Records",0.826,0.925,1,-6.441,1,0.254,0.0428,0.00621,0.0689,0.726,126.505,4
2dRbjFqEgHGrrWi8TmKRdx,"Don't Leave Me","Don't Leave Me / Plan A","FJAAK",2014-07-18,415083,35,soundrevolver,2023-01-15T17:42:06Z,"techno,acid techno,hard techno,tekno","50 WEAPONS",0.651,0.761,6,-8.308,0,0.0519,0.000289,0.848,0.0757,0.295,127.991,4
0s2Zkseo3fQldECdroC5wt,"Onslaught - FJAAK Remix","FJAAK 002","Robert Hood,Claude Young,FJAAK",2018-05-04,455418,28,soundrevolver,2023-01-15T17:42:16Z,"minimal techno,techno,acid house,acid techno,dub techno,hard techno,tekno","FJAAK",0.703,0.949,11,-8.06,1,0.0533,0.00294,0.895,0.109,0.262,132,4
39berTw5g2nLQUCJhT7Las,"Rough and Ready","VA - Rifts / Claus Schöning / FJAAK","FJAAK",2020-03-03,342865,21,soundrevolver,2023-01-15T17:42:24Z,"techno,acid techno,hard techno,tekno","SPANDAU20",0.519,0.817,1,-6.671,1,0.0399,0.0000294,0.892,0.111,0.187,134.014,4
3IxDu6hvBJMHRICPYAonxT,"Sunday 2pm","Planet Piano","DR. GABBA",2022-03-11,179238,43,soundrevolver,2022-09-02T01:21:49Z,"house,gabber","RAVESTATION",0.819,0.793,10,-9.594,1,0.112,0.0836,0.939,0.284,0.278,134.016,4
3oXiddNGiWhpmlQCWkJoJ9,"District 8","SYS02","FJAAK",2021-03-05,301995,39,soundrevolver,2022-09-02T01:22:20Z,"techno,acid techno,hard techno,tekno","FJAAK",0.658,0.808,10,-6.792,0,0.182,0.0154,0.766,0.11,0.202,138.212,4
1KNjts5gJXoHouGAAzK0rp,"Fietspomp","Lekker Setje Beats","Klaus Veen",2020-07-09,148879,0,soundrevolver,2022-09-02T01:22:29Z,"house","Klaus Veen Records",0.936,0.72,2,-7.689,1,0.197,0.421,0.13,0.0936,0.439,132.012,4
3WnD6AkOT60qp1lIqSJ9Io,"Starburst","FLAT 22 vol. 001","JACK MARLOW",2022-12-12,257120,20,soundrevolver,2023-04-12T00:08:48Z,"uk garage,house","FLAT 22",0.845,0.666,9,-7.729,0,0.0862,0.00599,0.742,0.0822,0.637,130.008,4
2ud31rYx6b19X31bTtfPvj,"Fine Wine","Fine Wine","DATSKO",2022-08-22,249433,28,soundrevolver,2023-04-12T00:10:01Z,"hard house,lo-fi house,house","HOUZ",0.763,0.77,7,-6.761,1,0.0639,0.00645,0.734,0.0614,0.626,140.017,4
1xBZCiGzEI6SQBSkQ8BW9L,"IN2 THE SUCC / 30TH CENTURY STUNTMAN - Edit","IN2 THE SUCC / 30TH CENTURY STUNTMAN","Dj Streaks",2022-10-07,222019,22,soundrevolver,2023-04-12T00:13:16Z,"lo-fi house,disco house","Method",0.688,0.776,0,-8.844,1,0.0749,0.000524,0.661,0.0544,0.547,133.011,4
7hVgprSqyp0W3yFIgoPBSQ,"Planet Piano","Planet Piano","DR. GABBA",2022-03-11,202142,34,soundrevolver,2022-09-02T01:22:35Z,"house,gabber","RAVESTATION",0.803,0.561,6,-10.055,0,0.203,0.156,0.839,0.11,0.258,126.005,4
3gkQ3aV5YvfxxxVIskBf1i,"Weighing Heavy","Volume 1","JACK MARLOW",2021-08-20,247784,19,soundrevolver,2023-01-15T17:42:49Z,"uk garage,house","Independent",0.802,0.409,10,-16.404,0,0.0562,0.093,0.00218,0.141,0.199,125.017,4
2Du8BZjswEsntaBcerB5i9,"Brusselian Journey - DJibouti Remix","Brusselian Journey (DJibouti Remix)","DJibouti,Toolate Groove",2022-07-02,452046,17,soundrevolver,2023-04-12T00:14:10Z,"lo-fi house,house,funky house","Jinns and Tonic",0.774,0.738,2,-9.331,0,0.0517,0.0332,0.273,0.0473,0.359,126.005,4
5XJ0qnz9DM41yp1hlrtvg6,"What You Need","What You Need","Jeff The Fool",2022-04-15,296250,30,soundrevolver,2023-04-12T00:16:42Z,"lo-fi house","Chevry Records",0.852,0.724,7,-7.671,0,0.0399,0.00517,0.65,0.0976,0.556,127.976,4
6OrQScHNkYMIt5597o51xr,"It’s Time Again","FJAAK 007","FJAAK",2020-09-21,274509,40,soundrevolver,2022-09-02T01:22:39Z,"techno,acid techno,hard techno,tekno","FJAAK",0.754,0.769,4,-6.042,0,0.166,0.0975,0.0355,0.113,0.068,133.007,4
5iZti37mVPkYQHI3NAz1ZY,"The Weekend - Original 12 Inch Mix","The Weekend","Michael Gray",2004-10-04,472760,43,soundrevolver,2022-09-02T01:23:26Z,"disco house,funky house","Altra Moda Music",0.738,0.757,11,-7.209,0,0.0533,0.000114,0.367,0.0533,0.765,127.024,4
5Sfnv0UMOhVxZADw4ast3l,"Infinite Waves","Virtual Paradise","Starjunk 95,BELELA",2022-01-07,197500,0,soundrevolver,2023-01-15T17:43:12Z,"breakcore","Smile Bomb",0.715,0.689,10,-5.957,0,0.0381,0.00222,0.0342,0.126,0.158,119.99,4
7sFOKQzIesnJ2mqkweYlhE,"Meet Her At The Love Parade","Meet Her At The Love Parade","Vieze Asbak",2021-08-14,192017,48,soundrevolver,2022-09-02T01:23:30Z,"hard techno,techno,tekno,gabber,hardcore techno,rave,hardcore","Vieze Asbak Collective",0.773,0.891,2,-10.327,1,0.0499,0.325,0.934,0.133,0.232,140.009,4
64vBCC1lpjEnF10CkDiDhv,"Every Morning","Late Checkout","Chris Lorenzo",2019-10-11,196406,50,soundrevolver,2022-09-02T01:23:37Z,"bassline,bass house,house,tech house,g-house","Sixty6Music",0.795,0.981,6,-4.665,1,0.0517,0.00119,0.91,0.0519,0.666,128,4
4Qg0RPmZuKH8a8ZKX9gIEG,"Housepompertje","Lekker Setje Beats","Klaus Veen",2020-07-09,157857,0,soundrevolver,2022-09-02T01:23:45Z,"house","Klaus Veen Records",0.96,0.827,11,-7.812,0,0.382,0.234,0.94,0.106,0.405,127.751,4
0qlcfqEY4tEkk2O5CCNH1O,"Chocolate Boy - Original","We Love Brazil - 20 EDM Party Tunes","Genisi",2014-06-23,393433,1,soundrevolver,2022-09-02T01:26:43Z,"","Panache Records",0.563,0.623,2,-5.437,1,0.0706,0.00105,0.362,0.0654,0.837,128.04,4
1Y9WBs9GpcFUiDwVjQaaMG,"Giga Groove Radio","Giga Groove Radio","Starjunk 95",2022-03-18,218951,0,soundrevolver,2023-01-15T17:43:17Z,"breakcore","Smile Bomb",0.766,0.94,11,-2.688,0,0.0835,0.00385,0.741,0.377,0.567,123.973,3
4NczzeHBQPPDO0B9AAmB8d,"Assumptions","IV","Sam Gellaitry",2021-05-13,220838,61,soundrevolver,2022-09-02T01:26:47Z,"","FFRR",0.639,0.815,11,-4.718,1,0.221,0.123,0.00113,0.193,0.443,126.055,4
3fI0PpPBbW6GzgzeaPryHz,"Ordinary Days V2","Blaze","Klaus Veen",2018-04-22,356072,0,soundrevolver,2022-09-02T01:26:50Z,"house","Klaus Veen Records",0.761,0.933,1,-7.405,1,0.172,0.0574,0.374,0.0976,0.491,130.826,4
5aVembXiHh1MOlug5Ezb4a,"Volitant","Fair Dinkum","Lemtom",2023-03-03,298750,28,soundrevolver,2023-04-12T00:17:40Z,"house","Miura Records",0.535,0.926,9,-8.594,1,0.0668,0.0409,0.852,0.343,0.518,132.011,4
0DEgOPJfJo2IGlpLeswaHC,"Spunky (Makoto Stage)","Street Fighter III: 3rd Strike - Fight for the Future Original Soundtrack","Capcom Sound Team",1999-07-07,211400,0,soundrevolver,2023-01-15T17:43:31Z,"japanese vgm,soundtrack","カプコン セルピュータ",0.419,0.784,2,-10.469,0,0.0344,0.00000701,0.936,0.308,0.71,164.758,4
5iyngCRe68pucPhG8eODKs,"Theater","ペルソナ4 オリジナル・サウンドトラック","ATLUS Sound Team",2008-07-23,112706,0,soundrevolver,2022-09-02T01:26:53Z,"japanese vgm,soundtrack","アニプレックス",0.72,0.97,6,-8.432,1,0.059,0.0000274,0.885,0.0568,0.954,130.019,4
28sM26L57uo6wwZWtxXfgP,"Electronica In Velvet Room","ペルソナ4 オリジナル・サウンドトラック","ATLUS Sound Team",2008-07-23,285200,0,soundrevolver,2022-09-02T01:26:55Z,"japanese vgm,soundtrack","アニプレックス",0.639,0.756,2,-6.462,1,0.0472,0.00682,0.783,0.0349,0.948,128.008,4
5N4haPo6LCvAKPthVNTFYL,"Keep On Dancing","Twin Turbo Kit","Lemtom",2021-09-03,366210,22,soundrevolver,2023-01-15T17:43:42Z,"house","Miura Records",0.848,0.857,6,-8.727,0,0.0817,0.0123,0.0477,0.0736,0.413,127.995,4
2skx46DmFAp4lcS3Xt26AF,"The Way You Feel","The Way You Feel","Lone,KETTAMA",2020-06-23,270489,28,soundrevolver,2023-04-12T00:19:41Z,"lo-fi house,idm,downtempo,hard house,uk garage","R&S Records",0.597,0.847,2,-8.224,0,0.0428,0.00464,0.795,0.119,0.585,130.002,4
5zYNok9R2spTiNSKEekv5j,"Harajuku Hammer","Harajuku Hammer","Cody Currie,KETTAMA",2020-10-22,255000,23,soundrevolver,2023-04-12T00:20:03Z,"lo-fi house,disco house,funky house,hard house,uk garage","LS Records",0.793,0.894,8,-6.867,0,0.058,0.00228,0.127,0.0763,0.846,127.983,4
2O9gJmjsWTvFn0cMuvYAwB,"Move Ya Body (feat. Nikki Ambers)","Move Ya Body (feat. Nikki Ambers)","Ku De Ta,Nikki Ambers",2018-07-13,166451,38,soundrevolver,2022-09-02T01:27:01Z,"house","SPRS",0.708,0.809,6,-5.88,0,0.0819,0.0189,0,0.159,0.605,124.05,4
51WAOBOsgLT5w0xKp3Whz4,"You Blow My Mind (Dudley Stage)","Street Fighter III: 3rd Strike - Fight for the Future Original Soundtrack","Capcom Sound Team",1999-07-07,193773,0,soundrevolver,2022-09-02T01:27:07Z,"japanese vgm,soundtrack","カプコン セルピュータ",0.574,0.708,6,-10.177,0,0.0314,0.0000275,0.949,0.0869,0.875,130.062,4
61uVH383d46gdtg21veMK5,"Error","Planet Piano","DR. GABBA",2022-03-11,292835,24,soundrevolver,2022-09-02T01:27:19Z,"house,gabber","RAVESTATION",0.771,0.931,2,-7.684,1,0.174,0.00514,0.883,0.115,0.0777,133.996,4
7pkgbURHEjBxNZ9nTeA4Et,"Gabbacannon","Planet Piano","DR. GABBA",2022-03-11,210000,29,soundrevolver,2022-09-02T01:27:22Z,"house,gabber","RAVESTATION",0.524,0.771,11,-10.596,0,0.0974,0.0361,0.757,0.114,0.0711,133.705,4
4VPKcdGUThSAXJIOeQAqxw,"See You, Space Doctor!","Planet Piano","DR. GABBA",2022-03-11,246011,26,soundrevolver,2022-09-02T01:27:31Z,"house,gabber","RAVESTATION",0.793,0.637,6,-8.165,0,0.0488,0.00984,0.893,0.108,0.105,125.964,4
08xvJ83FiXFV8iHCg9WMoc,"Bag Getter","Party Favors","Target Demographic",2021-07-02,273861,30,soundrevolver,2022-09-02T01:27:43Z,"lo-fi house","Target Demographic",0.895,0.84,4,-10.115,0,0.081,0.375,0.241,0.112,0.701,131,4
1DujHPlLscn0w8ycKp1RYf,"Miroki","Chez Critique: Synesthesia","DJibouti,DJacuzzi",2021-06-05,324335,0,soundrevolver,2023-04-12T00:23:45Z,"lo-fi house,house","Critique",0.816,0.707,10,-10.204,0,0.0553,0.314,0.888,0.0763,0.375,126.008,4
4pQQqMm2sD5srHV3GdGqy0,"Running From You","Chez Critique: Ephemeral Blue","DJacuzzi",2021-03-19,207144,0,soundrevolver,2023-04-12T00:23:58Z,"lo-fi house","Critique",0.791,0.891,11,-7.462,0,0.118,0.486,0.862,0.098,0.0895,124.006,4
0xrSOidin8zCsatmmdhUhQ,"Heavy Machine","Heavy Machine","B2",2022-03-04,322573,30,soundrevolver,2022-09-02T01:28:19Z,"hard techno,acid techno,techno,tekno,hardcore techno,rave","NineTimesNine",0.576,0.999,6,-7.841,0,0.0656,0.0000553,0.825,0.16,0.0364,151.999,4
