Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7JSBM7BSHafBx7RwV5waxR,"ShaLala","My Name Is…","SAY MY NAME",2025-03-13,180484,50,,2025-03-18T12:56:11Z,"","WM Korea",0.792,0.797,1,-4.79,0,0.049,0.491,0,0.495,0.905,107.02,4
68UrZQUuO3O6eUiD226xHg,"The Chase","The Chase","Hearts2Hearts",2025-02-24,178900,78,,2025-03-18T12:56:11Z,"k-pop","SM Entertainment",0.711,0.734,2,-4.743,1,0.0335,0.161,0.0015,0.0843,0.143,125.946,4
5PclMa9Pxs1OFWSAS6Nid9,"I DO ME","I DO ME","KiiiKiii",2025-02-24,190556,70,,2025-03-18T12:56:11Z,"k-pop","Starship Entertainment",0.677,0.632,1,-6.533,1,0.0369,0.0886,0,0.141,0.566,96.971,4
5iXD5rOKV99XGtkaiucHpM,"BEBE","S","STAYC",2025-03-18,179391,0,,2025-03-18T12:56:11Z,"k-pop","High Up Entertainment",0.749,0.892,10,-3.82,0,0.0721,0.311,0,0.14,0.77,125.016,4
3V8YCV8jWBI0hlK22fXGKj,"ImPerfect","NewKids on the STARSHIP","NewKids",2025-03-14,226186,35,,2025-03-18T12:56:11Z,"","STARSHIP Entertainment",0.602,0.92,2,-1.763,1,0.0471,0.526,0,0.336,0.636,109.974,4
52eHzpc7mhLZi4x5neDMh1,"Waiting On A Wish - From Disney's Snow White/Korean Single Version","Waiting On A Wish","Suzy",2025-03-14,291586,35,,2025-03-18T12:56:11Z,"k-ballad,soundtrack","Walt Disney Records",0.335,0.279,6,-10.235,1,0.0471,0.767,0,0.12,0.299,82.369,4
49xRqst2gEMbjGuvb1pviO,"OFF-ROAD","OFF-ROAD","BAEKHO",2025-03-14,141226,34,,2025-03-18T12:56:11Z,"","PLEDIS Entertainment",0.782,0.775,6,-4.912,0,0.046,0.0726,0.00000642,0.153,0.523,122.045,4
2chbuybiy6aDDBC985tJcP,"ZEN","Ruby","JENNIE",2025-03-07,201446,79,,2025-03-18T12:56:11Z,"k-pop","OA Entertainment/Columbia",0.685,0.753,6,-7.965,0,0.0516,0.0157,0.00292,0.253,0.205,107.984,4
0mXXjVVAhaasNXga2HMgJK,"Radio (Dum-Dum)","Radio (Dum-Dum)","YUQI",2025-03-17,152373,50,,2025-03-18T12:56:11Z,"k-pop","BMG Rights Management (US) LLC",0.64,0.858,10,-3.575,0,0.131,0.118,0,0.0377,0.94,176.123,4
3UCnEKnght7sSlycogaSak,"WHEE!","Interview X","XIUMIN",2025-03-10,169786,58,,2025-03-18T12:56:11Z,"k-pop,k-ballad,soundtrack","INB100 / ADA",0.707,0.892,10,-1.895,0,0.213,0.0626,0,0.143,0.868,129.911,4
6L2DSQ4tjyyTnPAOQDVfCr,"Almond Chocolate (Korean Ver.)","Almond Chocolate (Korean Ver.)","ILLIT",2025-03-10,201760,57,,2025-03-18T12:56:11Z,"k-pop","BELIFT LAB",0.69,0.892,10,-4.528,1,0.0608,0.149,0.000114,0.138,0.513,108.999,4
1rIxqNylFsRslfo8lRcWJ6,"It’s Okay (Feat. ZICO)","Voice Memo","ASH ISLAND,ZICO",2025-03-12,199266,49,,2025-03-18T12:56:11Z,"k-rap,k-pop","MIDNIGHT RECORDS",0.556,0.729,3,-3.651,1,0.0529,0.178,0,0.0607,0.574,179.897,4
1cgtNgk0bkBjKaHmhes7f0,"Never Loved This Way Before","Never Loved This Way Before (Odd Girl Out X BOYNEXTDOOR) [Original Soundtrack]","BOYNEXTDOOR",2025-03-14,265160,56,,2025-03-18T12:56:11Z,"k-pop","모스트콘텐츠, 니즈랩글로벌앤컬쳐",0.51,0.467,2,-7.736,1,0.0346,0.571,0,0.178,0.289,76.932,4
25ujeTA1Ma2rYzxr7ozdrP,"LIKE U 100","Flowering","Gyubin",2025-02-26,166600,58,,2025-03-18T12:56:11Z,"","LIVEWORKS COMPANY",0.594,0.931,6,-1.967,1,0.152,0.0956,0,0.112,0.89,149.96,4
7dOvUyWUlpZP4UjwQY9fzk,"YELLOW","SPECIAL MINI ALBUM [PLEASURE]","TREASURE",2025-03-07,191801,58,,2025-03-18T12:56:11Z,"k-pop","YG Entertainment/Columbia Records",0.755,0.584,10,-7.225,1,0.0641,0.15,0,0.168,0.708,99.996,4
6nabHsqIYAKS6Nnfuqauw9,"Baby, Not Baby","Accidentally On Purpose - The 2nd Mini Album","SEULGI",2025-03-10,193040,68,,2025-03-18T12:56:11Z,"k-pop","SM Entertainment",0.633,0.893,10,-3.821,0,0.0686,0.0291,0.00000161,0.0775,0.877,100.048,4
12tWYSmupB8x0B4HyalBAm,"Glow Up","Glow Up","RESCENE",2025-02-05,148386,64,,2025-03-18T12:56:11Z,"k-pop","THE MUZE ENTERTAINMENT",0.834,0.844,11,-3.805,0,0.0476,0.2,0.00000629,0.0819,0.742,118.017,4
5unyDrt3v3Yfo7hV20G7DI,"Dangerous","LIKE INFINITE","INFINITE",2025-03-06,180040,55,,2025-03-18T12:56:11Z,"k-pop","INFINITECOMPANY",0.771,0.876,8,-4.067,0,0.0511,0.113,0,0.0837,0.729,116.018,4
1gSL3uw5BpfMNvXNXHtzWi,"DIM","I Did","Yves",2024-11-14,201266,60,,2025-03-18T12:56:11Z,"","PAIX PER MIL",0.77,0.574,2,-7.656,1,0.0363,0.0175,0.217,0.122,0.302,128.998,4
1oyuzoohgPr3SXcVa3gS4g,"LOVE TODAY","BTODAY","BTOB",2025-03-05,187040,51,,2025-03-18T12:56:11Z,"k-pop,k-ballad","BTOB COMPANY",0.444,0.687,6,-5.084,1,0.0385,0.00172,0,0.182,0.476,179.869,4
4VzQkVeV9vv65B4EZ1LYbU,"Heung! (Feat. HAON)","THE GIFT OF DADDY-LONG-LEGS","Jeong Dong Won,HAON",2025-03-13,181813,36,,2025-03-18T12:56:11Z,"k-ballad,k-rap","ShowPLAY Entertainment",0.615,0.905,7,-4.648,1,0.112,0.00818,0,0.0851,0.732,133.945,4
0daiNZK6DTgP65O4mM3Iv1,"The Starry Night","WE : Dream Chaser","ONEWE",2025-03-05,197733,47,,2025-03-18T12:56:11Z,"k-rock,k-pop","RBW Inc.",0.49,0.849,7,-4.24,0,0.0388,0.00202,0,0.426,0.728,159.93,4
4v0Gi15gE9l5KBV4DR2abo,"LOVE RACE","LOVE RACE","SF9",2025-03-11,178173,47,,2025-03-18T12:56:11Z,"k-pop","FNC ENTERTAINMENT",0.644,0.9,6,-3.068,0,0.109,0.00423,0,0.171,0.475,94.992,4
2DbDefRFJ5YOfXCKOeCJJh,"Igloo","Lose Yourself","KISS OF LIFE",2024-10-15,131786,82,,2025-03-18T12:56:11Z,"k-pop","S2 ENTERTAINMENT INC.",0.916,0.609,11,-4.457,0,0.217,0.168,0,0.0906,0.873,139.912,4
7GOIrZTegzVty8mhNhRuA0,"IF I SAY, I LOVE YOU","IF I SAY, I LOVE YOU","BOYNEXTDOOR",2025-01-06,161693,74,,2025-03-18T12:56:11Z,"k-pop","KOZ Entertainment",0.67,0.75,11,-5.278,0,0.106,0.118,0,0.448,0.833,138.219,4
5Pixk2d6ey48MKVq5W6HWt,"DRAMA","Übermensch","G-DRAGON",2025-02-25,234772,72,,2025-03-18T12:56:11Z,"k-pop,k-rap","Galaxy Corporation / EMPIRE",0.659,0.406,9,-7.671,0,0.0336,0.6,0,0.331,0.287,107.907,4
55sQksosEmdlCZvU5JcuOV,"Shhh!","The 5th Mini Album 'VOYAGE'","VIVIZ",2024-11-07,194533,65,,2025-03-18T12:56:11Z,"k-pop","BIGPLANETMADE",0.794,0.814,0,-2.535,1,0.0646,0.0981,0,0.102,0.628,105.025,4
1Lid3Sc6luHWuiauUM6Ckt,"IZNA","N/a","izna",2024-11-25,156040,62,,2025-03-18T12:56:11Z,"k-pop","Genie Music Corporation, Stone Music Entertainment",0.9,0.622,1,-5.262,0,0.0793,0.0172,0,0.139,0.502,106.008,4
45OflED18VsURGw2z0Y6Cv,"Girls Never Die","<ASSEMBLE24>","tripleS",2024-05-08,187920,65,,2025-03-18T12:56:11Z,"k-pop","MODHAUS",0.667,0.912,11,-2.704,0,0.104,0.154,0,0.351,0.675,95.031,4
2U9yHgZ9voJUFjcHinsspT,"Coward","Coward","LEECHANGSUB",2025-03-12,258440,38,,2025-03-18T12:56:11Z,"k-ballad","캔디즈",0.409,0.576,1,-4.659,1,0.0285,0.326,0,0.289,0.259,143.123,4
1OhIn0L6iofnk5bjalWfHq,"Sudden Shower","Lovely Runner, Pt. 1 (Original Soundtrack)","ECLIPSE",2024-04-08,233031,72,,2025-03-18T12:56:11Z,"soundtrack,k-ballad","Genie Music Corporation, Stone Music Entertainment",0.469,0.506,0,-6.283,1,0.0291,0.587,0,0.102,0.217,133.403,4
34j16cc8dbfSQBUDSp5tBG,"Twilight","Twilight","ASTRO",2025-02-23,203500,58,,2025-03-18T12:56:11Z,"k-pop","Fantagio",0.411,0.775,5,-4.483,1,0.0693,0.355,0,0.281,0.428,185.971,4
72gPDy1zVt95zVNali0IhK,"MEOW","MEOW","MEOVV",2024-09-06,172073,71,,2025-03-18T12:56:11Z,"k-pop","The Black Label",0.809,0.733,7,-5.205,1,0.0446,0.0084,0.00000807,0.391,0.578,130.099,4
198zDKzyktXRG1PGpidY9h,"DRIP","DRIP","BABYMONSTER",2024-11-01,180845,81,,2025-03-18T12:56:11Z,"k-pop","YG Entertainment",0.862,0.687,6,-5.215,1,0.0702,0.065,0,0.0862,0.704,119.972,4
4YAgji0t2oRqsu2HJ8YtBD,"The Stranger","ONF:MY IDENTITY","ONF",2025-02-18,183493,51,,2025-03-18T12:56:11Z,"k-pop","WMEntertainment",0.831,0.717,1,-3.59,1,0.0509,0.0271,0,0.0957,0.759,115.981,4
7xCvtMLyJulCU5XyKBkdmm,"Church OPPA (feat. BOBBY)","Church OPPA","OVAN,BOBBY",2025-03-13,200360,32,,2025-03-18T12:56:11Z,"k-rap,k-ballad","WM Korea",0.545,0.9,6,-3.214,0,0.141,0.396,0,0.349,0.813,88.51,4
0GqHe3PHWp2t5Pxkn0lCqD,"Dangerous","Dangerous","BOYNEXTDOOR",2024-09-02,143773,55,,2025-03-18T12:56:11Z,"k-pop","KOZ Entertainment",0.908,0.715,11,-4.448,0,0.0991,0.0144,0,0.0421,0.618,109.98,4
2sDcIrosoXqiGv1D5OQUvF,"Dash","Caligo Pt.1","PLAVE",2025-02-03,174533,71,,2025-03-18T12:56:11Z,"k-pop","VLAST",0.65,0.65,1,-5.663,0,0.0535,0.0219,0,0.113,0.369,103.071,4
4UwsXGVppRRJpKBHy0mtyK,"NEMONEMO","NEMONEMO","YENA",2024-09-30,178026,66,,2025-03-18T12:56:11Z,"k-pop","Genie Music Corporation, Stone Music Entertainment",0.66,0.885,1,-2.525,1,0.0688,0.0157,0.000445,0.301,0.814,137.993,4
0Etk5PtxW6m3zDYR9Eb7W2,"LEGGO","LEGGO","8TURN",2025-03-04,168106,47,,2025-03-18T12:56:11Z,"k-pop","MNH Entertainment / ADA",0.715,0.934,0,-3.496,1,0.111,0.043,0,0.201,0.716,99.968,4
6SW0HfLmyvZdVO4cWDQT45,"BADVILLAIN","OVERSTEP","BADVILLAIN",2024-06-03,189287,58,,2025-03-18T12:56:11Z,"k-pop","BIGPLANETMADE",0.658,0.884,1,-3.725,0,0.0573,0.0499,0,0.137,0.692,133.993,4
1H9C0PyfQAxiMBKvvDZK9N,"TOXIC","TOXIC","MEOVV",2024-11-18,190187,65,,2025-03-18T12:56:11Z,"k-pop","The Black Label",0.827,0.547,0,-6.71,1,0.0584,0.0989,0.00000323,0.185,0.0987,114.942,4
