Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6GG73Jik4jUlQCkKg9JuGO,"The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,81,wind_whisperer,2024-03-01T01:46:40Z,"emo,pop punk,emo pop","Interscope",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
27L8sESb3KR79asDUBu8nW,"Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,75,wind_whisperer,2024-03-01T01:46:48Z,"power pop","S-Curve Records",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
5wQnmLuC1W7ATsArWACrgW,"Welcome to the Black Parade","The Black Parade","My Chemical Romance",2006-10-20,311106,78,wind_whisperer,2024-03-01T01:47:04Z,"emo,pop punk,emo pop","Reprise",0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4
2m1hi0nfMR9vdGC8UcrnwU,"All The Small Things","Enema Of The State","blink-182",1999-06-01,167066,82,wind_whisperer,2024-03-01T01:47:14Z,"pop punk,punk,emo pop,rock,skate punk,emo","Geffen",0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.685,148.708,4
67iAlVNDDdddxqSD2EZhFs,"I'm Gonna Be (500 Miles)","Sunshine on Leith","The Proclaimers",1988,219466,76,wind_whisperer,2024-03-01T01:47:48Z,"","Parlophone UK",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,4
2t0NfhRIiib6zlCw2XlHoq,"All Star","Shrek (Music From The Original Motion Picture)","Smash Mouth",2001-01-01,200066,0,wind_whisperer,2024-03-01T01:48:10Z,"","DreamWorks",0.753,0.874,11,-5.365,1,0.036,0.0396,0,0.0949,0.806,104.365,4
1hy6Dic0L5SU1XqjhYY1TR,"Accidentally In Love","Shrek 2","Counting Crows",2004-01-01,188893,0,wind_whisperer,2024-03-01T01:48:20Z,"","Geffen",0.556,0.929,7,-3.659,1,0.037,0.0499,0.0000017,0.0931,0.842,137.996,4
1hwdPQtFHISvZ9SXMkNrIK,"A Whole New World","Aladdin Special Edition","Lea Salonga,Brad Kane,Disney",2004-01-01,160800,67,wind_whisperer,2024-03-01T01:50:38Z,"","Walt Disney Records",0.285,0.227,0,-15.793,1,0.0354,0.846,0.00000211,0.1,0.135,115.8,4
4w1lzcaoZ1IC2K5TwjalRP,"A Thousand Miles","Be Not Nobody","Vanessa Carlton",2002-04-30,237493,78,wind_whisperer,2024-03-01T02:00:09Z,"","A&M",0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,4
6rUp7v3l8yC4TKxAAR5Bmx,"I Hate Everything About You","Three Days Grace (Expanded Edition)","Three Days Grace",2003-07-22,231480,73,wind_whisperer,2024-03-01T19:36:43Z,"post-grunge,rock","Jive",0.498,0.83,6,-5.157,0,0.0421,0.00461,0,0.139,0.453,89.342,4
1vrd6UOGamcKNGnSHJQlSt,"Love Story","Fearless","Taylor Swift",2008-11-11,235266,65,wind_whisperer,2024-03-01T19:44:45Z,"","Big Machine Records, LLC",0.618,0.741,2,-3.95,1,0.031,0.17,0,0.0822,0.296,118.984,4
41gyi3lBZzLRiHwfAAoI1G,"The Night Pat Murphy Died","Play","Great Big Sea",1997-05-20,181653,56,wind_whisperer,2024-03-01T19:48:00Z,"celtic rock,sea shanties,celtic","Warner Music Canada",0.681,0.928,9,-5.168,1,0.0993,0.322,0,0.114,0.637,140.218,4
3kXoKlD84c6OmIcOLfrfEs,"September","September (sped up + slowed)","Earth, Wind & Fire",1978-11-18,216022,82,wind_whisperer,2024-03-02T21:00:43Z,"disco","Columbia/Legacy",0.674,0.832,9,-7.892,1,0.0308,0.146,0.00000506,0.138,0.981,125.996,4
05u81UgU27g8uL5twJ7ABz,"Fly Away With Me","Fly Away With Me","Tom Walker",2016-06-17,211733,45,wind_whisperer,2024-03-13T22:19:36Z,"","Relentless Records",0.421,0.499,5,-8.869,1,0.173,0.61,0,0.0875,0.297,78.621,4
6xfazmMoilCmVh44gQ376g,"Trashin' The Camp","Tarzan Original Soundtrack","Rosie O'Donnell,Phil Collins,Cast - Tarzan",1999-01-01,136626,0,wind_whisperer,2024-03-13T22:19:49Z,"christmas,soft rock","EMI Marketing",0.743,0.705,6,-8.282,1,0.143,0.185,0.0332,0.34,0.649,97.067,4
