Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4zoQ3EqopTIGmK2c2rPV5t,"Cause We've Ended as Lovers","Blow By Blow","Jeff Beck",1975-03-29,342066,55,,2021-12-13T15:23:11Z,"jazz fusion,blues rock,blues","Epic",0.549,0.294,0,-13.181,0,0.0337,0.144,0.798,0.108,0.145,115.294,4
5WJU527RQNyMLuKecjsL8V,"Maggot Brain","Maggot Brain","Funkadelic",1971-07-12,619263,58,,2021-12-13T15:23:11Z,"funk rock,funk","Westbound Records",0.305,0.372,4,-15.089,0,0.0433,0.499,0.723,0.637,0.125,131.245,3
2tAeN2TKlQLOoSPXtARzBV,"Eruption - 2015 Remaster","Van Halen (Remastered)","Van Halen",1978-02-10,102080,61,,2021-12-13T15:23:11Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.225,0.689,8,-9.12,1,0.0555,0.469,0.813,0.337,0.5,93.798,4
1x1XQqhBViz4opcpwc7FVs,"Reelin' In The Years","Can't Buy A Thrill","Steely Dan",1972-11-01,277467,72,,2021-12-13T15:23:11Z,"classic rock","Geffen",0.494,0.54,2,-17.34,1,0.0348,0.154,0,0.0878,0.723,134.976,4
6pnwfWyaWjQiHCKTiZLItr,"Shine On You Crazy Diamond (Pts. 1-5)","Wish You Were Here","Pink Floyd",1975-09-12,811077,70,,2021-12-13T15:23:11Z,"progressive rock,psychedelic rock,classic rock,symphonic rock,art rock,rock","Pink Floyd Records",0.264,0.294,7,-11.941,0,0.028,0.772,0.686,0.107,0.0402,137.937,3
6l8GvAyoUZwWDgF1e4822w,"Bohemian Rhapsody","Stone Cold Classics","Queen",2006-01-01,355400,65,,2021-12-13T15:23:11Z,"classic rock,rock,glam rock","Hollywood Records",0.397,0.386,0,-10.405,0,0.0503,0.271,0,0.188,0.21,144.242,4
0Q2dRzhPWFOex89dOjbq5Y,"Watermelon In Easter Hay","Joe's Garage Acts I, II & III","Frank Zappa",1979-09-17,547960,53,,2021-12-13T15:23:11Z,"progressive rock,art rock,jazz fusion,psychedelic rock,avant-garde,experimental,symphonic rock","Frank Zappa Catalog",0.486,0.433,9,-13.21,1,0.0439,0.192,0.031,0.124,0.295,110.936,4
37Tmv4NnfQeb0ZgUC4fOJj,"Sultans Of Swing","Dire Straits","Dire Straits",1978-10-07,348400,83,,2021-12-13T15:23:11Z,"classic rock","EMI",0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,4
0h4jHdNzUrV9eGR2PT5R8c,"Lenny","Texas Flood (Legacy Edition)","Stevie Ray Vaughan",1983,297373,55,,2021-12-13T15:23:11Z,"blues,blues rock,classic blues,southern rock,modern blues","Epic/Legacy",0.513,0.171,8,-17.904,1,0.0422,0.775,0.458,0.139,0.321,118.461,4
5EWPGh7jbTNO2wakv8LjUI,"Free Bird","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,547106,78,,2021-12-13T15:23:11Z,"southern rock,classic rock,rock","Geffen*",0.249,0.834,0,-8.21,1,0.0574,0.0742,0.0000969,0.0924,0.337,118.222,4
7GqIDx2QVGOpd4r1fZaUUW,"25 or 6 to 4 - 2002 Remaster","Chicago II","Chicago",1970-01-26,289800,62,,2021-12-13T15:23:11Z,"soft rock","Rhino",0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,4
2AxCeJ6PSsBYiTckM0HLY7,"Voodoo Child (Slight Return)","Electric Ladyland","Jimi Hendrix",1968-10-25,313373,66,,2021-12-13T15:23:11Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.214,0.91,8,-6.662,1,0.389,0.477,0.00833,0.0517,0.448,175.549,4
1L2ZkXbRX00ZiaUDuMMgf7,"Floods","The Great Southern Trendkill","Pantera",1996-05-03,419893,67,,2021-12-13T15:23:11Z,"groove metal,metal,thrash metal,heavy metal","Rhino/Elektra",0.364,0.811,11,-7.237,1,0.0621,0.00268,0.0093,0.106,0.151,120.758,4
2K2M0TcglCRLLpFOzKeFZA,"Sunshine Of Your Love","Disraeli Gears (Deluxe Edition)","Cream",1967-11,250400,70,,2021-12-13T15:23:11Z,"classic rock,psychedelic rock,acid rock,blues rock","Universal Records",0.683,0.594,2,-8.289,1,0.0347,0.385,0.0000861,0.121,0.734,115.099,4
75zMKn5euxQdlkZgu4P42J,"Sympathy For The Devil","The Rolling Stones Singles Collection: The London Years","The Rolling Stones",1989-08-15,376800,62,,2021-12-13T15:23:11Z,"classic rock,rock","ABKCO",0.727,0.681,9,-10.943,1,0.221,0.61,0,0.0559,0.578,115.938,4
5XNpdKmlLJPUbwKQceX2tW,"Little Wing","Couldn't Stand The Weather (Legacy Edition)","Stevie Ray Vaughan",1984,408480,60,,2021-12-13T15:23:11Z,"blues,blues rock,classic blues,southern rock,modern blues","Epic/Legacy",0.475,0.383,1,-14.202,1,0.0375,0.362,0.749,0.0728,0.524,114.709,4
2aoo2jlRnM3A0NyLQqMN2f,"All Along the Watchtower","Electric Ladyland","Jimi Hendrix",1968-10-25,240800,74,,2021-12-13T15:23:11Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.438,0.805,8,-6.237,1,0.0624,0.00255,0.0000569,0.0842,0.564,113.253,4
2tVQhBSJ1SQtb4gX0taaiR,"Jessica","Dreams","Allman Brothers Band",1989-06-20,450600,49,,2021-12-13T15:23:11Z,"southern rock,classic rock,blues rock,country rock","Mercury Records",0.345,0.745,2,-11.021,1,0.0327,0.365,0.735,0.19,0.879,105.058,4
2PV9sorI2h94qEPke7SlGI,"Baby's On Fire - Remastered 2004","Here Come The Warm Jets","Brian Eno",1973,319373,40,,2021-12-13T15:23:11Z,"ambient,art rock,krautrock,minimalism,drone,glam rock","EMI Marketing",0.454,0.8,3,-7.705,1,0.0402,0.00338,0.00134,0.0937,0.43,121.818,4
389QX9Q1eUOEZ19vtzzI9O,"While My Guitar Gently Weeps - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,285000,70,,2021-12-13T15:23:11Z,"classic rock,psychedelic rock","EMI Catalogue",0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,4
5HNCy40Ni5BZJFw1TKzRsC,"Comfortably Numb","The Wall","Pink Floyd",1979-11-30,382296,79,,2021-12-13T15:23:11Z,"progressive rock,psychedelic rock,classic rock,symphonic rock,art rock,rock","Pink Floyd Records",0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163,4
1L94M3KIu7QluZe63g64rv,"Alive","Ten","Pearl Jam",1991-08-27,340907,75,,2021-12-13T15:23:11Z,"grunge,rock,post-grunge","Epic/Legacy",0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,4
1uvyZBs4IZYRebHIB1747m,"Purple Rain","Purple Rain","Prince",1984-06-25,521866,75,,2021-12-13T15:23:11Z,"funk rock","Warner Records",0.373,0.452,10,-10.417,1,0.0321,0.0354,0.00227,0.689,0.179,113.212,4
7itr4N5bXkAWesPUomCNf7,"Stranglehold","Great Gonzos! The Best Of Ted Nugent","Ted Nugent",1981,502600,50,,2021-12-13T15:23:11Z,"classic rock,southern rock","Epic/Legacy",0.491,0.738,2,-7.04,1,0.0335,0.0152,0.168,0.2,0.51,148.003,4
5Yp3e8RcjYevBTZYJ7OD7s,"Europa (Earth's Cry Heaven's Smile)","Ultimate Santana","Santana",2007-09-25,305946,53,,2021-12-13T15:23:11Z,"","Arista",0.296,0.669,0,-5.364,0,0.0452,0.03,0.831,0.154,0.679,74.692,4
0uco0wQkB909zpPlHvu5Cc,"Bold as Love","Axis: Bold As Love","Jimi Hendrix",1967-12-01,251013,53,,2021-12-13T15:23:11Z,"psychedelic rock,classic rock,acid rock,blues rock","Legacy Recordings",0.354,0.741,1,-6.389,1,0.0806,0.018,0.0134,0.0753,0.596,142.348,4
6PUabSMXmPnZna361Wwmf7,"Crossroads - Live","Wheels Of Fire","Cream",1968-07-01,258466,57,,2021-12-13T15:23:11Z,"classic rock,psychedelic rock,acid rock,blues rock","Polydor Records",0.391,0.756,7,-11.317,1,0.0648,0.413,0.0418,0.879,0.839,131.648,4
2IvuKO8ZX6CmDaC9EhkyGu,"La Villa Strangiato","Hemispheres","Rush",1978-10-29,575013,32,,2021-12-13T15:23:11Z,"progressive rock,classic rock,rock,hard rock,album rock","Anthem Records Inc.",0.369,0.603,0,-10.285,1,0.0364,0.000877,0.571,0.0896,0.135,142.067,4
4MSqgoFS7e8LpsxeeMMVMu,"Paranoid","The Ultimate Collection","Black Sabbath",2017-02-03,167933,54,,2021-12-13T15:23:11Z,"metal,heavy metal,rock,stoner rock,doom metal,hard rock,classic rock","Rhino/Warner Records",0.429,0.631,4,-11.514,0,0.0769,0.0000785,0.00411,0.175,0.376,162.734,4
6QDbGdbJ57Mtkflsg42WV5,"Hot for Teacher - 2015 Remaster","1984 (Remastered)","Van Halen",1984-01-04,282746,66,,2021-12-13T15:23:11Z,"glam metal,classic rock,rock,hard rock","Rhino/Warner Records",0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,4
