Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4j3EJMATYxJ4ftJbVeAFWu,"Arachnids","Arachnids","Disclosure",2024-10-25,251304,47,,2024-11-09T19:59:38Z,"house","Warehouse Project Records",0.685,0.698,7,-8.303,1,0.114,0.043,0.915,0.657,0.0599,138.016,4
1uyQNwG1sFl7etjFTEHlQp,"Faisal (envelops me)","Actual Life 2 (February 2 - October 15 2021)","Fred again..",2021-11-19,250291,56,,2024-10-24T18:20:01Z,"stutter house,house","Atlantic Records UK",0.726,0.603,9,-8.283,0,0.0613,0.309,0.0519,0.102,0.284,122.024,4
27cgqh0VRhVeM61ugTnorD,"These Things Will Come To Be","Mirrors","DJ Seinfeld",2021-09-03,296360,56,,2024-10-24T17:05:47Z,"lo-fi house","Ninja Tune",0.674,0.74,4,-9.138,1,0.0504,0.515,0.818,0.319,0.166,125.998,4
7kWLSsy2KfSFPhbbNysnns,"Break My Love","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,260400,63,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.578,0.903,1,-6.327,0,0.0301,0.0509,0.111,0.127,0.101,99.988,4
3024peZJbwaW2TnfobmIu8,"In the Moment","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,278720,52,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.63,0.909,10,-6.579,0,0.0288,0.191,0.0362,0.523,0.676,123.971,4
54kpOjZppIgJH4MNwvmNOc,"New York","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,189746,49,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.467,0.468,8,-10.341,1,0.0356,0.775,0.192,0.121,0.304,127.855,4
46KZYSiZk2XxtNkRDTdnHb,"The Life","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,267533,50,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.601,0.723,7,-7.272,0,0.03,0.0305,0.00153,0.101,0.15,122.002,4
2nrJYak41L06ktuU9hTJ7J,"Pressure","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,279346,56,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.663,0.683,7,-6.834,1,0.0296,0.0319,0.00668,0.097,0.271,122.032,4
4CMN7EA8k4J3MJ0y8mLCvQ,"Fire / Desire","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,257280,51,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.561,0.842,1,-6.714,0,0.0293,0.00861,0.0186,0.114,0.0561,124.994,4
0SNigSOxHmaHaZg56DYrTC,"Edge of the Earth","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,271466,51,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.581,0.907,3,-6.21,1,0.0336,0.0118,0.0725,0.0963,0.0947,122.037,4
498TyZR5ETGrRErUeNA6vt,"Standing at the Gates","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,189466,47,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.627,0.583,0,-10.021,0,0.0308,0.436,0.251,0.304,0.518,113.933,4
0B9vTtupLCrdIMGGw7Ck52,"Belong","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,304013,49,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.589,0.657,0,-7.851,0,0.0271,0.246,0.299,0.186,0.226,120.019,4
1KIOuuskVPfKFINwR25Nv4,"Exhale","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,225520,47,,2024-10-16T14:56:38Z,"","Rose Avenue/Reprise",0.515,0.331,0,-10.534,0,0.0342,0.347,0.018,0.0717,0.0809,123.952,4
124hDFQWCBm3PI3RRXU2fH,"Inhale","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,108253,55,,2024-10-16T14:56:37Z,"","Rose Avenue/Reprise",0.373,0.378,1,-10.766,1,0.0364,0.356,0.000983,0.104,0.0358,119.641,4
09eWLCCXXypdgrlfLAMy3n,"Lately","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,249573,63,,2024-10-16T14:56:37Z,"","Rose Avenue/Reprise",0.564,0.895,1,-5.425,0,0.0275,0.0277,0.357,0.428,0.4,125.995,4
1qMGujcR5TWGxvCismyc6U,"Breathe","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,181960,53,,2024-10-16T14:56:37Z,"","Rose Avenue/Reprise",0.425,0.757,11,-7.376,1,0.0288,0.0471,0.0742,0.103,0.111,123.961,4
4NlxBNd38G9nXjCVrbBYre,"Music is Better","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,236080,61,,2024-10-16T14:56:37Z,"","Rose Avenue/Reprise",0.603,0.789,4,-6.407,0,0.0329,0.00416,0.0488,0.677,0.371,121.979,4
2rpop76oW4FQlZJHIZo7Cj,"Levitating","Inhale / Exhale","RÜFÜS DU SOL",2024-10-11,243760,59,,2024-10-16T14:56:37Z,"","Rose Avenue/Reprise",0.635,0.736,4,-7.494,0,0.0365,0.0409,0.0101,0.154,0.594,96.014,4
1ubTFuP9rXCYzYQM7jUoWM,"Pressure","Pressure","RÜFÜS DU SOL",2024-09-27,279346,56,,2024-09-27T21:21:25Z,"","Rose Avenue/Reprise",0.663,0.682,7,-6.834,1,0.0296,0.0319,0.00668,0.097,0.271,122.032,4
4r8wxWwInw1rM5DUXBJNXj,"Secret Jungle","Wild","Nuage",2017-05-05,303528,22,,2024-09-26T19:19:28Z,"liquid funk,lo-fi house","Project Mooncircle",0.729,0.966,6,-6.703,1,0.045,0.0317,0.898,0.0901,0.218,114.979,4
3tqyv30P7pO53IAIUo8IeN,"Break My Love","Break My Love","RÜFÜS DU SOL",2024-09-11,260400,58,,2024-09-18T19:38:23Z,"","Rose Avenue/Reprise",0.578,0.903,1,-6.327,0,0.0301,0.0509,0.111,0.127,0.101,99.988,4
4i2ENJd8xpqTZLF2j6fF5z,"Can't Hurt Me Now","Here We All Are","Murge,Sierra Lundy",2020-03-27,359572,23,,2024-09-12T19:39:46Z,"","Loci Records",0.606,0.776,10,-9.579,0,0.043,0.0411,0.818,0.0835,0.462,121.026,4
1GCyyYAFCfFwbu1z5sbI6S,"Opening Credits","Opening Credits","nimino",2022-09-07,243008,54,,2024-09-11T23:36:31Z,"stutter house,melodic house","TH3RD BRAIN",0.858,0.357,3,-10.205,1,0.0905,0.133,0.691,0.0985,0.283,120.051,4
0K2PQziTagDXHiCFPqoE82,"JOY (Back On 74)","JOY (Back on 74)","Jungle,Joy Anonymous",2023-09-19,271395,51,,2024-09-03T17:27:19Z,"","Caiola Records",0.72,0.826,3,-8.113,0,0.113,0.0606,0.499,0.139,0.498,136.98,4
56fuQi8Bld3J8Jwkw8Hc08,"Key103 [a56 edit]","Key103","Floating Points",2024-07-09,236764,24,,2024-09-03T02:57:33Z,"idm,gnawa","Ninja Tune",0.77,0.85,2,-6.763,1,0.0549,0.000802,0.913,0.0955,0.313,135.009,4
6DdAVeZFL7bsuL37B40nQR,"Before Me","Before Me","Jasper Tygner",2024-04-04,173946,39,,2024-09-03T02:57:20Z,"stutter house,lo-fi house","Technicolour",0.583,0.798,6,-6.974,1,0.0418,0.102,0.41,0.099,0.251,132.029,4
21TV7f41eVauo2erCjLqs4,"The Knife - Bubble Love Remix","Love Divide / The Knife (Bubble Love Remixes)","Ross from Friends,Bubble Love",2024-07-02,339500,28,,2024-09-03T02:57:17Z,"lo-fi house","Brainfeeder",0.287,0.855,1,-4.645,0,0.106,0.0114,0.337,0.283,0.285,83.478,4
3YTLL48dJGvXU7NrtiXDFQ,"CHROMA 004 ROLA","CHROMA 004","BICEP",2024-06-24,289054,39,,2024-09-03T02:57:14Z,"","CHROMA",0.441,0.771,2,-5.45,1,0.0703,0.00185,0.182,0.0873,0.482,140.008,4
3GdogCZTpPHBODiiEJbqQm,"Teardrops","Teardrops","NEIL FRANCES",2018-02-14,198331,71,,2024-08-31T19:17:55Z,"","Nettwerk Music Group",0.87,0.72,11,-7.679,1,0.0413,0.17,0.0908,0.0686,0.832,92.006,4
4uWE5kxVsZlSeNexcpI5vt,"Réveiller (feat. manon)","21 Hours","Shaolin Cowboy,manon",2021-04-23,289787,16,,2024-08-24T00:03:21Z,"lo-fi house","Unbelievably Spectacular",0.842,0.418,8,-9.602,0,0.138,0.765,0.0228,0.117,0.448,128.009,4
2TE1Pr3iaDJdWvGSfMm3TS,"EYAH (You'll Be Alright)","EYAH (You'll Be Alright)","Westend,Tudor,Punctual",2024-05-24,175748,36,,2024-08-13T02:16:33Z,"tech house,latin house,house,chill house,deep house,drum and bass","Trace Amounts",0.675,0.685,10,-7.407,0,0.0438,0.0288,0.0012,0.233,0.243,127.089,4
68DlocJklu5t9y9Fsg7Qvr,"EVERYTHING","EVERYTHING","Mild Minds,edapollo",2023-08-23,225314,28,,2024-08-07T03:33:44Z,"stutter house","Foreign Family Collective",0.718,0.815,6,-6.363,0,0.058,0.0882,0.48,0.109,0.366,129.979,4
6nqBOGRwYdwOOHTie3fx1K,"Lately","Lately","RÜFÜS DU SOL",2024-08-02,249573,55,,2024-08-02T05:15:54Z,"","Rose Avenue/Reprise",0.562,0.898,1,-5.442,0,0.0277,0.0291,0.282,0.4,0.397,125.998,4
2tinYknqBborA5kYv07aKX,"My Heart","My Heart","Duskus",2022-03-24,200872,43,,2024-06-25T23:18:53Z,"stutter house,future bass","Broken Levee",0.719,0.734,0,-10.099,1,0.101,0.129,0.698,0.619,0.123,134.011,4
2OnSedqUAqhCLZhCR4gjMw,"Music is Better","Music is Better","RÜFÜS DU SOL",2024-06-21,236080,58,,2024-06-21T20:57:22Z,"","Rose Avenue/Reprise",0.6,0.786,4,-6.392,0,0.0329,0.00394,0.0533,0.674,0.379,121.97,4
2edyh4YVEmmyvv8BosK5rw,"We Are Making Out","We Are Making Out","Mura Masa,yeule",2024-06-20,170975,38,,2024-06-20T20:03:08Z,"art pop","Pond Recordings",0.79,0.557,8,-5.566,1,0.104,0.0383,0.917,0.121,0.489,123.086,4
1PfbIpFjsS1BayUoqB3X7O,"3210 - Ross from Friends Remix","3210 (Ross from Friends Remix)","Jeshi,Ross from Friends",2022-03-30,352664,29,,2024-06-17T06:40:10Z,"lo-fi house","Jeshi",0.69,0.725,6,-9.94,0,0.2,0.0392,0.00474,0.116,0.358,140.05,4
2zYpXoC4LQXjEB63BEqhvu,"ALL ALONG - Kaytranada Remix","Play With The Changes Remixed","Rochelle Jordan,KAYTRANADA",2022-09-16,284606,17,,2024-06-14T18:50:23Z,"alternative r&b","Royal Mountain Records",0.696,0.46,1,-9.018,1,0.352,0.0126,0.0104,0.389,0.407,107.978,4
02fIOM5i5QrieOUOTGyqr3,"Dance Dance Dance Dance","TIMELESS","KAYTRANADA",2024-06-07,102873,34,,2024-06-14T02:35:56Z,"","KAYTRANADA/RCA Records",0.87,0.81,2,-6.671,1,0.132,0.0078,0.844,0.0767,0.345,111.957,4
7lDzrHSlvJQNT85GVlKogu,"BET YOU NEVER","BET YOU NEVER","SBTRKT",2024-06-06,231195,42,,2024-06-14T01:57:14Z,"","SAVE YOURSELF",0.589,0.888,6,-5.417,0,0.113,0.00112,0.808,0.109,0.141,132.27,4
5HEx0ZwJEmZhvjlrMYnSuf,"Hold On","Hold On","49th & Main,SHEE",2024-05-08,138906,62,,2024-06-03T01:22:23Z,"stutter house,disco house,lo-fi house","Counter Records",0.705,0.865,10,-4.823,1,0.0535,0.483,0.611,0.184,0.627,135.99,4
1BgNyVVjxMKaSrDkdFsITj,"Up All Night","5","SAULT",2019-05-05,255545,50,,2024-04-30T21:33:28Z,"","Forever Living Originals",0.773,0.633,8,-6.574,1,0.0495,0.0915,0.507,0.0873,0.475,102.747,4
57KDDGijeqbwsiBOhdo4PT,"Deadly Valentine (Soulwax Remix)","Deadly Valentine (Soulwax Remix)","Charlotte Gainsbourg,Soulwax",2017-11-10,475057,44,,2024-04-30T16:06:22Z,"electroclash,new rave,alternative dance","Because Music",0.799,0.858,11,-5.977,1,0.0588,0.0422,0.783,0.0625,0.965,104.976,4
1jy7SkRcmBCTcv4ZMtwz29,"Loud Places","In Colour","Jamie xx,Romy",2015-06-01,283066,60,,2024-04-30T15:46:07Z,"","Young",0.646,0.63,8,-10.748,0,0.0435,0.00462,0.27,0.122,0.164,109.018,4
1UERuR9hjz9GM609JIjtGx,"Problems","Problems","Floating Points",2022-09-21,277239,36,,2024-04-30T15:41:35Z,"idm,gnawa","Ninja Tune",0.703,0.873,10,-9.467,0,0.0562,0.0189,0.57,0.316,0.534,136,4
