Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Od4ZRReLhtOLjOk5WwniX,"Morse","Morse","Cmd q",2025-02-14,168000,62,,2025-03-14T04:00:11Z,"lo-fi beats,lo-fi","Firefly Entertainment AB",0.751,0.153,9,-17.474,0,0.154,0.924,0.92,0.0794,0.314,130.027,4
52BitbEklp0YPnwkoOHjXz,"just me watering my plants, overthinking stuff","just me watering my plants, overthinking stuff","nightnotes",2025-02-21,174926,58,,2025-03-14T04:00:11Z,"lo-fi beats,lo-fi","nightnotes",0.833,0.38,2,-9.121,1,0.0963,0.472,0.889,0.123,0.236,67.981,4
7Av6D2JnP9Mnhmj96PQke7,"YU","YU","Katashi Kaitō",2025-03-07,144000,49,,2025-03-14T04:00:11Z,"lo-fi beats,lo-fi","Paper Jazz",0.844,0.197,9,-9.121,0,0.296,0.78,0.817,0.109,0.43,170.044,4
6vPRDAJfVi0w6dqdgAWlXD,"Nectar","Nectar","CMJ",2025-02-21,96000,58,,2025-03-14T04:00:11Z,"jazz beats,lo-fi,lo-fi beats,jazz rap","Lofi Jazz Records",0.714,0.0772,10,-13.827,0,0.117,0.887,0.866,0.117,0.325,80.058,3
6l1uXxuXhp3ZgGyypFbf0t,"Pool Days","Pool Days","Smoke Trees,Lito Akari",2025-02-28,92077,55,,2025-03-14T04:00:11Z,"lo-fi beats,lo-fi","Apfel Grotesk",0.794,0.238,1,-15.36,1,0.217,0.0579,0.828,0.109,0.979,146.015,4
0YCa52tFEnvTpruZ79G4KZ,"Inflated","Inflated","HM Surf",2025-03-03,105632,48,,2025-03-14T04:00:11Z,"lo-fi,lo-fi beats","Purple Theory Records",0.714,0.128,2,-19.775,1,0.0429,0.926,0.969,0.106,0.403,100.004,4
5E7yzrzDGr9lTQOxWTRlzh,"Printson","Printson","Almst",2025-03-07,138666,49,,2025-03-14T04:00:11Z,"","Almst",0.577,0.152,7,-13.048,0,0.0704,0.934,0.0518,0.119,0.149,90.082,4
009AHbV45dRrriV4GjQyif,"Skies Forever","Skies Forever","capybara5",2025-02-07,123812,60,,2025-03-14T04:00:11Z,"lo-fi beats","Chill Beats Records",0.707,0.312,5,-17.143,0,0.0488,0.381,0.776,0.11,0.585,79.936,4
0WnhPIxlvfTY2kizKk54ap,"What If","What If","slumbero.u.s",2025-03-07,134025,49,,2025-03-14T04:00:11Z,"","slumbero.u.s",0.786,0.425,7,-11.723,0,0.0623,0.415,0.788,0.0916,0.294,77.023,4
4b5JVDP7Roy6BDjRp5A9iL,"bustin' out","bustin' out","Rustique Beats",2025-02-23,131366,54,,2025-03-14T04:00:11Z,"lo-fi beats,lo-fi","Chill Caterpillar",0.389,0.197,0,-17.623,1,0.0712,0.895,0.926,0.109,0.208,77.128,4
