Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2X8j1vYJaJZ1vIRp7csg2y,"S.W.A.K.","World Class","luxury elite",2015-07-21,234004,43,unknowncykes,2023-11-29T06:16:46Z,"vaporwave,synthwave,chillwave","Crash Symbols",0.727,0.484,7,-12.892,1,0.108,0.327,0.33,0.307,0.389,82.962,4
2k1YdPgkThWYSMRZcIEZuk,"FORUM 消費者(kuluttaja)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,338500,37,unknowncykes,2023-11-29T06:16:52Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.63,0.893,3,-9.35,1,0.0312,0.164,0.373,0.644,0.185,95.507,4
1V4E9a1EalEmIFkrJ7cZ1L,"都市フォーラム Consumer (kahvi)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,354000,33,unknowncykes,2023-11-29T06:16:54Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.527,0.8,5,-10.531,0,0.0296,0.132,0.674,0.542,0.785,77.835,4
4BgNu9dseDLYxTMcfqmbGw,"Currency Exchange","Paypal Playboy","Limousine,猫 シ Corp.",2018-02-14,132530,33,unknowncykes,2023-11-29T06:16:57Z,"vaporwave,chillwave","Total Power Records",0.546,0.68,1,-12.168,1,0.0294,0.27,0.96,0.488,0.681,124.454,4
508RKXQ9esy6aqKhYzKdAh,"717A バス (Rautatientori)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,174874,27,unknowncykes,2023-11-29T06:17:00Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.607,0.689,11,-11.336,0,0.041,0.605,0.972,0.163,0.677,107.241,4
6OL7GaIbMyJe4EODGGKQ0W,"Pelican Self Storage (Tilaa Kaikelle)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,151870,30,unknowncykes,2023-11-29T06:17:05Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.581,0.634,6,-8.822,0,0.0262,0.394,0.899,0.572,0.499,96.811,4
14uDljKBdNkZTA6xLmdNL4,"買う@JUMBO (Kauppakeskus)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,257627,20,unknowncykes,2023-11-29T06:17:07Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.554,0.925,5,-9.507,0,0.0377,0.232,0.806,0.486,0.48,152.639,4
0gJBigp5MXKDN8EPShdl12,"HEL-AMS 飛行機 (lentokentälle)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,364000,27,unknowncykes,2023-11-29T06:17:16Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.65,0.679,0,-9.537,0,0.0358,0.699,0.465,0.217,0.605,108.007,4
7Gyk4GU27uVuGEksu5JgSk,"Hesburger 映画館 (hampurilainen)","ショップ @ ヘルシンキ","猫 シ Corp.",2016-04-22,181867,21,unknowncykes,2023-11-29T06:17:18Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.616,0.834,10,-8.33,0,0.0363,0.523,0.598,0.821,0.548,97.616,4
2TjAHMFLFsKdXXqaePxwC6,"Midnight","With Love","luxury elite",2013-03-15,161278,36,unknowncykes,2023-11-29T06:17:40Z,"vaporwave,synthwave,chillwave","??MDISCS: Futures Reserve Label",0.522,0.844,10,-10.905,0,0.0428,0.0459,0.198,0.365,0.673,154.654,4
4yi8Gut1tYnd5m6a08KvcQ,"VERNE ↹ Flights̙","Hiraeth","猫 シ Corp.",2014-04-15,103497,18,unknowncykes,2023-11-29T06:17:46Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.581,0.868,6,-10.72,0,0.0311,0.0587,0.769,0.107,0.873,157.943,4
7iHAqgXUkWdGl3eMa59DFd,"POLYGON","Summer Paradise","architecture in tokyo",2013,217626,30,unknowncykes,2023-11-29T06:18:02Z,"vaporwave,city pop,j-dance","Business Casual",0.486,0.862,1,-14.702,0,0.0385,0.0566,0.0686,0.724,0.401,149.977,4
1tySSu4JdAqoJ1dJVUzlXb,"info@maneki-neko.net","Hiraeth","猫 シ Corp.",2014-04-15,142440,24,unknowncykes,2023-11-29T06:18:10Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.631,0.498,6,-9.857,1,0.0287,0.134,0.000755,0.151,0.596,80.56,4
1vQ9sMrG2e9807xe14GYsL,"Forever","World Class","luxury elite",2015-07-21,175621,22,unknowncykes,2023-11-29T06:18:13Z,"vaporwave,synthwave,chillwave","Crash Symbols",0.613,0.843,0,-9.807,1,0.0259,0.0771,0.807,0.251,0.734,90.987,4
0qX9kcTL9PonpRFpPrqSDu,"今夜","Miami Virtual","Dan Mason ダン·メイソン",2017-03-02,234013,33,unknowncykes,2023-11-29T06:18:19Z,"vaporwave,chillwave,synthwave","Dan Mason ダン·メイソン",0.65,0.703,6,-7.706,0,0.0836,0.0565,0.841,0.674,0.807,167.921,4
3bppLmnTN0jQtQMRFwtqR7,"Blush","World Class","luxury elite",2015-07-21,162612,27,unknowncykes,2023-11-29T06:18:27Z,"vaporwave,synthwave,chillwave","Crash Symbols",0.726,0.932,9,-9.443,0,0.0276,0.0592,0.781,0.14,0.979,129.251,4
1jLlQyuBfOWbyaRZEgNy9l,"臨海都市ボーダム ５２ アロエ","Hiraeth","猫 シ Corp.",2014-04-15,107572,18,unknowncykes,2023-11-29T06:18:34Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.696,0.762,11,-12.453,0,0.0738,0.00794,0.805,0.347,0.645,167.19,4
42eSgDGHknCdJ9va1bEh2p,"Remember This Night","Remember This Night","Cosmic Cycler",2016-09-29,239879,26,unknowncykes,2023-11-29T06:18:43Z,"vaporwave,city pop,synthwave,chillwave","Cosmic Cycler",0.572,0.667,1,-11.758,0,0.0282,0.268,0.907,0.135,0.67,70.121,4
0skCxdS1HP4voHzDWWDiHo,"「庭」","Hiraeth","猫 シ Corp.",2014-04-15,182920,25,unknowncykes,2023-11-29T06:18:51Z,"vaporwave,chillwave","Oasys Virtual Entertainment Productions",0.698,0.345,2,-19.134,1,0.143,0.0339,0.854,0.262,0.585,168.047,4
7cK4coffvFZigqcPMAXrUh,"T H I N K .","ｇｅｔ　ａ　ｊｏｂ 林檎","ぬいぐるみクレヨン Lush Crayon",2019-08-19,183850,0,unknowncykes,2023-11-29T06:18:59Z,"vaporwave","ぬいぐるみクレヨン Lush Crayon",0.514,0.716,9,-15.042,1,0.0901,0.0319,0.653,0.0912,0.197,112.404,4
70c9wwn2pHz2KNw5SPJDAx,"癌 is the new thin","ｇｅｔ　ａ　ｊｏｂ 林檎","ぬいぐるみクレヨン Lush Crayon",2019-08-19,140434,0,unknowncykes,2023-11-29T06:19:03Z,"vaporwave","ぬいぐるみクレヨン Lush Crayon",0.577,0.693,11,-14.489,1,0.0379,0.628,0.866,0.149,0.843,92.393,4
2yaxbttOrFfsgwFWj0JbKH,"WAVE RIDER","Summer Paradise","architecture in tokyo",2013,67735,31,unknowncykes,2023-11-29T06:19:09Z,"vaporwave,city pop,j-dance","Business Casual",0.325,0.902,1,-10.01,0,0.0509,0.117,0.578,0.376,0.112,156.374,4
3qDJQUyNM5wNvbH5jEpGxb,"Night Breeze","Remember This Night","Cosmic Cycler",2016-09-29,288450,21,unknowncykes,2023-11-29T06:19:21Z,"vaporwave,city pop,synthwave,chillwave","Cosmic Cycler",0.586,0.516,3,-12.704,0,0.0333,0.00027,0.805,0.0724,0.441,76.022,3
693wPc2qjs201CQdb27JzG,"Ocean Kiss","Remember This Night","Cosmic Cycler",2016-09-29,191932,12,unknowncykes,2023-11-29T06:19:23Z,"vaporwave,city pop,synthwave,chillwave","Cosmic Cycler",0.634,0.126,7,-12.014,0,0.0328,0.752,0.825,0.339,0.26,88.028,4
