Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0SMFOOsqD1jicOhuorY1vz,"Song for You","Song for You / The Wizard","Myd",2025-03-12,213466,47,,2025-03-14T04:05:31Z,"french house","Ed Banger Records",0.781,0.848,11,-5.009,1,0.0525,0.0296,0.634,0.147,0.931,132.001,4
0xTfRaYHf5dedyIpsxB56N,"The Mirror","The Mirror","Polo & Pan",2025-02-21,173120,59,,2025-02-21T05:00:44Z,"french house","Universal Music Division Virgin Music Distribution Deal",0.616,0.93,2,-5.186,0,0.0409,0.133,0.188,0.348,0.0553,122.005,4
4aSyYc1rWc2KhTknSfpx9H,"Sleepyhead 2025","Sleepyhead 2025","Passion Pit,Sofi Tukker",2025-03-07,245713,64,,2025-03-07T05:00:41Z,"indie","SOFI TUKKER LLC",0.546,0.629,8,-7.391,1,0.0455,0.0239,0.000126,0.395,0.205,120.956,4
0FoCv0glfiTP2lmEcdreAu,"Shaking Things Up","Shaking Things Up","nimino",2025-01-23,216480,61,,2025-01-24T05:00:49Z,"stutter house,melodic house","Counter Records",0.833,0.761,10,-3.887,1,0.154,0.28,0.122,0.238,0.506,124.991,4
4h0ahxYxMcgg6rmwVTr9AA,"Pura","Pura","Ceri Wax",2025-03-12,171428,35,,2025-03-14T04:05:31Z,"","Undamento",0.767,0.796,8,-6.627,0,0.0908,0.0103,0.621,0.0816,0.206,132.952,4
0hlddFDTZxC81BMFC2WINw,"Enjoy Your Life","Eternal Reverie","TOKiMONSTA,Oby Onyioha",2025-03-07,214921,57,,2025-03-07T05:00:41Z,"disco","Young Art Records",0.701,0.957,1,-4.284,1,0.0622,0.0324,0.16,0.409,0.31,125.027,4
1fVMPkM0jXEZQj9s9GXWzw,"Do You Wrong","Do You Wrong","Desmond",2025-03-07,226086,37,,2025-03-07T05:00:41Z,"","Speed Dial Records",0.84,0.662,6,-7.47,0,0.0677,0.0591,0.754,0.0928,0.777,138.023,4
7x8FCh3aNU7YrYUSTVGHv6,"Different","Different","Barry Can't Swim",2025-03-13,206693,55,,2025-03-14T04:05:31Z,"","Ninja Tune",0.709,0.535,11,-9.568,0,0.0596,0.0454,0.624,0.0923,0.295,134.995,4
7z1knymHRO7iuMys6dnanT,"All I Am","All I Am","Ninajirachi",2025-02-25,182099,55,,2025-02-28T05:17:47Z,"hyperpop","NLV Records",0.584,0.576,7,-9.838,1,0.0431,0.00679,0.183,0.191,0.418,140.002,4
1Cheunopig5ZrxuGe94MtX,"tell you straight","tell you straight","jigitz",2025-02-12,124864,69,,2025-02-14T05:00:42Z,"stutter house","R&R Digital",0.777,0.799,7,-5.417,1,0.0317,0.018,0.182,0.157,0.411,148.009,4
1PRzCxGlUtTRVdEFKhRDek,"need u","need u","wes mills",2025-03-14,136916,39,,2025-03-14T04:05:31Z,"stutter house,uk garage","Noted Records / 10K Projects",0.756,0.651,11,-8.399,0,0.228,0.026,0.889,0.118,0.875,136.012,4
5zJ9hHu54TZu9NdLMSBd11,"W U (With You)","W U (With You)","JEV",2025-02-14,181384,43,,2025-02-14T05:00:42Z,"uk garage,stutter house","Speed Dial Records",0.8,0.8,4,-7.74,0,0.339,0.112,0.00746,0.0953,0.551,129.976,4
