Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3kQmcD1XU29nSMrS7kgsWm,"In The Modern World","Romance","Fontaines D.C.",2024-08-23,266884,66,,2025-02-14T05:00:17Z,"post-punk","XL Recordings",0.558,0.364,5,-8.295,0,0.0278,0.145,0.00155,0.0808,0.183,118,4
61F1wTP9qxmCrKiCwkPRsS,"S P E Y S I D E","Everything Is Peaceful Love","Bon Iver",2025-02-14,209077,64,,2025-02-14T05:00:17Z,"indie folk","Jagjaguwar",0.467,0.247,7,-14.161,1,0.0314,0.906,0.0157,0.157,0.258,140.232,4
2MvvoeRt8NcOXWESkxWn3g,"Ribs","Pure Heroine","Lorde",2013-09-27,258969,80,,2025-02-14T05:00:17Z,"","Universal Music New Zealand Limited",0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,4
5r5cp9IpziiIsR6b93vcnQ,"Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,80,,2025-02-14T05:00:17Z,"","EMI Recorded Music Australia Pty Ltd",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
1e0vsza0hIVYv9Mkz542qn,"Fable","Fable","Gigi Perez",2024-10-25,261005,79,,2025-02-14T05:00:17Z,"","Gigi Perez PS/ Island",0.324,0.3,10,-9.949,1,0.0295,0.417,0,0.0864,0.138,101.621,4
4JGKZS7h4Qa16gOU3oNETV,"Dreams","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,271560,80,,2025-02-14T05:00:17Z,"","Island Records",0.551,0.645,4,-13.093,1,0.0354,0.0031,0.00376,0.421,0.508,128.665,4
3NRql0A1Ef4RCvT473iqgD,"Hell N Back","Hell N Back","Bakar",2019-08-15,213573,73,,2025-02-14T05:00:17Z,"","Black Butter",0.633,0.684,10,-4.314,0,0.591,0.314,0.0000895,0.112,0.725,209.688,4
7D0RhFcb3CrfPuTJ0obrod,"Sparks","Parachutes","Coldplay",2000-07-10,227093,86,,2025-02-14T05:00:17Z,"","Parlophone UK",0.371,0.268,1,-10.506,1,0.0281,0.748,0.0517,0.104,0.165,102.617,3
4VbDJMkAX3dWNBdn3KH6Wx,"Helena Beat","Torches","Foster The People",2011-05-23,276173,64,,2025-02-14T05:00:17Z,"","Columbia",0.67,0.876,5,-4.905,0,0.0536,0.0127,0.00302,0.109,0.736,126.968,4
0ll8uFnc0nANY35E0Lfxvg,"Somewhere Only We Know","Hopes And Fears","Keane",2004-01-01,236160,77,,2025-02-14T05:00:17Z,"","Universal-Island Records Ltd.",0.453,0.655,9,-4.22,1,0.0257,0.0794,0.00000706,0.0849,0.366,172.01,4
1LzNfuep1bnAUR9skqdHCK,"Fade Into You","So Tonight That I Might See","Mazzy Star",1993-10-05,295600,84,,2025-02-14T05:00:17Z,"dream pop,shoegaze,slowcore","Capitol Records",0.417,0.33,9,-13.925,1,0.0275,0.247,0.000689,0.0677,0.175,157.113,3
