Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1KxN9gwCISCArBytq80190,"Dayvan Cowboy","Trans Canada Highway","Boards of Canada",2006-05-29,301413,23,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.322,0.614,11,-10.761,1,0.0413,0.485,0.746,0.0578,0.0367,167.968,4
0AW8ApPHoTGChozeMfqAvZ,"Boston Common - Mixed","fabric Presents Bonobo","Bonobo",2019-02-22,253680,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","fabric Records",0.841,0.783,3,-9.686,0,0.131,0.0303,0.539,0.0311,0.747,121.095,4
2hNTfrAILBLesbPootV83e,"Cirrus","Cirrus","Bonobo",2013-01-21,352246,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.64,0.844,2,-8.412,0,0.0374,0.395,0.933,0.0827,0.364,119.042,4
7sqii6BhIDpJChYpU3WjwS,"Kiara","Black Sands","Bonobo",2010-03-29,230306,52,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.595,0.788,3,-10.128,0,0.363,0.195,0.202,0.153,0.414,97.012,4
0CPEvRFKdvpK0veEeY56T6,"Flashlight","Flashlight EP","Bonobo",2014-12-01,330089,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.679,0.95,0,-6.76,1,0.0614,0.0707,0.948,0.114,0.0495,119.905,4
6BbFwwHnzY74a8GOsDg8Sn,"Outlier","Migration","Bonobo",2017-01-13,475480,38,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.693,0.59,4,-7.232,0,0.0464,0.23,0.834,0.0685,0.237,117.006,4
0f3G1ecfRIffW1qhQt1lEG,"Grains","Migration","Bonobo",2017-01-13,268893,37,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.441,0.423,6,-9.435,0,0.0369,0.837,0.966,0.0924,0.159,124.962,4
16ikmfoT1249gG3pzPvnYt,"Second Sun","Migration","Bonobo",2017-01-13,223720,52,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.378,0.178,6,-15.348,0,0.0303,0.958,0.802,0.11,0.0591,77.263,4
15IVKRhTPXp4lKtwl568KS,"Surface","Migration","Bonobo,Nicole Miglis",2017-01-13,251171,38,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.559,0.613,3,-7.891,0,0.0343,0.231,0.00000347,0.0742,0.213,109.947,4
5EGJ7e7frJjYja6H4afzoT,"Bambro Koyo Ganda","Migration","Bonobo,Innov Gnawa",2017-01-13,302428,49,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic,gnawa","Ninja Tune",0.723,0.571,1,-10.22,1,0.0572,0.21,0.334,0.133,0.185,115.518,4
4GroumsjzAcgCwJzTGY7px,"Ontario","Migration","Bonobo",2017-01-13,232549,39,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:27:14Z,"trip hop,downtempo,nu jazz,electronic","Ninja Tune",0.54,0.461,10,-9.427,0,0.0341,0.236,0.531,0.0865,0.107,89.995,4
