Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0RcYEWXtbu4ehdv1tiBOi0,"Riders On The Storm - Fredwreck Remix","Riders On The Storm (Fredwreck Remix)","Snoop Dogg,The Doors",2007-01-01,382240,64,needforspeed,2020-11-16T22:34:40Z,"g-funk,west coast hip hop,gangster rap,hip hop,rap,psychedelic rock,classic rock,acid rock","Geffen",0.878,0.786,11,-5.273,0,0.152,0.416,0.000031,0.122,0.831,101.984,4
1GmUaR6oZU3No1Km7OiEyX,"I Do","PowerBallin'","Chingy",2004-01-01,237986,48,needforspeed,2015-11-18T19:48:51Z,"crunk","Capitol Records",0.899,0.675,7,-5.074,1,0.114,0.0577,0,0.315,0.54,85.007,4
2hzjnKiuRM3qp1D6pAv60D,"Rush Hour","Rush Hour","Christopher Lawrence",2011-01-11,445756,0,needforspeed,2015-11-18T19:49:06Z,"psytrance,trance","Hook Recordings",0.617,0.975,1,-6.565,0,0.0498,0.0000484,0.91,0.118,0.652,135.854,4
7prxiVvo6fbsorXZmgXkpY,"Back On A Mission","Back On A Mission","CIRRUS",1998-01-01,217760,0,needforspeed,2015-11-18T19:49:19Z,"big beat,breakbeat","Moonshine Music",0.661,0.998,7,-3.746,1,0.116,0.0987,0.00851,0.828,0.254,105.044,4
5YjpwbO5T5x0bsRWL1qyWX,"Switch / Twitch","Puppy","Fluke",2003-03-21,573280,0,needforspeed,2015-11-18T19:49:53Z,"big beat,breakbeat","One Little Indian Records",0.311,0.906,6,-9.189,1,0.0394,0.000153,0.808,0.0884,0.53,113.252,4
1IDMCZwbtVWd6BA1GvWSPA,"Mind Killer","Mind Killer","Adam Freeland",2004-01-01,208213,0,needforspeed,2015-11-18T19:50:05Z,"big beat,breakbeat","Marine Parade",0.504,0.856,1,-6.647,0,0.105,0.00123,0.000384,0.124,0.166,180.116,4
5aAr5Y5wXiUMHVEtvaCXkt,"Crashing Foreign Cars","Size Matters","Helmet",2004-01-01,151120,47,needforspeed,2015-11-18T19:50:19Z,"alternative metal,noise rock,post-hardcore,grunge,groove metal","Interscope",0.533,0.965,5,-3.371,0,0.084,0.0000988,0,0.247,0.34,94.88,4
1YhZbKOU47hnRb2q8LOHKH,"The Death & Resurrection Show","Killing Joke","Killing Joke",2003-08-05,415160,45,needforspeed,2015-11-18T19:50:42Z,"post-punk,industrial rock,new wave,darkwave,industrial metal,deathrock,industrial,cold wave","Red Ink",0.567,0.938,7,-6.28,1,0.0874,0.00157,0.00729,0.124,0.345,100.016,4
19mlARTpPFCuMyvENL2nZE,"Scavenger - Clean Album Version","Raised On Whipped Cream","KillRadio",2004-09-07,158760,22,needforspeed,2015-11-18T19:50:55Z,"","Columbia",0.452,0.958,8,-2.947,1,0.164,0.00185,0,0.0431,0.623,165.073,4
7JwnQlkaGMV2robELlKy9Y,"No W - Live","Adios… Puta Madres","Ministry",2009-03-31,181506,37,needforspeed,2015-11-18T19:51:07Z,"industrial,industrial metal,industrial rock,ebm,darkwave,nu metal","13th Planet Records, Inc.",0.301,0.974,2,-6.942,1,0.0663,0.00000234,0.497,0.961,0.305,194.17,4
0GBiT1wHV68bU0Cv8ZU2HZ,"Determined","Lost and Found","Mudvayne",2005,159253,54,needforspeed,2015-11-18T19:51:18Z,"nu metal,alternative metal,rap metal,metal","Epic",0.4,0.991,8,-2.043,1,0.152,0.0000429,0.0000066,0.28,0.45,129.519,4
1IG3hff01lmJpcDJqU9cDu,"Nothing But You - Cirrus Mix (feat. Hemstock & Jennings)","Nothing But You (Remixes) (feat. Hemstock & Jennings)","Paul van Dyk,Cirrus",2003-04-21,391693,0,needforspeed,2015-11-18T19:51:50Z,"trance,progressive trance,drumstep,dark ambient,drum and bass","Mute",0.653,0.895,8,-7.332,1,0.0442,0.00331,0.749,0.205,0.635,129.974,4
0jGTmdloNXK6OKOtxCkT3p,"In My Head","Lullabies To Paralyze","Queens of the Stone Age",2005-01-01,241200,49,needforspeed,2015-11-18T19:52:14Z,"stoner rock,alternative rock","Interscope",0.474,0.922,9,-4.058,1,0.0372,0.0102,0.0000613,0.107,0.397,134.311,4
11P8PMjut7t75FPzHTgd0L,"Give It All","Endgame / Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness","Rise Against",2012-01-01,170893,0,needforspeed,2015-11-18T19:52:25Z,"punk,hardcore punk","Geffen",0.582,0.942,2,-3.098,1,0.0637,0.000371,0.004,0.078,0.357,103.057,4
4sNdUNdujkabNDPNSJjyJG,"I Am Weightless","Rule 3: Conceal Your Intentions","Septembre",2006,149293,42,needforspeed,2015-11-18T19:52:35Z,"","Active Entertainment",0.184,0.92,2,-3.537,1,0.0889,0.0000103,0.000164,0.0356,0.448,95.952,4
581mukhDjta60CCwpvnjL9,"Nobody","Babylon (Revised Online Music)","Skindred",2004-08-31,236013,64,needforspeed,2015-11-18T19:52:49Z,"nu metal,rap metal","Lava",0.627,0.91,10,-4.629,0,0.052,0.018,0,0.369,0.751,97.867,4
5HLo8WWZ089LwXXawdiD2t,"That'z My Name - Tha Clean","That'z My Name (Tha Clean)","Sly Boogy",2004-04-05,250213,44,needforspeed,2015-11-18T19:53:28Z,"west coast hip hop","J Records",0.93,0.623,1,-4.918,1,0.176,0.0319,0,0.0866,0.942,102,4
4PcWmwzAaLCPRgJSq0uZEo,"Hard Ebm","Errare Digital Est","Sin",2002-01-01,338053,39,needforspeed,2015-11-18T19:53:41Z,"","Air 2 music",0.6,0.788,9,-10.502,1,0.0503,0.00208,0.82,0.115,0.321,134.011,4
6Xsm4TPnuVEqi7RBfdG3Hi,"Skeptic","Bright Flashes","Snapcase",2003,143013,0,needforspeed,2015-11-18T19:53:50Z,"hardcore,hardcore punk,metalcore,post-hardcore","Victory",0.347,0.978,8,-3.332,1,0.0788,0.000114,0.00685,0.0427,0.418,165.173,3
7uSsHbBFFAnkRQR1rDwP3L,"Black Betty - Single Edit","Tonight Alright","Spiderbait",2004-03-29,205973,66,needforspeed,2015-11-18T19:54:44Z,"","Universal Music Australia Pty. Ltd.",0.562,0.865,7,-6.476,0,0.0922,0.0000206,0.597,0.219,0.35,124.046,4
7MTPoaLvTBj4zv3g2w4jmS,"Lean Back - Edit","Lean Back","Terror Squad,Fat Joe,remy",2004-05-11,253933,38,needforspeed,2015-11-18T19:55:02Z,"east coast hip hop","SRC Records",0.703,0.917,1,-3.485,1,0.543,0.0961,0,0.0379,0.692,126.417,5
2YqdkgkTNPJZyveKkNHpQz,"Notice of Eviction","The Bronx (I)","The Bronx",2003-08-26,136093,44,needforspeed,2015-11-18T19:55:19Z,"punk,hardcore punk,skate punk","White Drugs",0.212,0.975,8,-5.138,1,0.0886,0.00014,0.00000116,0.302,0.591,186.811,4
1uDhHTNIBF5BJQWTjKnCoa,"Celebration Song","Here's To The Mourning","Unwritten Law",2005,220013,51,needforspeed,2015-11-18T19:55:30Z,"skate punk,punk","Lava/Atlantic",0.392,0.959,1,-4.343,1,0.108,0.00004,0.00058,0.0942,0.608,185.221,4
3kpntjhvogYrxqUxATgKYG,"LAX - Clean Album Version","Weapons of Mass Destruction (Clean)","Xzibit",2004-12-14,224960,39,needforspeed,2015-11-18T19:55:44Z,"west coast hip hop,gangster rap,g-funk,hardcore hip hop,hip hop","Sony Urban Music/Columbia",0.553,0.918,1,-5.661,1,0.306,0.00295,0.0000437,0.583,0.267,90.673,4
