Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1gh9hWNAzDR46rn52uyoiV,"+82 Pressin'","+82 Pressin'","MARK,HAECHAN",2025-03-19,202400,0,,2025-03-19T09:17:19Z,"k-pop","SM Entertainment",0.939,0.694,11,-4.744,0,0.0726,0.0662,0,0.0621,0.908,106.01,4
3vpxOqE2uaaH3lf09soVnA,"Not Out","Not Out","Dragon Pony",2025-03-19,193333,0,,2025-03-19T09:17:19Z,"k-rock","Antenna",0.531,0.832,6,-3.313,1,0.0606,0.0797,0.000462,0.374,0.469,129.969,4
5iXD5rOKV99XGtkaiucHpM,"BEBE","S","STAYC",2025-03-18,179391,0,,2025-03-19T09:17:19Z,"k-pop","High Up Entertainment",0.749,0.892,10,-3.82,0,0.0721,0.311,0,0.14,0.77,125.016,4
4QyD4CDdtEvARB4po3H2H6,"Destiny","Destiny","TEMPEST",2025-03-19,216373,0,,2025-03-19T09:17:19Z,"k-pop","Genie Music Corporation, Stone Music Entertainment",0.648,0.86,3,-4.323,1,0.0716,0.0442,0,0.255,0.58,109.961,4
7ApLCvjdvEzOr5O0yoic98,"Existence","Existence","LEEBADA",2025-03-19,176601,0,,2025-03-19T09:17:19Z,"","PLANB ENTERTAINMENT",0.695,0.936,5,-2.193,0,0.124,0.0143,0.00000208,0.337,0.692,127.887,4
2qZju0KIGsybfWzvHwhRXc,"GooGoo GaG","Stunnin' 4 You","Roh Yun Ha,Wuuslime",2025-03-19,168546,0,,2025-03-19T09:17:19Z,"k-rap","Mine Field",0.887,0.455,2,-8.572,1,0.235,0.0492,0.00000949,0.11,0.29,81.529,4
33vYsdGHSnz7wor690HGgn,"On The Way To Meet You (feat. Able)","On The Way To Meet You (feat. Able)","Sunny Hill,Able",2025-03-19,222444,0,,2025-03-19T09:17:19Z,"k-ballad","주식회사 엠오티엔터테인먼트",0.624,0.812,1,-3.081,1,0.0427,0.781,0,0.193,0.484,91.85,4
2cWeNI3z7k5XQHfBnb91Zn,"아 진짜 미치겠네","PIN PROJECT X CHAWOO","Chawoo",2025-03-19,215257,0,,2025-03-19T09:17:19Z,"","WPNT",0.78,0.408,1,-6.989,1,0.0356,0.79,0.0000165,0.0912,0.549,93.987,4
5X1EtDauge67NrGdPVJbIN,"SIMPLE (Feat. JUNNY, CHANGMO)","SIMPLE (Feat. JUNNY, CHANGMO)","Daul,Noair,plan8,CHANNEL 201,JUNNY,CHANGMO",2025-03-19,155400,0,,2025-03-19T09:17:19Z,"k-rap","CHANNEL 201",0.839,0.844,11,-2.983,0,0.146,0.0797,0,0.3,0.795,100.991,4
0491Q7IKQXPNfAG4DfBNEN,"Paralyzed","ANTIBIRTH","WOOKI",2025-03-19,176160,0,,2025-03-19T09:17:19Z,"","CODE CHAMELEON",0.861,0.619,8,-6.588,1,0.0388,0.0231,0.0137,0.0997,0.841,124.044,4
4j8RBIP0t0qWRPcKQ6Kcqw,"My Youth","NONOL VOL 57. JEON DOEUL ' My Youth '","JEON DO EUL",2025-03-19,191562,0,,2025-03-19T09:17:19Z,"","Robot Sound",0.634,0.444,8,-9.955,0,0.03,0.806,0.00000239,0.0931,0.282,91.884,4
2F7OhPMjt8Qg1zZyKzr7Ca,"Whispers to the Night","My Dearest Nemesis OST Part.5","Sondia",2025-03-18,231600,0,,2025-03-19T09:17:19Z,"k-ballad,soundtrack","주식회사 블렌딩",0.503,0.55,3,-5.845,1,0.0323,0.621,0,0.135,0.305,123.795,4
4cK90VBvk8IPENfRF9biP6,"Fate","Fate","JeongWoo Ko",2025-03-19,216824,0,,2025-03-19T09:17:19Z,"","JANGGOON ENTERTAINMENT",0.536,0.813,2,-3.845,0,0.048,0.571,0.0000112,0.0568,0.454,134.263,4
1jPdG70zsifL8YRMErMzds,"Ready, Set, Go","Ready, Set, Go","JINSOL",2025-03-19,155500,0,,2025-03-19T09:17:19Z,"","이진솔",0.737,0.813,5,-5.345,1,0.0356,0.421,0.0119,0.47,0.78,120.05,4
4didEmySjFKXXXqSwY9Gs3,"Home (feat. weswes)","Home (feat. weswes)","Aden,weswes",2025-03-19,218461,0,,2025-03-19T09:17:19Z,"","WM Korea",0.596,0.441,8,-6.407,1,0.0331,0.864,0,0.334,0.311,78.025,4
142pVQPToEYbjWwxpJMpM0,"BA BA BYE","BA BA BYE","ROCKY",2025-03-18,195293,0,,2025-03-19T09:17:19Z,"","원이진(주)",0.732,0.813,11,-3.75,0,0.148,0.598,0.00000888,0.295,0.672,94.914,4
6VNvrGntDdvYUHTaovldcM,"Slow Motion (With Jazzy J)","DOF ep #motion","DOF",2025-03-19,209333,0,,2025-03-19T09:17:19Z,"k-rock","디스튜디오",0.712,0.878,1,-4.67,1,0.0494,0.543,0.0000604,0.116,0.569,90.008,4
77DVQKmwBIbeSvq2wSqeAK,"Perfecto","Perfecto","Malitabu",2025-03-19,232887,0,,2025-03-19T09:17:19Z,"","Universal Music Ltd.",0.635,0.865,6,-5.139,1,0.0547,0.00106,0.132,0.072,0.18,97.017,4
73Mwr1U5v0FofFkUsg3T8n,"I live in my heart","I live in my heart","#Annyeong",2025-03-18,215741,0,,2025-03-19T09:17:19Z,"k-ballad","Genie Music Corporation, Stone Music Entertainment",0.48,0.593,10,-6.001,1,0.0345,0.56,0,0.138,0.248,125.954,4
65QEXobLqddjn9u2BHAv0c,"TIP TOE","TIP TOE","Candy Shop",2025-03-18,199320,0,,2025-03-19T09:17:19Z,"","Brave Entertainment",0.734,0.727,5,-3.915,0,0.0388,0.0273,0,0.0633,0.617,89.996,4
5yfhzEct1ulyU6g5oVRraj,"KNOW ABOUT ME","Fe3O4: FORWARD","NMIXX",2025-03-17,165773,57,,2025-03-19T09:17:19Z,"k-pop","Republic Records - NMIXX",0.708,0.787,2,-3.179,1,0.0458,0.019,0.0000131,0.262,0.474,168.988,4
4RvgIrH7rLOxjdrjO1KtMO,"Cactus (feat. Vincent Blue, Moudy, Min Suhyun) (prod. Luque, Youngjin, Moudy)","MUSM op.7","MUSM,Min Suhyun,Moudy,Vincent Blue",2025-03-18,195646,0,,2025-03-19T09:17:19Z,"soundtrack","BRANDNEW MUSIC",0.603,0.679,1,-5.146,0,0.206,0.485,0,0.0895,0.708,159.471,4
5xKUhGDSLPM7RxK7vXRLPv,"Sandcastle - Instrumental","Sandcastle","Airman",2025-03-18,184800,0,,2025-03-19T09:17:19Z,"k-ballad","WM Korea",0.647,0.453,1,-8.763,1,0.0271,0.523,0.849,0.111,0.135,100.008,4
1W6L8HNg31ufhNVuTmTsH3,"VVV","Unexpected","THE BOYZ",2025-03-17,235493,44,,2025-03-19T09:17:19Z,"k-pop","One Hundred Label",0.696,0.904,1,-3.735,1,0.0481,0.153,0,0.332,0.814,125.994,4
6QIf5p89yzY6m6MIndOU8I,"My Dream is Monochrome","My Dream is Monochrome","byebyesea",2025-03-18,228615,0,,2025-03-19T09:17:19Z,"k-rock","Cosmic Music Lab",0.446,0.855,9,-4.341,1,0.0428,0.0797,0.00000639,0.0759,0.536,128.058,4
