Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Hh2VJj7bOWGsN0Jw6smwt,"Two Faced","Two Faced","Linkin Park",2024-11-13,183584,65,,2025-03-07T15:11:49Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.51,0.945,1,-5.405,1,0.0807,0.000658,0.0000048,0.0413,0.323,91.906,4
4z4JQxp5ddY3Z8ETnaPPAK,"Will You Love Me When I’m Dead","Will You Love Me When I’m Dead","Amira Elfeky",2024-10-23,193798,62,,2025-03-07T15:11:49Z,"shoegaze","Anemoia/Atlantic",0.335,0.784,6,-4.161,0,0.0534,0.014,0.00147,0.333,0.333,110.029,5
4AFqxUgTjluFRfjPLuoZ0a,"Nu Delhi","Nu Delhi","Bloodywood",2024-10-18,268141,60,,2025-03-07T15:11:49Z,"folk metal,metal","Fearless Records",0.529,0.95,7,-4.737,1,0.147,0.000591,0.000317,0.107,0.26,100.042,4
2KlKLcZPU4CptMCQ3TY5ls,"Turn It Up, Bitch","STILL SUCKS","Limp Bizkit",2021-10-31,140763,57,,2025-03-07T15:11:49Z,"nu metal,rap metal,alternative metal,rap rock","Suretone Records",0.868,0.87,2,-6.549,1,0.182,0.295,0,0.132,0.158,107.96,4
2cxkTaDpJz0F2WRHVa8Ti1,"Mascot","Mascot","Gridiron",2025-03-06,162733,35,,2025-03-07T15:11:49Z,"hardcore,hardcore punk","Blue Grape Music Inc.",0.284,0.934,1,-5.046,1,0.111,0.0000411,0.715,0.0845,0.557,106.994,4
57aoIncSQMCTT58Nczu5se,"PLEASER","PLEASER","Vana",2025-03-07,165925,48,,2025-03-07T15:11:49Z,"","Vana / Rebellion Records / 10K Projects",0.579,0.963,1,-2.895,0,0.174,0.0237,0.0000111,0.315,0.603,162.053,4
7ipUh3ks6qz821ZBwR7BG8,"Oblivion Eyes","Oblivion Eyes","Magnolia Park,Kayzo,Ethan Ross",2024-10-16,212895,50,,2025-03-07T15:11:49Z,"pop punk,dubstep,deathstep,riddim,edm,dark trap,phonk,drift phonk","Epitaph",0.461,0.941,1,-3.333,1,0.121,0.000732,0,0.151,0.433,97.04,4
7rQeehJRFCNTwqDffP8c5t,"new way out","new way out","Poppy",2024-06-04,202909,54,,2025-03-07T15:11:49Z,"","Sumerian Records",0.588,0.91,7,-3.427,1,0.072,0.000197,0.000665,0.0575,0.459,108.928,4
3gF64oRdu5O5m5Eucx4JY1,"YEAR OF THE RAT","YEAR OF THE RAT","MUDRAT",2024-12-04,192600,37,,2025-03-07T15:11:49Z,"","MUDRAT",0.773,0.657,0,-8.757,1,0.202,0.0486,0.0000428,0.107,0.56,100.025,4
5CNopDW4B3IBlspdSmvjCh,"Hollywood Forever","Hollywood Forever","Hollywood Undead",2024-10-24,277714,58,,2025-03-07T15:11:49Z,"rap rock,rap metal","Sumerian Records",0.643,0.73,1,-4.965,1,0.099,0.146,0,0.276,0.32,87.518,4
