Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4XfrmmsqYn28kpfRSG8gbN,"Tick Of The Clock (Visione's The Stroke Of Midnight Remix)","Tick Of The Clock","Chromatics",2013-03-28,282259,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"dream pop","Italians Do It Better",0.709,0.661,11,-7.416,1,0.0431,0.00178,0.773,0.11,0.172,100.016,4
1pqOdQkmYdM7AUM1q3L1mN,"Late Night","Late Night","ODESZA",2017-04-25,228590,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"chillwave,chillstep","Counter Records",0.62,0.638,2,-6.416,1,0.0687,0.0357,0.0124,0.169,0.414,125.148,4
4Yrg5dto80gjxt1kitCSR6,"Film noir","Kitsuné: Night Tales","Pyramid,Holy Oysters",2015-06-08,232000,13,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"electronica","Kitsuné Musique",0.565,0.622,8,-8.79,1,0.0437,0.00378,0.502,0.114,0.107,89.828,4
4HA91SVyNsOJy1gUoHqbvr,"Huarache Lights - Soulwax Remix","Dancing In The Dark EP","Hot Chip,Soulwax",2015-10-23,343818,5,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"alternative dance,new rave,indie dance,electroclash","Domino Recording Co",0.708,0.722,2,-8.385,1,0.0454,0.00604,0.611,0.0837,0.668,113.499,4
1DozKkvrqPPLYcXawVxIR2,"Low","Someday Somewhere","Mura Masa,Jay Prince",2015-04-10,193906,29,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"","Polydor Records",0.705,0.509,1,-12.251,1,0.409,0.503,0.00000337,0.234,0.501,124.913,4
6KvcsGIQTZNAcVS7EpbFkH,"Lavender (feat. Kaytranada)","Lavender (feat. Kaytranada & Snoop Dogg) [Nightfall Remix]","BADBADNOTGOOD,KAYTRANADA",2017-03-12,200438,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"","Innovative Leisure",0.788,0.425,11,-8.228,1,0.0351,0.00807,0.942,0.0697,0.334,99.05,4
2kYf8lZWXI4Ajd7ZhVhKhu,"YOU'RE THE ONE (feat. Syd)","99.9%","KAYTRANADA,Syd",2016-05-06,227746,47,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"alternative r&b","Ultra Records, LLC",0.815,0.385,2,-9.714,1,0.342,0.0299,0.00245,0.107,0.241,118.063,4
6piZpzfZNdq9AWsos0VRsb,"The Longest Road - deadmau5 Remix","Deep House Hits - The Classics","Morgan Page,Lissie,deadmau5",2020-05-22,239213,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"edm,progressive house,dubstep","Armada Music Albums",0.698,0.755,1,-6.692,1,0.0353,0.00286,0.000638,0.107,0.539,124.972,4
1CUYpY3GpRNkKnn3cEQ2nK,"Hey Now - Arty Remix","If You Wait - Remixes","London Grammar,ARTY",2014-05-06,351053,35,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"progressive house,trance,big room","Columbia",0.71,0.706,5,-5.192,1,0.137,0.0123,0.0236,0.124,0.178,128.023,4
01wpPOPqQ3XyS6hBN00HfK,"In the Morning","GENERATIONWHY","ZHU",2016-07-29,246495,55,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:28:48Z,"edm","Columbia",0.709,0.757,1,-6.064,1,0.0356,0.0232,0.335,0.0791,0.166,123.006,4
