Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
31I691UrDuyt54hM6MFMoA,"Squeeze","Squeeze","Maya Delilah",2025-01-31,234600,47,,2025-01-31T05:00:48Z,"","Blue Note Records",0.785,0.581,7,-7.751,1,0.0641,0.0891,0.238,0.0897,0.64,93.895,4
12Ji6jw8obSZ00XfagBxud,"Own Thing","Own Thing","Reuben James",2025-01-31,161309,46,,2025-01-31T05:00:48Z,"neo soul","Rufio Records",0.782,0.614,6,-5.864,1,0.257,0.482,0.34,0.145,0.604,116.185,4
6wcRXWJwk0LRS5Pp2UZssb,"Taxi to the Moon","Laundry","Penthouse",2024-11-06,131200,42,,2024-11-08T05:00:00Z,"j-pop,j-r&b","Victor",0.755,0.871,11,-5.071,0,0.0421,0.0026,0,0.0571,0.955,117.035,4
4y17IJimZ69gyuZnJC0xyy,"We Do It Together","Aequoreus","Gramatik,Syl Johnson",2025-02-21,229514,45,,2025-02-21T05:00:16Z,"electro swing,trip hop,nu jazz,downtempo,soul,soul blues","Lowtemp",0.359,0.861,3,-2.309,1,0.412,0.183,0.18,0.117,0.688,205.655,4
72AXDPqbMBNHPOFaJFnpdh,"Lose Control","Lose Control","Young Franco,EARTHGANG,Jafunk",2025-01-10,156302,57,,2025-01-10T05:00:12Z,"funky house,nu disco","Universal Music Australia Pty. Ltd.",0.639,0.585,6,-7.469,0,0.36,0.111,0.000522,0.345,0.641,113.063,4
4U7WNGITP6pP6xahNsvzaI,"TOGETHER (With Devon Gilfillian)","TOGETHER (With Devon Gilfillian)","SNACKTIME,Devon Gilfillian",2025-01-28,207800,37,,2025-01-31T05:00:48Z,"roots rock,retro soul","Self Released",0.774,0.577,5,-6.566,0,0.0712,0.116,0.00000994,0.135,0.779,85.007,4
7pm3RAEh9rNYEbY4eEtqtw,"Colors (Feat. Nic Hanson)","Colors (Feat. Nic Hanson)","Synapson,Nic Hanson",2024-11-22,218181,43,,2024-11-22T05:00:00Z,"nu disco","Unity Records",0.762,0.792,5,-6.667,1,0.0626,0.0811,0.000181,0.0979,0.522,110.043,4
6PDTzLHj1AKkQbowjBKORN,"Kindred Lover","Kindred Lover","Phoebe Katis,Sam Greenfield",2024-11-15,176391,35,,2024-11-15T05:00:00Z,"jazz funk,jazz fusion","Phoebe Katis",0.714,0.793,2,-4.777,1,0.037,0.0144,0.000558,0.0749,0.684,105.013,4
2mLnBJjlMOcDWQcuMYqkOR,"Lucky (Song 7)","Lucky (Song 7)","Busty and the Bass",2024-11-12,231652,44,,2024-11-15T05:00:00Z,"retro soul","Arts & Crafts",0.736,0.859,6,-6.143,1,0.0546,0.0774,0.954,0.0942,0.812,110.992,4
7wEvo5UWrMLBUSnVEfGq4T,"This Is 4 You","Tuxedo IV","Tuxedo",2024-11-01,151506,39,,2024-11-01T04:00:00Z,"nu disco","Funk On Sight",0.798,0.695,7,-5.516,1,0.138,0.305,0.0000213,0.283,0.673,118.897,4
7BypZ2B3bsVf2hwqAHqGJe,"Don't Rain On My Parade","Don't Rain On My Parade","Third Reprise,Henry Platt",2024-10-14,263279,34,,2024-10-18T04:00:00Z,"","Third Reprise Records",0.475,0.918,7,-3.885,1,0.174,0.0192,0.000752,0.175,0.647,136.227,4
3Dc6tLYl8GHl2lFfsiag2a,"Lover Boy","Lover Boy","Diamond Cafe",2024-11-15,229133,36,,2024-11-15T05:00:00Z,"","Diamond Cafe",0.733,0.851,1,-4.25,1,0.107,0.0226,0.00319,0.122,0.877,123.605,4
2546nqsIcRLi51Lqp851fy,"NEVER CATCH A BREAK","NEVER CATCH A BREAK","Adam Pastel,Marc E. Bassy",2024-10-11,174331,31,,2024-10-11T04:00:00Z,"stutter house","Pastel Park",0.66,0.681,1,-7.924,0,0.315,0.061,0,0.158,0.742,106.101,4
2ZTZzeo6yKr6cchthTQZHq,"Feelin' How I Should","Feelin' How I Should","Cool Company",2024-11-15,172000,39,,2024-11-15T05:00:00Z,"","Cool Company Music LLC",0.909,0.539,8,-7.449,0,0.0807,0.0179,0.217,0.0447,0.835,120.054,4
45vE6arpsiQ7bvIlygU9PG,"Mystery","Mystery","Allen Stone,PJ Morton",2024-10-25,194184,23,,2024-09-27T04:00:00Z,"retro soul,neo soul","ATO Records / Fontana North",0.741,0.82,1,-4.22,1,0.215,0.106,0.000848,0.0919,0.845,97.042,4
0R6BHLMUfkni1qZyfTjYp5,"New Way","New Way","Jafunk,Triple H Horns,Yogi",2024-09-12,181500,40,,2024-09-16T17:12:17Z,"funky house,nu disco,disco house","Luckie Star Records",0.791,0.818,0,-5.815,1,0.0899,0.207,0.0000193,0.0994,0.883,118.017,4
4pf6UyOlaDtySrahgrbzqL,"Something","Something","Boyan,Nic Hanson",2024-08-30,196488,35,,2024-08-30T04:00:00Z,"jazz rap,nu disco","Stereofox",0.799,0.792,1,-5.874,0,0.121,0.0262,0.000319,0.155,0.951,104.971,4
6bfDFOlMraYL4XoYAExz3n,"Play My Guitar","Play My Guitar","Sam Pounds",2024-08-30,201422,38,,2024-08-30T04:00:00Z,"hardstyle","Harmonix Factory",0.616,0.962,2,-3.038,1,0.106,0.0057,0.031,0.232,0.783,115.04,4
3q557Vq0NZWyYexMpnNvFJ,"Hip Replacement","Family Business","Lawrence",2024-06-20,253133,39,,2024-07-01T15:12:38Z,"pop soul,retro soul,christmas","Lawrence",0.742,0.892,10,-3.141,0,0.176,0.076,0.00000434,0.356,0.795,100.971,4
7fY9syk6ncZMGwCzNOLGMI,"FYMB (Free Your Mind Baby)","FYMB (Free Your Mind Baby)","Outasight",2024-10-04,135312,27,,2024-10-04T04:00:00Z,"","83 Sound",0.738,0.892,7,-5.756,1,0.0865,0.0186,0.000397,0.255,0.769,95.99,4
56RlwQy5HsHbf6guHUMluq,"Full Circle","Full Circle","MonoNeon,Mavis Staples",2024-07-10,224302,28,,2024-07-12T04:00:00Z,"soul","Court Square Recordings",0.722,0.691,1,-8.715,1,0.188,0.194,0,0.332,0.784,100.085,4
1ykn3V2Mv2JhE8dkDAbWji,"Move Your Body","Move Your Body","Tweak on the Beat,Ric Wilson",2024-08-14,98181,29,,2024-08-16T04:00:00Z,"","NOVAK",0.888,0.568,5,-10.479,0,0.165,0.865,0.000293,0.363,0.889,109.983,4
2BEKaDo23WiAHaedEGyCUM,"Subway Surfing","Subway Surfing","Allie Dunn",2024-07-26,221687,32,,2024-07-26T04:00:00Z,"retro soul","Embark Entertainment",0.723,0.803,2,-6.134,1,0.0492,0.215,0.00000973,0.195,0.579,109.006,4
6TCl4ThmCiqCuSjfmS0CLZ,"GINGUA","GINGUA","MONONKVL",2024-08-21,248451,28,,2024-08-23T04:00:00Z,"j-r&b,city pop","SOCKETS MUSIC",0.633,0.873,11,-3.486,0,0.086,0.0384,0,0.0789,0.883,112.841,4
6ZtWV5Xnnj8Mowoc02JWB5,"Vibes Alright","Vibes Alright","Marc Rebillet",2024-07-12,177737,41,,2024-07-12T04:00:00Z,"","Many Hats Distribution",0.605,0.814,6,-5.048,1,0.0973,0.475,0.00175,0.0916,0.918,85.054,4
14OQ9qHCNEOGiy9UryGImS,"Love Myself","Love Myself","KOLA",2024-06-14,224000,39,,2024-06-14T04:00:00Z,"nu disco","Sidekick Music",0.805,0.53,11,-10.091,1,0.157,0.21,0.256,0.576,0.492,105.014,4
1rX4NEQw31PCs8xN125GiZ,"Bad Credit","Bad Credit","Yonny",2024-07-12,202633,27,,2024-07-12T04:00:00Z,"","Yonny under exclusive license to DVLPMNT",0.59,0.76,1,-6.799,1,0.179,0.067,0,0.434,0.372,106.892,4
1hCemip7lYfAnPSWRYyf0z,"High (When I’m Low)","High (When I’m Low)","Dylan Chambers,Dave Koz,LunchMoney Lewis",2024-02-28,168549,35,,2024-03-01T05:01:00Z,"retro soul,nu disco,smooth jazz,jazz","Head Bitch Music",0.764,0.705,8,-5.604,1,0.0431,0.0158,0,0.319,0.934,130.999,4
1LHWhmfgWC2sU9iewXd0cz,"Dance 'N Forget","Dance 'N Forget","Nikka Costa",2024-06-28,200527,26,,2024-06-28T04:00:00Z,"","Go Funk Yourself, Inc.",0.852,0.818,2,-5.627,1,0.0529,0.0203,0.000045,0.0506,0.761,111.997,4
5El5mxXJzfYYr0PM61xrvn,"Fist Bump (feat. Free Nationals) - Radio Edit","Fist Bump (feat. Free Nationals) (Radio Edit)","Durand Bernarr,Free Nationals",2024-05-17,213000,40,,2024-05-17T04:01:00Z,"neo soul","Durand Bernarr / DSING RECORDS",0.603,0.539,9,-9.676,0,0.0997,0.412,0,0.211,0.695,79.843,4
0uD6yDPOKCmcV7yYPlkCLG,"Just Imagine","Just Imagine","Gabe Costa,Nic Hanson,Giovanni Ghioldi",2024-06-07,151923,45,,2024-06-07T04:00:00Z,"nu disco","Vokall Records",0.787,0.605,0,-6.139,0,0.059,0.16,0,0.0682,0.836,105.047,4
0OxC4TyAkd9MjXAQrx9Qdf,"Watch Me Get It Like","Watch Me Get It Like","Bobby Saint",2023-06-29,135445,26,,2024-05-31T04:00:00Z,"","Hive Music / Position Music",0.542,0.785,8,-3.546,1,0.163,0.00709,0.0144,0.219,0.73,201.917,4
3clenG2tAtYdINNWyR4VA8,"TIANA","TIANA","Nic Hanson",2024-07-05,176410,26,,2024-07-05T04:00:00Z,"nu disco","Nic9Music",0.898,0.654,11,-7.912,0,0.262,0.334,0.0000386,0.114,0.36,117.067,4
69NC8FNTlg78LJG4tTk0eI,"Online","Digital Nightmare","TWRP,Montaigne,Tom Cardy",2024-03-22,254763,44,,2024-03-22T04:01:00Z,"","TWRP",0.676,0.764,1,-5.256,1,0.0439,0.00489,0.000318,0.159,0.77,118.059,4
0rnE60QykoMiOgtmN0OxlN,"Sweet Escape feat. ひかり - Jafunk Remix","Sweet Escape (feat. ひかり) [Jafunk Remix]","Tokimeki Records,Jafunk,Hikari",2023-07-26,217625,31,,2023-07-28T04:01:00Z,"city pop,j-r&b,j-pop,funky house,nu disco","Namy& Records",0.757,0.798,6,-6.016,1,0.0573,0.0271,0.00086,0.0612,0.713,111.996,4
16WZ9KBCv48ChvdyuSpZcH,"BLACK JAMES DEAN","BLACK JAMES DEAN","Gerard Alain",2023-09-29,153600,28,,2023-09-29T04:01:00Z,"","The Allenport Group",0.713,0.85,0,-4.189,1,0.224,0.048,0,0.0361,0.789,99.982,4
7G7Ugg03M2X0lKvQp4uGl0,"Tides - Jean Tonique Remix","Tides (Jean Tonique Remix)","3kelves,Jean Tonique",2024-04-24,181986,36,,2024-04-26T04:01:00Z,"disco house,nu disco,funky house,french house","toucan sounds",0.903,0.56,4,-8.668,0,0.126,0.455,0.0198,0.0942,0.551,122.01,4
1WUwrMCXTFxuOdxf3ltVVN,"Smoke and Mirrors","Smoke and Mirrors","PJ Morton",2024-05-03,199385,29,,2024-05-03T04:01:00Z,"neo soul","Morton Records / EMPIRE",0.838,0.916,10,-6.59,0,0.0626,0.188,0.0201,0.0438,0.961,130.04,4
5mjKQzWQb4IaGonP5fP9OB,"Party Head","Party Head","BRADIO",2024-04-24,251729,26,,2024-05-24T04:00:00Z,"anime,j-rock,j-pop","NIPPON CROWN CO., LTD.",0.713,0.903,2,-3.418,1,0.042,0.0419,0,0.251,0.793,121.03,4
3MmyrLEMNBwGicrY8x7jTs,"Look At Me","Look At Me","Cory Wong,Allen Stone",2023-05-19,233056,40,,2023-05-23T18:23:26Z,"jazz funk,retro soul","Roundwound Media, LLC.",0.599,0.924,1,-6.33,0,0.0442,0.0236,0.00263,0.297,0.962,98.03,4
52qi04bO7emYkJH6lhA4sk,"Lights Out","Lights Out","Nubiyan Twist,Nile Rodgers",2024-02-07,241560,37,,2024-02-09T05:01:00Z,"indie jazz,nu jazz,jazz rap","Strut",0.791,0.888,4,-5.97,0,0.0935,0.193,0.0156,0.0921,0.721,113.985,4
2om87zUjvUhR1unHdqLo1Z,"I Can’t Party","Vulfnik","Vulfmon",2023-06-01,145003,40,,2023-04-28T04:01:00Z,"","Vulf Records",0.981,0.417,4,-11.214,0,0.176,0.205,0,0.26,0.835,117.994,4
0nxkE2MFVrm7UpdzgQ0CJO,"Bullseye","Bullseye","Fulton Lee",2023-03-31,137000,28,,2023-03-31T04:01:00Z,"","Lolipop Records",0.948,0.664,5,-6.873,0,0.0942,0.236,0.00000131,0.0715,0.844,120.069,4
4i6YTuChfl0hMZWRiK3OF1,"Trust","The Loop","Jordan Rakei",2024-05-10,206571,53,,2024-05-10T04:01:00Z,"neo soul","Decca (UMO)",0.746,0.761,2,-7.053,1,0.0338,0.25,0.0812,0.14,0.725,99.408,4
6rwRf8DFQsadNxevwfUcSX,"Look In The Mirror","Analog Love","Dabeull,Reva DeVito",2024-04-12,253760,42,,2024-04-12T04:01:00Z,"nu disco","Roche Musique",0.837,0.752,11,-4.695,0,0.0328,0.105,0.00669,0.244,0.841,123.079,4
1vGANe8vFo5A0y3P7XNhFS,"Talk To Me","Talk To Me","Kossisko",2024-03-26,244586,25,,2024-03-29T04:01:00Z,"","KoKo Music Inc",0.795,0.826,10,-5.588,0,0.0606,0.00771,0.0000184,0.0959,0.963,121.041,4
