Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6tXYVzmdR7l7yEXY11b2Hq,"F+L","F+L","Point Point",2017-07-28,300000,42,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"future bass","Point Point",0.316,0.537,6,-6.614,0,0.0495,0.0804,0.87,0.0792,0.11,93.505,4
1DaVrzTEaAnqoilrZT262b,"Talks - Mura Masa Remix","Talks (Remixes)","PVA,Mura Masa",2020-10-20,240985,27,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"alternative dance","Big Dada",0.717,0.845,1,-8.213,1,0.0416,0.00868,0.727,0.0881,0.432,119.995,4
3uG4DR1pJU1fkO6LAJ7dpr,"Don't Want Ur Luv","SWIM","Mild Minds",2018-10-03,255272,34,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"stutter house","Foreign Family Collective",0.76,0.735,9,-8.155,0,0.0616,0.38,0.917,0.0747,0.531,110.004,4
5czNuIU6g7l5jpefJRcPR4,"Anthem","Anthem","N Joi",1990-12-13,243826,47,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"piano house,acid house","Sony Music UK",0.679,0.885,0,-9.371,1,0.033,0.0279,0.194,0.0831,0.703,124.991,4
2PFcPqtN35qx1cwSImpbRl,"Brazilian - Radio Edit","Brazillian","Gramophonedzie",2010-03-26,159360,25,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"electro swing,swing music","Altra Moda Music",0.727,0.902,10,-6.412,0,0.0463,0.00224,0.621,0.0978,0.742,125.023,4
52d8baQxvV3AkHcAyXCkkO,"Flash","Flash","Lewis OfMan",2018-01-19,179417,46,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"french pop,french house","Profil de Face",0.645,0.739,2,-4.845,0,0.0444,0.186,0.81,0.0384,0.522,103.008,4
1l6aDxFntPLHcaD4OKwcwf,"Good Times - 12 Mix","Ultimate Party Classics","CHIC",2018-06-29,490040,0,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"disco","Warner Music Group - X5 Music Group",0.865,0.653,2,-7.278,1,0.0525,0.101,0.00671,0.0484,0.867,111.565,4
4lvNaO9CiRQN5AgGvBmuKx,"I Feel Love - Edit","Summer: The Original Hits","Donna Summer",2018-04-20,226906,41,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"disco,hi-nrg","Island Def Jam",0.663,0.907,0,-8.625,1,0.0417,0.0326,0.559,0.0765,0.937,125.723,4
3YEte8zWi9t9nsF3OK84VV,"Passion (Of Your Passion) - 12 Mix","Passion","Gat Decor",1992-06-12,470626,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"piano house,acid house,rave","Altra Moda Music",0.752,0.693,5,-12.072,0,0.0408,0.00127,0.744,0.799,0.129,124.875,4
24V9AYu0FvrXjVVEDlQqjG,"Finder - Original","The Biggest Techno Classics, Vol. 1","Ninetoes",2023-10-06,349706,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:10Z,"latin house,tech house,tribal house","MORE Music",0.844,0.773,11,-7.768,1,0.0535,0.00905,0.875,0.0783,0.134,121,4
