Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2x7MyWybabEz6Y6wvHuwGE,"Just Dance","The Fame","Lady Gaga,Colby O'Donis",2008-01-01,241933,76,,2024-11-25T16:41:21Z,"art pop,pop","Interscope",0.822,0.739,1,-4.541,0,0.0311,0.0264,0.0000428,0.181,0.745,118.99,4
4TsmezEQVSZNNPv5RJ65Ov,"Pon de Replay","Music Of The Sun","Rihanna",2005-08-29,246960,79,,2024-11-25T16:41:21Z,"","Def Jam Recordings",0.779,0.64,7,-8.415,1,0.159,0.000155,0.000766,0.101,0.499,99.017,4
6bK9BH9Ts8Gj5JFvnQkzak,"Get Busy","Dutty Rock (20th Anniversary)","Sean Paul",2022-11-11,211666,76,,2024-11-25T16:41:21Z,"dancehall","VP Records",0.741,0.824,10,-4.143,0,0.0352,0.614,0,0.158,0.725,100.216,4
0GWGZA5mxo9nHuSyrj70uo,"When Love Takes Over (feat. Kelly Rowland)","One More Love","David Guetta,Kelly Rowland",2010-11-22,191000,74,,2024-11-25T16:41:21Z,"edm,dance","Parlophone (France)",0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,4
3ZFTkvIE7kyPt6Nu3PEa7V,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira,Wyclef Jean",2005-11-28,218093,84,,2024-11-25T16:41:21Z,"latin pop,latin","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024,4
5rb9QrpfcKFHM1EUbSIurX,"Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","USHER,Lil Jon,Ludacris",2004-03-23,250373,84,,2024-11-25T16:41:21Z,"r&b,crunk,southern hip hop","LaFace Records",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
2bLqfJjuC5syrsgDsZfGmn,"The Way I Are","Shock Value","Timbaland,Keri Hilson,D.O.E.",2007-01-01,179120,82,,2024-11-25T16:41:21Z,"","Interscope/Blackground Records",0.729,0.807,6,-6.492,1,0.0936,0.181,0.75,0.319,0.765,114.742,4
1y4eb6hmAvsqlDOl3fx9kk,"Hot N Cold","One Of The Boys","Katy Perry",2008-06-17,220226,72,,2024-11-25T16:41:21Z,"pop","Capitol Records",0.706,0.842,7,-3.956,1,0.0417,0.0000773,0,0.0688,0.861,132.032,4
6I9VzXrHxO9rA9A5euc8Ak,"Toxic","In The Zone","Britney Spears",2003-11-13,198800,82,,2024-11-25T16:41:21Z,"pop","Jive",0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04,4
5aEqcblO0Z6JloFJXtxyhe,"Everytime We Touch","Platinum","Cascada",2006,197124,61,,2024-11-25T16:41:21Z,"eurodance,europop","Zoo Digital",0.633,0.976,8,-5.362,1,0.0519,0.00281,0.0000129,0.382,0.493,142.027,4
