Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1SNJRCOuSinxdGq7e4gB7K,"All I Really Wanna Do","All I Really Wanna Do","Devon Gilfillian",2023-02-10,222080,50,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"roots rock,retro soul","Fantasy",0.692,0.711,5,-7.043,0,0.0737,0.132,0.0347,0.0821,0.76,163.909,4
27KqSOzLiN6p9sjs95MnZg,"Automatic","Automatic","Lake Street Dive",2022-08-12,238613,48,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Fantasy",0.837,0.666,1,-7.175,1,0.0461,0.262,0.000207,0.0721,0.924,101.977,4
2DccHqTquzubziHAPZRdct,"B-Side","Texas Moon","Khruangbin,Leon Bridges",2022-02-18,274391,63,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"retro soul","Dead Oceans",0.732,0.734,7,-10.574,1,0.0541,0.0777,0.172,0.327,0.687,104.764,4
0xXBrHPFhqOgj08COxT35M,"Door of Love","Door of Love","Lucas Jack",2024-06-14,191800,1,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Ex. Soli Records",0.797,0.651,8,-4.96,1,0.028,0.153,0,0.0933,0.504,115.954,4
5Z0MrFDEIDB075We9w9276,"Call Me","Half The City","St. Paul & The Broken Bones",2014-02-18,171266,11,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"retro soul","Single Lock Records",0.573,0.786,7,-4.354,1,0.0352,0.0634,0.212,0.117,0.612,110.289,4
7hredXafMauuh15FNDEPnQ,"Dance For Love","Dance For Love","Zella Day",2021-05-21,262536,31,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Concord Records",0.696,0.758,6,-6.252,0,0.038,0.005,0.00197,0.135,0.87,107.998,4
0gWcJrbC41WK5qsKowO0tz,"How Bad We Need Each Other","Out Of Style","Marc Scibilia",2015-08-21,193066,30,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","IRS/Nashville",0.669,0.717,4,-5.47,0,0.0558,0.071,0,0.0793,0.692,90.986,4
2copPxM13iCTKG9rJNNxGr,"Déjà Vu (ft. Mavis Staples)","SEA/SONS","Abraham Alexander",2023-04-14,198321,0,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"retro soul","Dualtone Music Group",0.621,0.574,8,-6.729,1,0.0653,0.5,0.000157,0.363,0.118,110.028,4
3Acg5sKJcCjUQBHA8KjX5F,"Sunny Afternoon","Music","Benny Sings",2021-04-09,171756,58,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Stones Throw Records",0.838,0.408,8,-11.721,1,0.0727,0.104,0.000593,0.0793,0.485,101.767,4
1UnN2zuMr0tmEQGXuip59l,"So Close","So Close","Lucas Jack",2024-04-19,233400,0,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Ex. Soli Records",0.777,0.547,7,-5.947,1,0.0424,0.755,0,0.0456,0.757,136.065,4
1DrlLvlYd1FIjNavRm6NdX,"Back Pocket","Thrill of the Arts","Vulfpeck",2015-10-09,181259,63,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"funk rock","Vulf Records",0.839,0.585,2,-7.737,1,0.153,0.478,0.00278,0.0435,0.89,89.821,4
3kEpzxp5fLrDUKoCmFnlzs,"Saratoga","Saratoga","Eddie 9V",2024-04-26,216000,27,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"retro soul,modern blues,blues","Ruf Records",0.613,0.939,3,-4.132,0,0.0599,0.0311,0.00578,0.367,0.683,106.996,4
6PbIRZxg5wqwqngBSXsP0y,"Reelin'","Reelin'","Matt Corby",2023-01-12,208250,28,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Communion Records",0.667,0.368,9,-9.758,1,0.0383,0.547,0.00187,0.11,0.811,85.935,4
0PywzrV955BnXDC8FHAf0n,"Jackie and Wilson","Hozier","Hozier",2014-10-07,223120,49,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Columbia",0.563,0.727,6,-4.202,1,0.036,0.0579,0.00000759,0.0937,0.745,82.311,4
19tXA2Mfvbk6FerG9b5bir,"Fool's Gold","Make It Beautiful","Lucas Jack",2016-09-23,199270,30,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Ex. Soli Records",0.649,0.869,0,-4.896,0,0.0265,0.0656,0.00000342,0.142,0.867,140.008,4
3mZ42jDYwCs4xRM3YXYMMT,"Moonshine","Moonshine","Young Gun Silver Fox",2023-03-09,284343,15,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"album rock","Mixto Records",0.671,0.717,5,-6.914,0,0.0342,0.0848,0.0000637,0.0854,0.675,90.024,4
70SjyVMzhmMeJQD8hOmIBp,"Put Me Thru","Malibu","Anderson .Paak",2016-01-15,160760,53,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","OBE / Apeshit, Inc / EMPIRE",0.732,0.789,5,-3.717,0,0.0476,0.0459,0.0000311,0.123,0.607,107.978,4
1Q6n0mQqqOCXsUGGKxQmrV,"Adonis - Feat. KIRBY","Lotus Glow","Adi Oasis,KIRBY",2023-03-03,219146,46,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"retro soul,neo soul,alternative r&b","Unity Records",0.491,0.725,6,-4.915,0,0.11,0.0491,0.0000191,0.176,0.761,168.144,4
6kd0JbGLweEJi7wpsAkSyw,"Cheap Champagne","Cheap Champagne","Wild Child",2023-02-28,233159,22,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"folk pop","Reba’s Ranch Records",0.321,0.519,5,-6.116,0,0.0349,0.496,0.000663,0.121,0.161,179.985,3
1sCQX9SGkDuxUeo8mJDmrX,"On My Way","On My Way","Lucas Jack",2024-05-17,178701,1,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Ex. Soli Records",0.56,0.804,0,-4.972,1,0.0663,0.0293,0,0.199,0.487,146.099,4
36HVsSxwvuRTAt2WRxhdyv,"Good Lady","Sir Woman","Sir Woman",2022-04-20,265106,0,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"pop soul","Nine Mile Records",0.665,0.58,0,-6.721,1,0.0383,0.46,0.00000368,0.259,0.473,96.995,4
7LiL1fWRLj15Rn3vnUXiBm,"Get Back","Get Back","Of Good Nature",2023-08-25,231689,11,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"reggae rock","Of Good Nature",0.66,0.812,6,-4.149,0,0.044,0.00523,0.0000105,0.046,0.864,144.989,4
5r1XMGZto3kRLwCHpUundp,"Sea Star","Sea Star","St. Paul & The Broken Bones",2023-02-07,207786,33,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"retro soul","ATO Records",0.642,0.56,5,-8.825,1,0.0775,0.14,0.0698,0.0841,0.607,144.088,4
71El4sxlnecBR0E81X7tPt,"Not Yet","Not Yet","Lucas Jack",2024-07-12,236565,1,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Ex. Soli Records",0.554,0.5,10,-6.857,1,0.0299,0.183,0.0000141,0.147,0.202,131.172,4
58T6ntGjb6nD43bUroY0rB,"For Your Soul","Honey I Do","Josh Ritter",2023-03-24,185663,0,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"americana,alt country","Pytheas Recordings",0.623,0.599,0,-7.541,1,0.0383,0.0666,0.000636,0.299,0.377,112.073,4
1h3ODYcDJly0H53W2Ai42Q,"Electric U","Electric U","Kid Bloom",2016-06-07,171696,57,z01pezwa3nw5xw9lzqy03g72z,2025-02-14T18:42:30Z,"","Position Music under exclusive license from Kid Bloom",0.935,0.259,1,-11.088,0,0.0517,0.378,0.000463,0.0611,0.931,112.019,4
