Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7IBqHkoP94VrgYKVns4eNz,"FUNK DO BOUNCE (Slowed)","FUNK DO BOUNCE (Slowed)","Ariis",2024-08-30,107539,82,,2024-10-04T13:19:49Z,"phonk","Tribal Trap",0.818,0.92,6,2.194,0,0.0716,0.111,0.00122,0.0879,0.793,110.449,4
2YZ7CJV3Q1OGh7ZL9PYWcP,"GLORY","GLORY","Ogryzek",2024-05-24,149522,79,,2024-07-05T13:50:01Z,"phonk","Sketch Music LLC / Ogryzek",0.331,0.765,1,-6.789,1,0.0298,0.000421,0.879,0.109,0.0923,171.455,4
6kJjlOWBwnDwIBsvlwTNIF,"BAD PARENTING FUNK","BAD PARENTING FUNK","DJ CEREJASS,Sayfalse",2024-10-22,87834,74,,2024-11-15T15:00:00Z,"phonk","0to8",0.777,0.798,1,-0.705,1,0.247,0.66,0.0907,0.133,0.508,140.153,4
67smGwuPEtA6GAfeweAVNO,"SLAY!","SLAY!","Eternxlkz",2024-03-15,107076,79,,2024-03-29T15:57:27Z,"phonk","Eternxlkz",0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923,4
4aT2W9wchQKAimxVFSRIva,"SPOOKY","SPOOKY","fennecxx,DJ ALEX",2024-10-24,96923,79,,2024-11-08T05:00:00Z,"phonk","Lunar Media",0.645,0.907,8,-1.85,0,0.18,0.0157,0.0538,0.452,0.357,130.131,4
43jExF2HeZ6cJIGrWF0ie4,"Funk de Beleza - Slowed","Funk de Beleza","Nateki,Scythermane",2024-10-04,145115,79,,2025-02-28T15:27:21Z,"phonk,drift phonk","Nateki",0.743,0.838,9,0.195,0,0.0755,0.168,0.0683,0.101,0.848,105.927,4
60AVJqYgyAlCckC6Nh2tgO,"X-SLIDE","X-SLIDE","2KE,808iuli",2024-05-10,79452,77,,2024-07-05T13:50:01Z,"phonk","broke",0.531,0.991,1,1.047,1,0.102,0.118,0.926,0.156,0.961,145.054,4
6hZGsChumRhWG24OEh698c,"Ela Joga na Hora","Ela Joga na Hora","Mc Pogba,DJ Guih Da ZO",2024-03-28,132922,74,,2024-07-12T15:05:31Z,"phonk,brazilian funk,funk","SUNDAY",0.949,0.669,2,-3.922,0,0.222,0.36,0.000592,0.169,0.843,130.05,4
6fxeXlCSt4WLVlbqxgUBMB,"Funk of Galáctico","Funk of Galáctico","SXID,Bibi Babydoll",2024-04-05,90461,74,,2024-04-26T14:45:00Z,"phonk","SXID",0.609,0.967,5,-4.192,1,0.0662,0.0181,0.0761,0.374,0.0989,130.06,4
06PqeO7IInus2yvzsZwZhf,"CUTE DEPRESSED","CUTE DEPRESSED","Dyan Dxddy",2024-02-02,96946,75,,2024-03-22T16:01:00Z,"phonk","ALT:Vision Records",0.83,0.919,10,-2.12,0,0.145,0.503,0.748,0.0757,0.848,151.221,4
