Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2zOmS55knKWSgScYPTNmGQ,"Sports car","Sports car","Tate McRae",2025-01-24,165045,87,,2025-02-14T17:00:13Z,"","RCA Records Label",0.863,0.804,11,-3.685,0,0.0346,0.0542,0.000685,0.0946,0.874,106.986,4
1Ar2McJ98hNvgsHlxLTPQc,"mr useless","Club Shy (extended)","Shygirl,SG Lewis,Club Shy",2024-03-01,149506,46,,2025-02-14T17:00:13Z,"hyperpop","Because Music Ltd.",0.697,0.943,7,-4.152,1,0.0402,0.00177,0.00738,0.214,0.502,131.997,4
6MzofobZt2dm0Kf1hTThFz,"Diet Pepsi","Diet Pepsi","Addison Rae",2024-08-09,169697,84,,2025-02-14T17:00:13Z,"","Columbia",0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4
1jBKtzlwTVtCrScpiiHiKT,"Intimidated (feat. H.E.R.)","Intimidated","KAYTRANADA,H.E.R.",2021-11-19,207840,49,,2025-02-14T17:00:13Z,"r&b","KAYTRANADA/RCA Records",0.738,0.75,11,-3.654,0,0.219,0.0167,0.00976,0.174,0.342,112.009,4
5dUOWlWWYdAgqeXwTgbaKt,"21st Century Cool Girl","21st Century Cool Girl","Chloe Qisha",2025-01-22,197655,59,,2025-02-14T17:00:13Z,"","VLF Records / Are You Serious? Records",0.493,0.634,5,-6.1,1,0.061,0.253,0,0.115,0.462,114.099,4
3FSOP0KUsO3hv96E92CHsp,"MAMA'S EYES","MAMA'S EYES","METTE",2023-02-03,200199,49,,2025-02-14T17:00:13Z,"","Not specified",0.775,0.742,1,-5.226,0,0.101,0.0779,0.0000273,0.401,0.514,121.89,4
4FwLPPSDgNfDKyVBUYF5LH,"Feel Good","Une semaine à Paris","Charlotte Cardin",2023-11-17,163472,59,,2025-02-14T17:00:13Z,"","Cult Nation",0.727,0.643,6,-5.523,0,0.0545,0.106,0,0.0895,0.684,111.077,4
5ZdqVCiXrvMGpY8cux5g8t,"Conceited","This Wasn't Meant For You Anyway","Lola Young",2024-06-21,239453,73,,2025-02-14T17:00:13Z,"","Universal-Island Records Ltd.",0.764,0.44,11,-5.009,0,0.0619,0.337,0,0.542,0.844,92.021,4
46cW6zufU9Woo11TLs2i6X,"Angel Of My Dreams","Angel Of My Dreams","JADE",2024-07-19,197639,68,,2025-02-14T17:00:13Z,"","RCA Records Label",0.532,0.723,6,-5.776,0,0.0452,0.104,0.000227,0.27,0.379,127.906,4
3Y1EvIgEVw51XtgNEgpz5c,"Von dutch","BRAT","Charli xcx",2024-06-07,164284,80,,2025-02-14T17:00:13Z,"hyperpop,art pop","Atlantic Records",0.706,0.698,10,-5.679,1,0.0537,0.00298,0.00375,0.116,0.648,130.013,4
2wIRaHeRDzmGSu9e3i2Rup,"Killed For Sport","Killed For Sport","Baby Nova",2025-01-22,254954,44,,2025-02-14T17:00:13Z,"","Artist Partner Group, Inc.",0.514,0.577,2,-6.566,0,0.0325,0.266,0.000583,0.164,0.313,123.73,4
1YXIOzYdHojl0GRsIEhHsN,"Bit Of Rain","I'm Your Empress Of","Empress Of",2020-04-03,210066,41,,2025-02-14T17:00:13Z,"","Terrible Records",0.73,0.705,0,-2.59,1,0.0362,0.0424,0.00000707,0.0987,0.617,119.969,4
