Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1o9JJeBKlVxQ9O4j5Qd4Vh,"Give Me Everything - Stripped Down","Sequēns","Archer Marsh",2022-12-01,132096,63,,2025-03-08T04:00:29Z,"","CO-LAB",0.485,0.302,3,-6.704,1,0.101,0.768,0.049,0.0755,0.246,160.947,5
6mbrwy2qyswMGrhXcfkjNE,"Espresso","Espresso","Vitamin String Quartet",2024-07-19,175463,52,,2025-03-08T04:00:29Z,"orchestra","Vitamin Records",0.753,0.285,2,-11.102,0,0.0419,0.933,0.757,0.287,0.868,104.042,4
5a557zLxT968QcuKhF81T6,"Die With A Smile - Piano Version","Die With A Smile (Piano Version)","The Piano Cover Guy",2025-01-17,206066,45,,2025-03-08T04:00:29Z,"","Rasmusic",0.603,0.0315,9,-20.27,1,0.0562,0.995,0.955,0.0905,0.231,136.324,3
0aXMvtcWDSABbNjdksELNp,"Defying Gravity (Arr. Piano) - from Wicked","Wicked Dreamtime","Music Lab Collective,Music Lab Dreamtime",2024-12-13,166528,50,,2025-03-08T04:00:29Z,"classical piano","Decca (UMO) (Classics)",0.375,0.0449,1,-21.258,1,0.0459,0.991,0.937,0.104,0.322,169.91,4
4dRYlZtS7kYfWxkYfMPTe7,"Cheap Thrills","VSQ Performs the Hits of 2016, Vol. 2","Vitamin String Quartet",2016-08-26,207640,59,,2025-03-08T04:00:29Z,"orchestra","Vitamin Records",0.384,0.186,2,-10.739,0,0.0379,0.136,0.228,0.101,0.545,179.798,4
3suLgqVTFAMGBMxMNvqCIT,"BIRDS OF A FEATHER","BIRDS OF A FEATHER","Piano Glow",2025-03-08,196687,38,,2025-03-08T04:00:29Z,"","Piano Glow",0.444,0.0447,2,-30.38,1,0.0506,0.995,0.937,0.101,0.216,100.692,4
7BmSSHBfpq4LsyBURC5rL3,"Good Luck, Babe!","VSQ Performs the Hits of 2024","Vitamin String Quartet",2024-08-09,216213,48,,2025-03-08T04:00:29Z,"orchestra","Vitamin Records",0.712,0.278,1,-10.432,1,0.0359,0.922,0.819,0.103,0.672,116.643,4
09efVfgf64MbVRdLKDnIGS,"Running Up That Hill","Running Up That Hill","Unsecret String Quartet,UNSECRET",2022-07-04,289648,48,,2025-03-08T04:00:29Z,"","Tone Tree Music",0.612,0.278,0,-12.153,0,0.0329,0.446,0.86,0.0799,0.109,108.485,4
4u91K1WDKhzLLg8QJsQlor,"Glimpse of Us (arr. string quartet)","Glimpse of Us (arr. string quartet)","Music Lab Strings,Music Lab Collective",2023-08-11,238866,46,,2025-03-08T04:00:29Z,"classical piano","Decca (UMO) (Classics)",0.223,0.172,8,-10.379,1,0.0476,0.982,0.496,0.38,0.157,168.225,3
4VryBfNbjZ1Wjx6WafYw2B,"Call Out My Name","VSQ Performs The Weeknd, Vol. 2","Vitamin String Quartet",2024-07-12,229266,46,,2025-03-08T04:00:29Z,"orchestra","Vitamin Records",0.517,0.253,4,-11.566,0,0.0332,0.808,0.00986,0.254,0.695,134.06,3
