Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3CYH422oy1cZNoo0GTG1TK,"Psycho","‘The ReVe Festival’ Finale","Red Velvet",2019-12-23,210560,70,vurhorsten-ca,2023-03-03T05:53:08Z,"k-pop","SM Entertainment",0.664,0.666,8,-2.203,1,0.0446,0.193,0,0.0854,0.405,139.987,4
65FftemJ1DbbZ45DUfHJXE,"OMG","NewJeans 'OMG'","NewJeans",2023-01-02,212253,78,vurhorsten-ca,2023-03-03T05:53:12Z,"k-pop","ADOR",0.804,0.771,9,-4.067,0,0.0433,0.357,0.00000307,0.108,0.739,126.956,4
0a4MMyCrzT0En247IhqZbD,"Hype Boy","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,179026,77,vurhorsten-ca,2023-03-03T05:53:15Z,"k-pop","ADOR",0.593,0.935,4,-3.43,0,0.225,0.268,0,0.286,0.783,99.976,4
2pIUpMhHL6L9Z5lnKxJJr9,"Attention","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,180066,75,vurhorsten-ca,2023-03-03T05:56:50Z,"k-pop","ADOR",0.811,0.648,10,-3.684,0,0.0368,0.236,0,0.0761,0.695,104.988,4
2DwUdMJ5uxv20EhAildreg,"Cookie","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,235562,71,vurhorsten-ca,2023-03-03T05:56:59Z,"k-pop","ADOR",0.847,0.638,0,-3.764,1,0.0575,0.0596,0,0.0894,0.661,156.935,4
5expoVGQPvXuwBBFuNGqBd,"Hurt","NewJeans 1st EP 'New Jeans'","NewJeans",2022-08-01,177946,72,vurhorsten-ca,2023-03-03T05:56:59Z,"k-pop","ADOR",0.599,0.446,10,-6.511,0,0.0833,0.731,0,0.105,0.567,179.877,4
3r8RuvgbX9s7ammBn07D3W,"Ditto","Ditto","NewJeans",2022-12-19,185506,79,vurhorsten-ca,2023-03-03T05:57:03Z,"k-pop","ADOR",0.814,0.641,6,-5.957,0,0.111,0.027,0,0.0993,0.183,133.854,4
2oBMZYteeO8DyXV9gDx6Za,"Feel My Rhythm","‘The ReVe Festival 2022 - Feel My Rhythm’","Red Velvet",2022-03-21,210253,64,vurhorsten-ca,2023-03-03T05:57:13Z,"k-pop","SM Entertainment",0.412,0.94,1,-2.171,1,0.215,0.0648,0,0.358,0.423,157.964,4
6AdhHZfTC4ep1b2v7L0Hfl,"Time To Love","The Perfect Red Velvet - The 2nd Album Repackage","Red Velvet",2018-01-29,195248,42,vurhorsten-ca,2023-03-03T06:01:10Z,"k-pop","SM Entertainment",0.41,0.654,9,-3.966,1,0.067,0.14,0,0.126,0.341,184.736,4
7AetvQATDEQxoFDsH2gRnr,"LP","‘The ReVe Festival’ Day 1","Red Velvet",2019-06-19,207836,37,vurhorsten-ca,2023-03-03T06:22:26Z,"k-pop","SM Entertainment",0.674,0.832,5,-5.2,1,0.0894,0.0714,0,0.714,0.761,159.995,4
6z1ycVYyjuc6DsnDe9SKBW,"사탕 (Candy)","Ice Cream Cake - The 1st Mini Album","Red Velvet",2015-03-17,262199,40,vurhorsten-ca,2023-03-03T06:22:29Z,"k-pop","SM Entertainment",0.554,0.577,4,-5.071,1,0.0346,0.593,0,0.178,0.316,135.921,4
0RDqNCRBGrSegk16Avfzuq,"Talk that Talk","BETWEEN 1&2","TWICE",2022-08-26,177466,68,vurhorsten-ca,2023-03-03T06:29:05Z,"k-pop","Republic Records - TWICE",0.772,0.907,3,-2.438,0,0.124,0.136,0,0.334,0.783,119.973,4
5NcLyVjUgG0yfwHgr5t81w,"MOONLIGHT SUNRISE","MOONLIGHT SUNRISE","TWICE",2023-01-20,180320,60,vurhorsten-ca,2023-03-03T06:29:13Z,"k-pop","Republic Records - TWICE",0.749,0.781,1,-3.265,1,0.0578,0.392,0.00000212,0.086,0.606,125.09,4
3zhbXKFjUDw40pTYyCgt1Y,"What is Love?","Summer Nights","TWICE",2018-07-09,208240,73,vurhorsten-ca,2023-03-03T06:29:26Z,"k-pop","Republic Records - TWICE",0.574,0.909,8,-1.573,1,0.0658,0.0987,0,0.264,0.569,169.966,4
3sOEVB8DirQtZc0qhw8lJc,"Queen of Hearts","BETWEEN 1&2","TWICE",2022-08-26,186946,53,vurhorsten-ca,2023-03-03T06:29:40Z,"k-pop","Republic Records - TWICE",0.666,0.847,10,-2.526,0,0.106,0.102,0,0.0702,0.815,149.94,4
63mL1DdcSFfxVJ9XGnSRQz,"Basics","BETWEEN 1&2","TWICE",2022-08-26,176973,57,vurhorsten-ca,2023-03-03T06:29:54Z,"k-pop","Republic Records - TWICE",0.778,0.8,2,-3.529,1,0.227,0.254,0,0.139,0.585,137.997,4
5LMoKDVzW2kDneNu2UbspP,"Zero","Zero","NewJeans",2023-04-03,154194,62,vurhorsten-ca,2023-04-03T23:15:25Z,"k-pop","ADOR",0.705,0.653,1,-7.407,0,0.17,0.31,0.0000146,0.122,0.578,171.932,4
3syxwxJqX5jpgjNYmvzdW6,"CAKE","KILL MY DOUBT","ITZY",2023-07-31,198887,61,vurhorsten-ca,2023-08-24T05:15:26Z,"k-pop","Republic Records - ITZY",0.801,0.758,7,-4.31,1,0.0445,0.0663,0.0000041,0.0431,0.576,103.07,4
210JJAa9nJOgNa0YNrsT5g,"GODS","GODS","League of Legends,NewJeans",2023-10-04,220878,72,vurhorsten-ca,2023-10-07T17:35:56Z,"k-pop","Riot Games",0.588,0.765,3,-5.914,0,0.0518,0.00685,0.0000323,0.2,0.492,145.988,4
