Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
56hwcJKj0M40A3qdhV3177,"Time Bomb","...And Out Come The Wolves","Rancid",1995-08-15,144585,61,,2024-02-06T19:36:52Z,"punk,ska punk,ska,skate punk,hardcore punk","Epitaph",0.635,0.967,9,-4.568,1,0.053,0.259,0,0.519,0.942,164.52,4
5TZn3LQSWwVPnBlPgFKb54,"American Jesus","Recipe For Hate","Bad Religion",1993-09-21,197666,59,,2024-02-06T19:36:52Z,"punk,skate punk,hardcore punk,ska punk,melodic hardcore","Epitaph",0.404,0.985,0,-4.173,1,0.0491,0.00238,0,0.192,0.697,181.406,4
3Id64dLhfH7z0mmcylxuNp,"Fuck Authority","Land Of The Free?","Pennywise",2001-06-19,196120,58,,2024-02-06T19:36:52Z,"punk,skate punk,ska punk,melodic hardcore,hardcore punk","Epitaph",0.45,0.937,5,-2.819,0,0.0504,0.000887,0.00457,0.379,0.791,101.922,4
4uB28m7RAflobYpnLMb6A2,"Linoleum","Punk In Drublic","NOFX",1994-07-19,130266,56,,2024-02-06T19:36:52Z,"punk,skate punk,ska punk,ska,melodic hardcore,hardcore punk","Epitaph",0.414,0.933,4,-8.699,1,0.0875,0.0000332,0.000559,0.0702,0.436,98.375,4
06MeiebDSLm1zsSYfMrUQ7,"Still Waiting","All the Good Shit","Sum 41",2009,159266,41,,2024-02-06T19:36:52Z,"pop punk,punk,skate punk","Aquarius Records Ltd.",0.407,0.948,7,-4.481,1,0.211,0.00137,0.0000329,0.322,0.55,191.99,4
7rSERmjAT38lC5QhJ8hnQc,"I'm Shipping Up To Boston","The Warrior's Code","Dropkick Murphys",2005-07-19,153600,69,,2024-02-06T19:36:52Z,"celtic rock,celtic,punk,folk punk","Hellcat/Epitaph",0.452,0.928,2,-3.133,1,0.079,0.000706,0.000637,0.226,0.6,129.188,4
6WkSUgo1VdpzgtiXKlFPcY,"Dammit","Dude Ranch","blink-182",1997,165373,65,,2024-02-06T19:36:52Z,"pop punk,punk,emo pop,rock,skate punk,emo","Geffen",0.429,0.972,0,-5.122,1,0.0953,0.0017,0,0.171,0.34,111.282,4
5JJDu0Z5DKe7mR31MGksSg,"Come Out and Play","Smash","The Offspring",1994-04-08,197800,71,,2024-02-06T19:36:52Z,"punk,skate punk","Epitaph",0.519,0.77,7,-8.788,1,0.0809,0.0675,0.00000348,0.0762,0.921,158.29,4
4kPSjEg8u1U4pg2dHHMmtf,"Dancing Barefoot","Wave","Patti Smith",1979,256533,57,,2024-02-06T19:36:52Z,"proto-punk","Arista/Legacy",0.492,0.639,2,-9.944,1,0.0319,0.235,0,0.0738,0.792,115.519,4
5DwcKHWuKpR3BIDTqe9hkn,"Rumble","Presenting Link Wray","Link Wray",1962-11-26,145920,40,,2024-02-06T19:36:52Z,"surf rock,rockabilly,proto-punk,psychobilly","Universal Digital Enterprises",0.552,0.623,9,-9.86,1,0.0361,0.238,0.000647,0.476,0.629,85.071,4
6WPGAupim73K9XQL4iIefZ,"Nightclubbing","The Idiot","Iggy Pop",1977-03-18,255831,48,,2024-02-06T19:36:52Z,"proto-punk,glam rock","Virgin Records",0.376,0.633,0,-9.817,1,0.0493,0.125,0.378,0.0648,0.611,138.593,3
5YUJMvTg4AWHKjqQidTsGK,"Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version","Love Bites","Buzzcocks",1978,163693,60,,2024-02-06T19:36:52Z,"punk,proto-punk,madchester,power pop,post-punk,new wave","Domino Recording Co",0.266,0.831,4,-9.07,1,0.0453,0.000862,0,0.0555,0.778,175.514,4
6OojY4NdPiEGWHV2EUSwHz,"Always See Your Face","Four Sail (Expanded Edition)","Love",1969-09-01,209133,49,,2024-02-06T19:36:52Z,"psychedelic rock,acid rock,baroque pop,psychedelic pop,proto-punk","Rhino/Elektra",0.567,0.579,0,-12.565,1,0.029,0.38,0.000028,0.0562,0.92,109.84,4
3KLkRy9l3us98SIp6mmxkk,"No Cigar","Pennybridge Pioneers","Millencolin",2000-02-22,163226,61,,2024-02-06T19:36:52Z,"skate punk,punk,ska punk,melodic hardcore,pop punk,ska,hardcore punk","Burning Heart Records/Epitaph",0.383,0.986,9,-2.796,1,0.0617,0.000287,0,0.179,0.578,157.871,4
5rLTTa31EzWdvYZ5K7koDc,"Shakin' All Over","British Beat Before The Beatles 1955-1962","Johnny Kidd & The Pirates",2010-10-04,141000,19,,2024-02-06T19:36:52Z,"rockabilly,rock and roll","Parlophone UK",0.767,0.626,9,-8.408,1,0.036,0.188,0.0000103,0.327,0.715,125.237,4
