Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7A47UkPqUyy6zvzCyWzt10,"Hazel","Coral","Olof Dreijer",2024-03-06,592331,14,residentadvisor,2024-03-12T20:01:09Z,"","AD 93",0.361,0.148,10,-23.206,0,0.0329,0.925,0.919,0.123,0.341,144.078,3
6ez8NFpwMOk6xmSHvkLup3,"Wumb (Ambient Version)","Braindance","upsammy",2024-02-16,281333,5,residentadvisor,2024-03-12T19:52:59Z,"idm,experimental","Die Orakel",0.184,0.354,9,-13.432,0,0.0523,0.515,0.00306,0.0495,0.0975,180.835,4
3PAoRpFr4WBaObDfKrvCX1,"Retrograde Canon","All Life Long","Kali Malone",2024-02-09,256000,23,residentadvisor,2024-03-12T19:52:32Z,"drone,ambient,dark ambient,minimalism,experimental","Ideologic Organ",0.143,0.147,7,-15.94,0,0.0366,0.97,0.96,0.108,0.0385,70.46,5
3m1ngci5oStKN96zAt9Y9M,"Quiet Friend - 30th Anniversary Remaster","Structures From Silence (30th Anniversary Remaster)","Steve Roach",1984-07-24,803000,33,residentadvisor,2024-03-12T19:53:15Z,"space music,ambient,drone,dark ambient,new age","Projekt",0.171,0.0371,8,-32.469,0,0.0386,0.908,0.975,0.0792,0.0437,135.031,4
3sMMHEwhyAa4VueBWS2N64,"Float","Back Then I Didn't But Now I Do","Jonny From Space",2024-02-09,283440,8,residentadvisor,2024-02-21T20:49:06Z,"","Incienso (EU)",0.63,0.532,1,-14.248,0,0.0855,0.452,0.886,0.115,0.922,164.016,4
0RQ0QSEuVZJkW4Sr48vW9p,"Velluto","Magda","Donato Dozzy",2024-01-19,522000,25,residentadvisor,2024-02-21T20:41:08Z,"dub techno,minimal techno,ambient","Spazio Disponibile",0.187,0.634,1,-13.563,1,0.0362,0.881,0.912,0.128,0.155,151.994,5
5OHjhhmrg3y7bN7W7JflBi,"Lose Track","EXIT100, Pt. two","Sinistarr",2024-01-26,285500,3,residentadvisor,2024-02-21T20:46:04Z,"footwork,jungle,drumstep,liquid funk,breakbeat,drum and bass","Exit Records",0.333,0.469,9,-12.278,1,0.0839,0.442,0.686,0.889,0.106,84.195,4
4zGrYbrJolnQ2HQInemggW,"Realization","Reality","Lost Souls Of Saturn",2024-02-02,344949,2,residentadvisor,2024-02-21T20:48:57Z,"","Holoverse Research Labs",0.295,0.311,1,-17.177,0,0.0538,0.266,0.95,0.193,0.0854,91.118,3
4NrYUtEDvYnsrlteEARbwH,"flown","half speed","Batu",2023-12-01,503729,6,residentadvisor,2023-12-13T23:06:59Z,"idm,breakbeat,uk funky","A Long Strange Dream",0.406,0.268,11,-18.941,1,0.0382,0.917,0.957,0.132,0.238,121.971,3
0LVCuBsPmGaYvGV3IOMXFy,"Ninety Three 'Til Infinity And Beyoncé","New Blue Sun","André 3000",2023-11-17,229534,42,residentadvisor,2023-12-13T23:04:56Z,"","Epic",0.277,0.128,4,-23.395,0,0.0398,0.962,0.111,0.064,0.13,108.121,4
