Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2n9fC0A4ptmWqYeMXEVaok,"GOOD CREDIT (with Kendrick Lamar)","MUSIC","Playboi Carti,Kendrick Lamar",2025-03-14,190373,83,,2025-03-18T20:46:09Z,"rage rap,hip hop,west coast hip hop","AWGE/Interscope Records",0.744,0.679,0,-7.375,1,0.219,0.0197,0.00000368,0.856,0.397,145.041,4
5Nz7hI3cCOHmMR4vSLJ1An,"GIMME A HUG","$ome $exy $ongs 4 U","Drake",2025-02-14,193054,83,,2025-03-18T20:46:09Z,"rap,hip hop","OVO Sound",0.457,0.671,1,-5.53,1,0.0979,0.0643,0,0.0772,0.245,142.95,4
0aB0v4027ukVziUGwVGYpG,"tv off (feat. lefty gunplay)","GNX","Kendrick Lamar,Lefty Gunplay",2024-11-22,220690,94,,2025-03-18T20:46:09Z,"hip hop,west coast hip hop,mexican hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
1musbempyJAw5gfSKZHXP9,"Anxiety","Anxiety","Doechii",2025-03-05,249302,90,,2025-03-18T20:46:09Z,"","Top Dawg Entertainment/Capitol Records",0.808,0.594,0,-6.838,1,0.0373,0.338,0.00054,0.105,0.888,129.023,4
6s8WSX1MxNThrot8ThI6fG,"4X4","4X4","Travis Scott",2025-01-24,190581,84,,2025-03-18T20:46:09Z,"rap","Cactus Jack / Epic",0.625,0.847,6,-2.95,0,0.0454,0.0392,0.000108,0.788,0.221,143.023,4
4IKvw1OdeTJIN3g4zWE38f,"Dum, Dumb, and Dumber (with Young Thug & Future)","WHAM (Extended Version)","Lil Baby,Young Thug,Future",2025-01-10,227400,77,,2025-03-18T20:46:09Z,"rap,melodic rap,trap","Quality Control Music/Motown Records",0.794,0.755,8,-4.705,0,0.2,0.00527,0,0.299,0.365,130.024,4
5emD8K39MmotlCLOx9qzCH,"GBP (feat. 21 Savage)","GBP (feat. 21 Savage)","Central Cee,21 Savage",2025-01-16,154800,77,,2025-03-18T20:46:09Z,"uk drill,drill,grime","Columbia",0.834,0.683,1,-4.254,1,0.223,0.0905,0,0.205,0.67,142.121,4
7EW7Yivb93qKAtp5qEm5of,"Dark Thoughts","Dark Thoughts","Lil Tecca",2025-03-14,136991,77,,2025-03-18T20:46:09Z,"melodic rap,rap","Galactic / Republic Records",0.801,0.773,1,-3.756,0,0.155,0.055,0,0.189,0.709,101.935,4
2u9S9JJ6hTZS3Vf22HOZKg,"NOKIA","$ome $exy $ongs 4 U","Drake",2025-02-14,241023,90,,2025-03-18T20:46:09Z,"rap,hip hop","OVO Sound",0.537,0.727,5,-4.184,1,0.15,0.247,0,0.173,0.508,106.037,4
0K0jgfFssBL0Q5IcFMrsSz,"No Sweat","No Sweat","Key Glock",2025-03-13,155754,63,,2025-03-18T20:46:09Z,"memphis rap","Key Glock",0.882,0.564,1,-5.729,1,0.332,0.0625,0,0.0834,0.427,76.465,4
