Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6HZILIRieu8S0iqY8kIKhj,"DNA.","DAMN.","Kendrick Lamar",2017-04-14,185946,82,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","Aftermath",0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913,4
5SsR3wtCOafDmZgvIdRhSm,"Man Of The Year","Oxymoron (Deluxe)","ScHoolboy Q",2014-01-01,216013,68,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"","Schoolboy Q",0.749,0.865,3,-5.228,1,0.0413,0.00536,0,0.198,0.371,111.911,4
4S7YHmlWwfwArgd8LfSPud,"L$D","AT.LONG.LAST.A$AP","A$AP Rocky",2015-05-26,238306,71,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"rap","A$AP Worldwide/Polo Grounds Music/RCA Records",0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,4
3oHkMCVJyOcjg5FhfLc2Rq,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","TESTING","A$AP Rocky,Moby,T.I.,Kid Cudi",2018-05-25,315773,59,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"rap,downtempo,trip hop,southern hip hop","A$AP Worldwide/Polo Grounds Music/RCA Records",0.428,0.754,5,-6.416,0,0.179,0.3,0,0.136,0.394,125.948,4
1AqemxWsT0iGg5Lvkm16Bt,"Fukk Sleep (feat. FKA twigs)","TESTING","A$AP Rocky,FKA twigs",2018-05-25,192973,66,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"rap,art pop,alternative r&b","A$AP Worldwide/Polo Grounds Music/RCA Records",0.798,0.412,2,-9.305,1,0.36,0.443,0.0000743,0.219,0.304,135.959,4
7ycWLEP1GsNjVvcjawXz3z,"Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky,Skepta",2018-05-25,205040,82,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"rap,grime","A$AP Worldwide/Polo Grounds Music/RCA Records",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
3tK9aXMLi2QSMvxAS7rpv5,"Illuminate (feat. Kendrick Lamar)","Control System","Ab-Soul,Kendrick Lamar",2012-05-11,306730,54,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","TopDawg Ent.",0.719,0.855,3,-5.977,0,0.39,0.384,0,0.0696,0.504,132.83,4
10s2eN17PASGcpyuBgdr0G,"Garbage","The Music of Grand Theft Auto V, Vol. 1: Original Music","Tyler, The Creator",2013-09-24,208586,54,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"","Rockstar Games",0.747,0.726,1,-11.24,1,0.313,0.223,0.000119,0.144,0.87,160.067,4
4rtGVPcwnNU7R8zXr2rHip,"What You Wanna Do","The Best of Gonzoe","Gonzoe,Kausion,Ice Cube",2007-10-01,218213,3,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"g-funk,west coast hip hop,gangster rap","Blocwize Entertainment / Rapbay / Urbanlife Distribution",0.625,0.872,1,-5.342,0,0.274,0.143,0,0.846,0.446,91.409,4
6Iuh3vNjpWhSeHM3RZgzQL,"Bam","4:44","JAY-Z,Damian Marley",2017-07-07,234973,53,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,east coast hip hop,rap,reggae,ragga,roots reggae,dancehall","Roc Nation / Jay-Z",0.639,0.788,6,-2.879,1,0.35,0.455,0,0.058,0.847,155.913,4
3pjOs5VyPNFD6L3ZE11HiA,"Need It (feat. Masego)","BUBBA","KAYTRANADA,Masego",2019-12-13,137706,35,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"","KAYTRANADA/RCA Records",0.74,0.78,1,-7.624,0,0.209,0.171,0,0.0794,0.605,114.98,4
0b9oOr2ZgvyQu88wzixux9,"This Is America","This Is America","Childish Gambino",2018-05-06,225773,68,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"","Wolf+Rothstein/RCA Records",0.854,0.463,5,-6.159,1,0.137,0.117,0,0.354,0.549,120.024,4
2sXaZphe2LlqAyZVKvHbU1,"Bang Bang","2001","Dr. Dre,Hittman,Knoc-Turn'al",1999-11-16,222320,62,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.865,0.884,5,-2.435,0,0.138,0.121,0.00000231,0.102,0.788,95.323,4
4LwU4Vp6od3Sb08CsP99GC,"The Next Episode","2001","Dr. Dre,Snoop Dogg",1999-11-16,161506,79,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,4
792HwhrdO3ErRKL5yRe4Ge,"Invincible","Meet The Woo 2","Pop Smoke",2020-02-07,127546,72,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"brooklyn drill,drill,new york drill","Victor Victor Worldwide",0.548,0.732,11,-5.652,0,0.336,0.125,0,0.269,0.612,142.791,4
5J2tlvAO38Sf9iZlvtqIIy,"Check Yo Self - Remix","Greatest Hits","Ice Cube,Das EFX",2001-12-04,255533,41,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"gangster rap,west coast hip hop,g-funk,east coast hip hop,hardcore hip hop,boom bap,hip hop","Priority Records",0.928,0.802,1,-5.705,1,0.255,0.0323,0.00000142,0.111,0.769,101.343,4
2GrOq1y5gksYrqkc8Jzl9T,"It Was A Good Day","Greatest Hits","Ice Cube",2001-12-04,260079,70,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"gangster rap,west coast hip hop,g-funk","Priority Records",0.797,0.779,7,-4.719,0,0.141,0.319,0.000142,0.266,0.82,82.37,4
6KIKRz9eSTXdNsGUnomdtW,"Straight Outta Compton","Straight Outta Compton","N.W.A.",1988-08-08,258687,70,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"gangster rap,west coast hip hop,hip hop,rap,g-funk","Priority Records",0.834,0.878,8,-9.484,1,0.15,0.0461,0,0.334,0.418,102.848,4
5n8Aro6j1bEGIy7Tpo7FV7,"Fuck Tha Police","Straight Outta Compton","N.W.A.",1988-08-08,345717,70,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"gangster rap,west coast hip hop,hip hop,rap,g-funk","Priority Records",0.859,0.75,8,-8.325,0,0.303,0.0193,0,0.0538,0.857,98.691,4
1n4jwRVXdkK2U34nBDUKKT,"BLOOD.","DAMN.","Kendrick Lamar",2017-04-14,118066,65,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","Aftermath",0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907,4
3KJqlKmYp1YdhzYjq46KFB,"YAH.","DAMN.","Kendrick Lamar",2017-04-13,160293,33,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","Aftermath",0.679,0.697,1,-7.892,1,0.197,0.604,0.00000741,0.251,0.595,69.998,4
1EaKU4dMbesXXd3BrLCtYG,"ELEMENT.","DAMN.","Kendrick Lamar",2017-04-14,208733,71,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","Aftermath",0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891,4
2LTlO3NuNVN70lp2ZbVswF,"FEEL.","DAMN.","Kendrick Lamar",2017-04-14,214826,69,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","Aftermath",0.746,0.798,0,-8.382,1,0.349,0.137,0,0.139,0.553,109.968,4
4RIl218uURN8ba6Xd6Te4n,"LOYALTY. FEAT. RIHANNA.","DAMN.","Kendrick Lamar,Rihanna",2017-04-13,227360,46,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:31Z,"hip hop,west coast hip hop","Aftermath",0.679,0.54,9,-8.965,0,0.057,0.0257,0,0.174,0.392,110.694,4
