Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6uAt2PE7YB5gHeCAFeD7G6,"Just As Long As We're Together","Just As Long As We're Together","Jalen Ngonda",2025-03-13,194992,52,,2025-03-14T04:00:08Z,"retro soul","DAPTONE RECORDS",0.567,0.793,0,-5.575,0,0.0562,0.277,0.0000323,0.101,0.802,170.892,4
0bkjYsOt7EDEjW1SdUsVx6,"My 45 (with Jean Carter)","My 45 (with Jean Carter)","Cuco,Jean Carter",2025-03-14,178841,54,,2025-03-14T04:00:08Z,"bedroom pop","Walk The Trail, Inc, under exclusive license to Interscope Records",0.49,0.781,3,-4.017,0,0.0523,0.0605,0,0.283,0.765,162.78,4
0uFCJosTOS3pPDImbWhdpT,"Momma Earth","Momma Earth","Carly Pearl",2025-03-14,172224,28,,2025-03-14T04:00:08Z,"","Pearls of Wisdom",0.807,0.717,5,-5.499,1,0.0325,0.134,0.000254,0.326,0.964,101.984,4
4h5kyy98D0d5GADmNs5bRD,"Cruel, Cruel World","Cruel, Cruel World","Felix Ames",2025-02-28,154940,46,,2025-02-28T05:00:40Z,"retro soul","Felix Ames, LLC/TheIntroExperience, LLC",0.523,0.386,2,-8.91,1,0.0855,0.563,0,0.156,0.318,139.161,3
7maKDsx5c9pGH82gqTwiOf,"Waiting","Waiting","The Altons",2024-10-23,186840,44,,2025-02-14T05:00:14Z,"retro soul","Daptone Records",0.682,0.516,8,-7.996,0,0.0257,0.344,0.000339,0.0894,0.744,96.557,4
7o5bO798ISksP3UGx7y9Y2,"Somnolent Love","Fool For You","James Tutson",2025-02-01,257539,32,,2025-02-07T05:00:22Z,"retro soul","James Tutson",0.657,0.608,4,-6.825,0,0.0381,0.0411,0,0.0836,0.544,91.966,4
23hHanysFzjF0HiX9B0lnf,"Don't Like You Anymore","Don't Like You Anymore","Tanika Charles",2025-02-05,185302,22,,2025-02-07T05:00:22Z,"retro soul","Unique Applause",0.684,0.533,6,-7.265,1,0.0465,0.363,0.0941,0.155,0.802,79.524,4
2dgSbz6osX3pCZtNmPGCzB,"Paris","Paris","Wolfgang Valbrun",2025-01-17,176054,36,,2025-01-17T05:00:26Z,"retro soul,liquid funk","Jalapeno Records",0.414,0.843,5,-3.027,0,0.0447,0.103,0.0029,0.188,0.894,161.216,4
3naURs2ms3MFYcE61bBrSC,"Can you feel it?","Can you feel it?","Cherrykim",2025-03-07,209250,36,,2025-03-07T05:00:22Z,"retro soul","Takes A Village Music",0.635,0.676,7,-6.81,1,0.0575,0.225,0.0299,0.118,0.435,170.014,4
26PuNsYkMzveo40E5eNOFJ,"Carry My Name - Magic Bus Sessions","Magic Bus Sessions","Marc Broussard",2025-02-07,223826,38,,2025-02-07T05:00:22Z,"blues","G-Man Touring Inc",0.734,0.471,1,-8.031,1,0.0302,0.263,0.000319,0.112,0.514,101.014,3
17Fg2PKD5iipVst2gm5fJ3,"IDGAF (but I care)","IDGAF (but I care)","Sladek",2024-03-21,185570,32,,2025-01-31T05:00:21Z,"retro soul","SLDK Records",0.749,0.83,6,-6.197,0,0.0336,0.0335,0.00196,0.106,0.9,137.931,4
0h55M2WSxj9nKOKnSdRT89,"Slick McGhee","Slick McGhee","Aaron Childs",2025-02-04,205724,47,,2025-02-07T05:00:22Z,"","Aaron Childs",0.363,0.493,1,-10.933,0,0.0318,0.416,0.292,0.257,0.221,83.395,4
5jDsmAYHMfGjIJ6Ytjqjys,"The Greatest","Walk With the Father","Charlie Bereal,Snoop Dogg",2025-01-24,200300,34,,2025-01-24T05:00:28Z,"retro soul,g-funk,west coast hip hop,gangster rap,hip hop,rap","Death Row Records/gamma.",0.354,0.641,1,-5.204,0,0.0371,0.386,0.328,0.197,0.235,119.56,3
6ZCkbEZDKYuq5noeJ3cVBe,"Heal Me Good","Heal Me Good","Yufu",2025-01-24,247400,39,,2025-01-03T05:00:20Z,"retro soul,taiwanese indie","Zip Records",0.459,0.794,0,-6.741,0,0.0464,0.427,0.0000841,0.205,0.73,91.985,4
1AMvRbr8thMA47fC6iNJa2,"Got You Right","Got You Right","GoldFord",2025-02-04,205025,63,,2025-02-07T05:00:22Z,"","GoldFord Music",0.881,0.652,11,-4.568,1,0.0326,0.439,0.00304,0.105,0.921,115.987,4
0ip8o1lEyLkuG6M4HieVpq,"I Can't Get You Out Of My Mind","I Can't Get You Out Of My Mind","Luke Marzec",2025-01-22,244429,36,,2025-01-24T05:00:28Z,"","Swift Half Records",0.738,0.619,9,-6.754,1,0.09,0.0675,0.000174,0.0845,0.324,90.94,4
3ULdoOEdHUrfoi7D1B4IC5,"My Heart is Drowning","My Heart is Drowning","Thee Sacred Souls",2024-10-01,163813,42,,2024-10-04T04:00:00Z,"retro soul","Daptone Records",0.627,0.595,5,-6.67,0,0.0256,0.503,0.00000306,0.166,0.859,108.85,4
58CA5g0ZdqNs8muUjJOOBt,"I Got You","I Got You","Dojo Cuts",2024-11-08,192000,57,,2024-11-08T05:00:00Z,"retro soul","DCR",0.963,0.757,4,-7.882,1,0.0383,0.306,0.0103,0.0962,0.963,110.007,4
603Rg2nBs2opRZqiueHQnn,"Count Me Out","A Lover Was Born","Kelly Finnigan",2024-10-18,226400,38,,2024-10-18T04:00:00Z,"retro soul,neo soul","Colemine Records",0.578,0.549,0,-7.14,0,0.0393,0.466,0.000741,0.154,0.565,76.422,4
4OQMZBaOgEvAcXI8NMWEz7,"We Got This - 7'' Version","We Got This","Beatchild",2025-01-03,177187,37,,2025-01-03T05:00:20Z,"neo soul","Soul Movement Recordings",0.656,0.941,6,-4.071,1,0.0565,0.329,0.905,0.202,0.795,79.806,4
7Dtm1JGVXnXksAhyx3bPhV,"Love Moves Slow","Love Moves Slow","Eddie 9V",2024-10-25,209426,32,,2024-10-25T04:00:00Z,"retro soul,modern blues,blues","Ruf Records",0.842,0.457,2,-9.886,1,0.0639,0.343,0.0109,0.113,0.534,95.102,4
