Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4OnuNLwvIgroDdTXX2k5dF,"Aether","Aether","Virtual Mage",2020-08-21,206000,47,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"synthwave,vaporwave,chillwave,city pop","Virtual Mage",0.699,0.491,9,-10.454,1,0.0348,0.0000449,0.811,0.119,0.693,123.968,4
7Ev52ukrs7XGyY6q6U3JUJ,"Memory Reboot - Slowed","Memory Reboot","VØJ,Narvent",2023-09-01,236307,60,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"phonk,drift phonk,synthwave","VØJ",0.534,0.871,6,-6.413,1,0.0316,0.000178,0.00276,0.147,0.322,144.182,4
3tjwjBfPO1pyjhnrI0J5Nq,"Head First","Falling into Place","Home",2016-02-26,213132,50,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"vaporwave,synthwave,chillwave","606983 Records DK2",0.681,0.743,5,-9.897,0,0.0412,0.000348,0.809,0.0958,0.426,133.997,4
3YDXGi7zxc5FWxK1mmcqXn,"Astral Chill","Astral Chill","Virtual Mage",2020-11-27,182400,44,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"synthwave,vaporwave,chillwave,city pop","Virtual Mage",0.615,0.573,4,-12.881,1,0.0246,0.0471,0.951,0.273,0.108,100.005,4
3Bj2mrlp3tALHO5U3mK8zM,"Blade Runner 2049","Blade Runner 2049","Synthwave Goose",2018-05-25,228019,50,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"synthwave,vaporwave","Synthwave Goose",0.573,0.458,0,-16.739,0,0.0369,0.896,0.902,0.125,0.0364,116.029,4
65r94rVdiMwqXyQFEr3tqT,"Resonance","Odyssey","Home",2014-07-01,212881,8,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"vaporwave,synthwave,chillwave","Home",0.566,0.74,8,-8.614,1,0.063,0.0352,0.849,0.221,0.419,170.098,5
1d35hQpCvOAXVaR3qa6Lqb,"Passenger","Space Station","A.L.I.S.O.N",2018-09-10,259462,4,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"synthwave,chillwave,vaporwave","A.L.I.S.O.N",0.535,0.811,8,-8.315,0,0.0514,0.0266,0.0515,0.183,0.361,85.013,4
1qTIQDGdJ566xmh0KE3d5y,"Our Fade","Our Fade","Bounty Hunter from Outer Space",2024-05-03,157000,33,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"synthwave,vaporwave","Bounty Hunter from Outer Space",0.578,0.522,2,-10.792,0,0.033,0.254,0.877,0.0902,0.0405,140.018,4
0qqRNnwh86N1XBV94GVgQN,"SimpsonWave1995","FrankJavCee Collection, Vol. 1, Pt. II","FrankJavCee",2016-06-05,142602,65,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"vaporwave,synthwave","FrankJavCee",0.661,0.375,3,-10.134,0,0.0432,0.0566,0.555,0.105,0.645,169.951,3
6XeZna9NRNjUZDVHg3zB7v,"Sun","Sun","憂鬱",2017-08-09,323381,47,ar4e0yqkqlci359jrc4yp0g5a,2025-02-10T06:25:13Z,"vaporwave,synthwave,chillwave","憂鬱",0.584,0.571,1,-10.467,1,0.042,0.607,0.914,0.085,0.0393,189.984,4
