Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4HnITxj6C10qAdH7pwQHsb,"fn pig (ov) - Spencer Brown Remix","here's the drop!","deadmau5,Spencer Brown",2019-10-04,574361,24,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"edm,progressive house,dubstep,progressive trance,trance,melodic house","mau5trap Recordings Limited",0.523,0.615,9,-8.556,1,0.0418,0.000438,0.837,0.24,0.0343,128.007,4
2c3I3ew3iJ4xgiMQ7fA8Qf,"Techno","Techno","Destructo",2015-09-21,225306,36,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"g-house,bass house","Techno Records",0.81,0.825,7,-5.712,0,0.0671,0.0195,0.158,0.0639,0.616,111.957,4
3V7NTqNCUMeiILhmMFhfnv,"EON BREAK","Virtual Self","Virtual Self",2017-12-02,220097,36,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"","Virtual Self / mTheory",0.318,0.888,9,-6.225,0,0.0542,0.0000663,0.00169,0.0821,0.126,178.001,4
3xoTRrERufyEP6QmfIYDau,"ANGEL VOICES","ANGEL VOICES","Virtual Self",2018-07-23,392259,41,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"","Virtual Self / mTheory",0.531,0.897,11,-5.328,0,0.246,0.00476,0.107,0.459,0.191,165.995,4
7Hr83uBqKB5Z5wFgATfqRU,"Lotus","winter=reality","Shadient",2017-04-07,171802,1,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"","Mad Zoo",0.826,0.794,4,-1.997,1,0.321,0.00803,0.884,0.138,0.447,94.973,4
4HxZn9Lq93tLeddgJxipGW,"Belter","On The Block","Moksi,Ricky West,Dusty",2019-03-15,208581,14,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"bass house,future house,g-house","Mad Decent",0.852,0.949,7,-1.327,0,0.159,0.00905,0.00449,0.07,0.879,135.024,4
3lvYern0XwXErOq5G6vLIT,"Tekno","On The Block","Moksi",2019-03-15,192424,10,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"bass house,future house,g-house","Mad Decent",0.846,0.982,8,-2.755,0,0.0797,0.105,0.858,0.105,0.884,130.014,4
3iKZesySfWxR5plVOEhZtE,"Buchla 100","Buchla 100","Boys Noize",2020-02-13,287948,11,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"electro house","Boysnoize Records",0.684,0.77,1,-9.268,1,0.0653,0.038,0.498,0.153,0.131,130.715,4
6bjHTATKGW2982YBO1gjYH,"Gravity (feat. Laura Korinth)","Space Diver","Boris Brejcha,Laura Korinth",2020-01-24,564480,40,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"minimal techno,techno,melodic techno,tech house,electro","Ultra Records, LLC",0.8,0.619,7,-10.447,1,0.0752,0.000153,0.727,0.108,0.12,125.003,4
7okYe3refs5u0ROkrjiQPX,"Never Look Back","Space Diver","Boris Brejcha",2020-01-24,481920,43,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:29:49Z,"minimal techno,techno,melodic techno,tech house,electro","Ultra Records, LLC",0.871,0.618,0,-8.251,1,0.044,0.000284,0.89,0.0828,0.451,124.989,4
