Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2FbD2sqUmAdjqqCBp0mn2g,"Foolish","Ashanti","Ashanti",2002-01-01,227386,1,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"r&b","Def Jam Recordings",0.665,0.696,0,-5.763,1,0.0521,0.337,0,0.106,0.711,90.116,4
2QsZVnbWVSjKMXK6K3uRBL,"U Remind Me","8701","USHER",2001-08-07,266893,71,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"r&b","Arista",0.657,0.629,6,-4.938,1,0.0782,0.194,0,0.254,0.726,93.985,4
3ibKnFDaa3GhpPGlOUj7ff,"Let Me Love You","Let Me Love You","Mario",2004-09-21,256733,74,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"r&b","J Records",0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,4
3WdYF0MLo2W9flzksSNS6o,"Tambourine","Tambourine","Eve",2007-01-01,192440,0,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"","Universal Music",0.82,0.854,1,-4.153,1,0.22,0.239,0,0.359,0.574,102.623,4
0zaWQBwkfh9OmK77CiDmRI,"Always On Time","Pain Is Love (International Version)","Ja Rule,Ashanti",2001-10-29,245093,1,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"east coast hip hop,r&b","Def Jam Recordings",0.838,0.705,5,-6.131,0,0.29,0.195,0,0.336,0.837,96.643,4
7k6IzwMGpxnRghE7YosnXT,"Me & U","Cassie (U.S. Version)","Cassie",2006-08-07,192213,77,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"","Bad Boy Records",0.803,0.454,8,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,4
0mI5eE0IuermT57lb0Szas,"Rock Wit U (Awww Baby)","Chapter II","Ashanti",2003-01-01,209120,0,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"r&b","Def Jam Recordings",0.71,0.797,4,-3.005,0,0.0718,0.409,0,0.155,0.845,94.994,4
6qspW4YKycviDFjHBOaqUY,"Waterfalls","Crazysexycool","TLC",1994-11-15,279506,75,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"","Arista/LaFace Records",0.769,0.505,1,-7.345,1,0.0829,0.311,0.0000749,0.0777,0.757,171.804,4
5rb9QrpfcKFHM1EUbSIurX,"Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","USHER,Lil Jon,Ludacris",2004-03-23,250373,85,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"r&b,crunk,southern hip hop","LaFace Records",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
3DLZnkbfVGxvdplqddi8WN,"No Letting Go (remix) - Remix","Reggae Gold 2003","Wayne Wonder, LL Cool J [Feat. Dutchess]",2003-06-17,196626,0,0hzl2lhqimijoy7ry8t3brf74,2019-11-19T17:02:26Z,"","VP Records",0.751,0.832,1,-6.928,1,0.0771,0.0231,0.000976,0.0688,0.843,100.2,4
