Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4lt0Ay3gio1ADzj2gL7W5J,"Make Believe","Make Believe","Mother Mother",2025-03-14,179759,58,,2025-03-14T04:00:14Z,"","WM Canada",0.648,0.905,7,-4.319,1,0.0512,0.156,0.00000723,0.339,0.872,173.956,4
0Sd7nAZakCLRPxAqfiFd9m,"Keep Sweet","Tsunami Sea","Spiritbox",2025-03-07,243522,67,,2025-03-14T04:00:14Z,"metalcore,djent,metal","Rise Records",0.358,0.953,9,-3.502,0,0.123,0.0000373,0.00749,0.21,0.251,150.047,4
5yt7aRlPMFdsLulfqBYDsc,"Satanized","Satanized","Ghost",2025-03-05,236800,75,,2025-03-14T04:00:14Z,"metal,hard rock","Loma Vista Recordings",0.422,0.934,2,-5.092,1,0.0457,0.000221,0.0199,0.346,0.531,172.522,3
4sGdjZMSTeHHRzh4Do1N2X,"BLOW","BLOW","Fionn",2025-02-28,170867,33,,2025-03-14T04:00:14Z,"","604 Records",0.62,0.815,9,-5.928,1,0.207,0.00227,0.000257,0.104,0.768,114.965,4
3y6DzVmGrnOEftEgBKb3fq,"Little Bit Closer","People Watching","Sam Fender",2025-02-21,234560,70,,2025-03-14T04:00:14Z,"","Polydor Records",0.34,0.877,7,-5.27,1,0.0405,0.000532,0.00000215,0.374,0.497,161.816,4
1CLDmYcnUY26vloEbaWJyI,"Death of Me","Death of Me","Amira Elfeky",2025-02-07,191614,56,,2025-03-14T04:00:14Z,"shoegaze","Anemoia/Atlantic",0.497,0.729,10,-2.892,1,0.0382,0.0233,0,0.0552,0.306,95.977,4
7kcxPSFHehZcr6Qjpwr2pV,"Seth Cohen","Seth Cohen","Beach Weather",2024-12-13,130043,55,,2025-03-14T04:00:14Z,"","8123 / Arista Records",0.798,0.69,10,-4.254,0,0.0553,0.0188,0.0000181,0.0203,0.959,120.015,4
68o1mDkJzpvTshz9xrfduC,"WONDERWaLL - Spotify Singles","Spotify Singles","Bring Me The Horizon",2025-01-29,240151,72,,2025-03-14T04:00:14Z,"metalcore,emo,screamo,rock,post-hardcore,metal","RCA Records Label",0.338,0.943,9,-3.183,0,0.205,0.0001,0,0.134,0.333,185.957,4
2CHdkhVS2Nh0fIEdzpokC7,"Uno II","Uno II","Viagra Boys",2025-02-27,135831,62,,2025-03-14T04:00:14Z,"post-punk","Shrimptech Enterprises",0.755,0.752,11,-6.432,0,0.0387,0.0166,0.0563,0.566,0.875,136.962,4
4eZINsb80RXdubeco4ErnS,"PSILOCYBIN & DAISIES","PSILOCYBIN & DAISIES","Jessie Reyez",2025-03-07,137141,59,,2025-03-14T04:00:14Z,"","Jessie Reyez Profit Split",0.544,0.826,4,-4.469,1,0.0732,0.0938,0.0163,0.196,0.609,139.986,4
76ZGBWNXxCOYu4zw99KzzX,"HEAT DEATH","FAKE MOON","cleopatrick",2025-03-14,206000,31,,2025-03-14T04:00:14Z,"","Nowhere Special Recordings Canada",0.559,0.493,4,-8.031,0,0.0241,0.419,0.000205,0.115,0.264,80.013,4
2m3SuMEdjlOWVN05steEXf,"It's Amazing To Be Young","It's Amazing To Be Young","Fontaines D.C.",2025-02-21,210803,71,,2025-03-14T04:00:14Z,"post-punk","XL Recordings",0.459,0.849,6,-5.135,0,0.048,0.0593,0.00199,0.53,0.395,143.046,4
57YAiU79py7qXu05oW0cNI,"I Love America And She Hates Me","Oh! The Ocean","The Wombats",2025-02-14,219173,55,,2025-03-14T04:00:14Z,"indie","The Wombats",0.534,0.676,7,-6.905,0,0.0318,0.0261,0,0.0626,0.172,100.983,4
2XOJYm2ts2hSu1c7ynMftr,"Come Apart","Come Apart","The Blue Stones",2025-01-15,182546,50,,2025-03-14T04:00:14Z,"blues rock","New Weapon Records",0.515,0.89,10,-3.31,0,0.0548,0.00573,0.00000325,0.556,0.433,92.934,4
3DNgrWGDoVefYTLdzUnLWX,"Soprano","Soprano","Nova Twins",2025-03-10,133853,47,,2025-03-14T04:00:14Z,"","Marshall Records",0.692,0.938,7,-7.064,1,0.0849,0.0415,0,0.0937,0.471,99.993,4
