Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5uCo2wbScW9f1BnknpYYCi,"Aces High - 1998 Remastered Version","Powerslave (1998 Remastered Version)","Iron Maiden",1984-09-03,269173,0,brandonamico2556,2017-08-28T16:09:42Z,"heavy metal,metal,hard rock,rock","Sanctuary Records",0.301,0.968,2,-5.126,1,0.0606,0.000944,0.0107,0.186,0.58,134.22,4
2DlHlPMa4M17kufBvI2lEN,"Chop Suey!","Toxicity","System Of A Down",2001-09-04,210240,84,brandonamico2556,2017-08-28T16:10:18Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,4
0snQkGI5qnAmohLE7jTsTn,"Toxicity","Toxicity","System Of A Down",2001-09-04,218933,84,brandonamico2556,2017-08-28T16:10:26Z,"nu metal,metal,alternative metal,rap metal,rock","American/Columbia",0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,3
7i6r9KotUPQg3ozKKgEPIN,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,231733,6,brandonamico2556,2017-08-28T16:10:33Z,"garage rock,blues rock,rock,alternative rock","Third Man Records",0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881,4
3a9urnht8HvfFzPwd0ipx6,"Holy Diver","As Daylight Dies (Special Edition)","Killswitch Engage",2007-02-06,250253,66,brandonamico2556,2017-08-28T16:10:49Z,"metalcore,metal","Roadrunner Records",0.369,0.995,0,-2.584,0,0.12,0.000076,0.00589,0.241,0.27,185.985,4
1sBfyE1iF7RP3LTc0zUTdp,"Black Hole Sun","Telephantasm","Soundgarden",2010-09-28,317693,0,brandonamico2556,2017-08-28T16:11:45Z,"grunge,post-grunge,hard rock","Universal Music Group",0.345,0.764,6,-6.924,1,0.0366,0.0000987,0.0000168,0.181,0.154,105.71,4
59WN2psjkt1tyaxjspN8fp,"Killing In The Name","Rage Against The Machine - XX (20th Anniversary Special Edition)","Rage Against The Machine",1992,313573,81,brandonamico2556,2017-08-28T16:11:54Z,"rap metal,rap rock,alternative metal,nu metal","Epic/Legacy",0.466,0.833,7,-4.215,1,0.304,0.0266,0,0.0327,0.661,88.785,4
305WCRhhS10XUcH6AEwZk6,"Are You Gonna Be My Girl","Get Born","Jet",2003,213800,33,brandonamico2556,2017-08-28T16:12:01Z,"","BMG Rights Management (US) LLC",0.606,0.957,2,-3.404,1,0.0814,0.00117,0.000295,0.14,0.603,105.105,4
1vcxF91pWs9uNwDROuiCPB,"Savior","Appeal To Reason","Rise Against",2008-01-01,242280,78,brandonamico2556,2017-08-28T16:12:11Z,"punk,hardcore punk","Geffen",0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000139,0.425,0.478,112.488,4
3bbUkaQYGQHkx1TJi7gPSL,"Kryptonite","The Better Life - Deluxe Edition","3 Doors Down",2007-01-01,233826,1,brandonamico2556,2017-08-28T16:12:21Z,"post-grunge","Universal Music Group",0.547,0.87,11,-5.098,0,0.0286,0.00494,0.0000348,0.161,0.514,99.014,4
6PVMOFV7IjuP7LxulzSA43,"Self Esteem","Smash","The Offspring",1994-04-08,257826,0,brandonamico2556,2017-08-28T16:12:28Z,"punk,skate punk","Epitaph",0.488,0.862,0,-7.595,1,0.0476,0.0204,0,0.359,0.706,104.56,4
3d9DChrdc6BOeFsbrZ3Is0,"Under the Bridge","Blood Sugar Sex Magik (Deluxe Edition)","Red Hot Chili Peppers",1991-09-24,264306,82,brandonamico2556,2017-08-28T16:12:32Z,"funk rock,alternative rock,rock","Warner Records",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,4
