Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
305WCRhhS10XUcH6AEwZk6,"Are You Gonna Be My Girl","Get Born","Jet",2003,213800,33,johnsonbrady729,2020-03-20T01:24:00Z,"","BMG Rights Management (US) LLC",0.606,0.957,2,-3.404,1,0.0814,0.00117,0.000295,0.14,0.603,105.105,4
3Pu3IChaAoa5EjgUBv5F6x,"Ballroom Blitz","Desolation Boulevard","Sweet",1974-11,246573,60,johnsonbrady729,2020-03-20T01:24:05Z,"glam rock","Capitol Records",0.644,0.799,4,-10.856,0,0.0598,0.0821,0.00154,0.055,0.889,108.381,4
67ZyR9O1xkr9p91Vmews3V,"Black Hole Sun","Superunknown","Soundgarden",1994-03-09,318040,0,johnsonbrady729,2020-03-20T01:24:14Z,"grunge,post-grunge,hard rock","A&M Records",0.356,0.717,6,-8.489,1,0.0367,0.000336,0.00012,0.0727,0.193,105.78,4
2V4Bc2I962j7acQj1N0PiQ,"Celebrity Skin","Celebrity Skin","Hole",1998-01-01,162666,69,johnsonbrady729,2020-03-20T01:24:20Z,"grunge","DGC",0.438,0.905,9,-6.161,1,0.0419,0.00000944,0.000054,0.363,0.723,134.163,4
3ow0TQVttXQF8rLckmXgRx,"Cherub Rock - 2011 Remaster","Siamese Dream (Deluxe Edition)","The Smashing Pumpkins",1993,298253,65,johnsonbrady729,2020-03-20T01:24:29Z,"alternative rock,rock","Virgin Records",0.382,0.867,9,-7.426,1,0.0399,0.00000591,0.581,0.196,0.453,87.309,4
6b2oQwSGFkzsMtQruIWm2p,"Creep","Pablo Honey","Radiohead",1993-02-22,238640,12,johnsonbrady729,2020-03-20T01:24:39Z,"art rock,alternative rock","XL Recordings",0.515,0.43,7,-9.935,1,0.0369,0.0102,0.000141,0.129,0.104,91.841,4
3VA4sjTMSTTF02hFGmlpJh,"crushcrushcrush","Riot!","Paramore",2007-06-11,189373,67,johnsonbrady729,2020-03-21T02:56:13Z,"pop punk,emo,emo pop","Fueled By Ramen",0.631,0.793,1,-4.086,0,0.0468,0.000218,0.0000565,0.0976,0.648,136.96,4
1OFfN6ZiJdDAnSycMIpLwt,"Dani California","Stadium Arcadium","Red Hot Chili Peppers",2006-05-09,282160,0,johnsonbrady729,2020-03-20T01:24:44Z,"funk rock,alternative rock,rock","Warner Bros.",0.556,0.913,0,-2.36,1,0.0437,0.0193,0.00000859,0.346,0.73,96.184,4
7naGWci9bflvfdzxphFjAw,"Dead on Arrival","Take This to Your Grave","Fall Out Boy",2003-05-06,194493,57,johnsonbrady729,2020-03-20T01:25:03Z,"emo,pop punk,emo pop","Fueled By Ramen/ADA/ATL",0.543,0.968,0,-4.028,1,0.0702,0.0002,0,0.539,0.494,100.982,4
2jz6rWGqVCYsymwxGoaON4,"Detroit Rock City","Double Platinum","KISS",1978-01-01,215933,1,johnsonbrady729,2020-03-20T01:26:27Z,"glam metal,glam rock,hard rock,rock,classic rock","Casablanca Records",0.546,0.9,5,-6.728,1,0.0691,0.0421,0.0000457,0.292,0.447,90.591,4
5lDriBxJd22IhOH9zTcFrV,"Dirty Little Secret","Move Along","The All-American Rejects",2005-01-01,193653,71,johnsonbrady729,2020-03-21T02:56:01Z,"pop punk,emo,emo pop","Interscope",0.465,0.954,10,-4.251,1,0.044,0.000346,0.00000538,0.573,0.458,143.85,4
