Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7hzm68uGbxcvQY9FAtpk2s,"battlecry","samurai champloo music record departure","Nujabes,Shing02",2004-06-23,202066,56,,2025-01-24T16:34:40Z,"jazz rap,j-rap","Victor",0.712,0.77,0,-10.171,1,0.138,0.699,0.00000212,0.0994,0.781,97.998,4
2wf75LSz6tf7gNgdTd0XCG,"Shiki no Uta (Single)","imagine [Deluxe Edition] (2024 Remaster)","MINMI",2024-07-03,302000,47,,2025-01-24T16:34:40Z,"j-r&b,anime,j-pop","Victor",0.519,0.706,10,-7.373,0,0.0436,0.0892,0.0123,0.111,0.679,92.555,4
58yuFWA2sd63pW9i4Jy7fC,"Who's Theme","imagine","MINMI",2004-06-30,297327,48,,2025-01-24T16:34:40Z,"j-r&b,anime,j-pop","Victor",0.611,0.491,11,-6.1,0,0.025,0.196,0.0103,0.114,0.375,169.745,4
3xKgi3j8TYqmPNmiThmJio,"YOU feat. kazami","samurai champloo music record masta","TSUTCHIE,kazami",2004-06-23,297900,36,,2025-01-24T16:34:40Z,"","Victor",0.558,0.492,8,-7.713,1,0.0305,0.474,0,0.136,0.217,79.977,4
1SatzszyEoO7doHAVbU233,"FLY feat. AZUMA RIKI","samurai champloo music record playlist","TSUTCHIE,AZUMA RIKI",2004-09-22,233933,35,,2025-01-24T16:34:40Z,"","Victor",0.75,0.483,1,-15.344,1,0.0583,0.0173,0.084,0.0361,0.443,104.031,4
0nsn0xuYHUTbq47O7SBV5v,"san francisco","#501","MIDICRONICA",2005-04-27,206733,44,,2025-01-24T16:34:40Z,"j-rap","Crown Cracker",0.777,0.723,6,-5.953,0,0.212,0.284,0.00000384,0.0936,0.91,93.044,4
4sUTagdmyuyAxd7RvbygpQ,"aruarian dance","samurai champloo music record departure","Nujabes",2004-06-23,250433,66,,2025-01-24T16:34:40Z,"jazz rap","Victor",0.585,0.652,6,-8.357,1,0.0358,0.78,0.907,0.0653,0.877,198.448,4
7364OQv98axZ8zNQcnGG0t,"sneak chamber","samurai champloo music record masta","Force Of Nature",2004-06-23,195233,37,,2025-01-24T16:34:40Z,"","Victor",0.755,0.957,10,-3.421,0,0.0631,0.00442,0.874,0.0797,0.37,130.036,4
29iWSJ7aXqPuljJ5bARZHR,"transcendence","samurai champloo music record departure","Nujabes",2004-06-23,421500,45,,2025-01-24T16:34:40Z,"jazz rap","Victor",0.802,0.896,1,-6.143,1,0.047,0.781,0.926,0.0814,0.974,122.797,4
724f7PkNVI8jLsBBx7aA6v,"nightshift","samurai champloo music record impression","Force Of Nature",2004-09-22,284700,37,,2025-01-24T16:34:40Z,"","Victor",0.805,0.958,10,-4.901,0,0.0406,0.05,0.831,0.23,0.863,127.213,4
