Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
35iLpqqQg4KrfYAzbvN1vH,"New Noise","The Shape Of Punk To Come (Deluxe Edition)","Refused",1998,310200,55,,2022-07-26T16:46:12Z,"post-hardcore,hardcore punk,punk,hardcore,skate punk","Burning Heart Records/Epitaph",0.686,0.667,9,-10.263,1,0.0587,0.00752,0.00664,0.405,0.332,105.917,4
429IbFR4yp2J81CeTwF5iY,"Sweetness","Bleed American","Jimmy Eat World",2001-07-17,220026,68,,2022-07-26T16:46:12Z,"emo,pop punk,emo pop","Interscope",0.487,0.898,5,-4.436,1,0.038,0.00305,0,0.26,0.597,135.331,4
5YUJMvTg4AWHKjqQidTsGK,"Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version","Love Bites","Buzzcocks",1978,163693,60,,2022-07-26T16:46:12Z,"punk,proto-punk,madchester,power pop,post-punk,new wave","Domino Recording Co",0.266,0.831,4,-9.07,1,0.0453,0.000862,0,0.0555,0.778,175.514,4
2DBlfjL5chsdeULzhTp5K8,"Waiting Room","13 Songs","Fugazi",1989-09-01,173266,60,,2022-07-26T16:46:12Z,"post-hardcore,punk,noise rock,hardcore punk","Dischord Records",0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,92.174,4
3KLkRy9l3us98SIp6mmxkk,"No Cigar","Pennybridge Pioneers","Millencolin",2000-02-22,163226,61,,2022-07-26T16:46:12Z,"skate punk,punk,ska punk,melodic hardcore,pop punk,ska,hardcore punk","Burning Heart Records/Epitaph",0.383,0.986,9,-2.796,1,0.0617,0.000287,0,0.179,0.578,157.871,4
0q6Qyd2QaHMHp7APKyQsyi,"Not the Same","How It Works","Bodyjar",2000-08-21,188960,51,,2022-07-26T16:46:12Z,"skate punk,punk,melodic hardcore,ska punk","Mod Cons",0.468,0.974,9,-5,1,0.136,0.000122,0.000169,0.162,0.324,111.264,4
6OyKBwLzq4h15XmxeWf5n4,"Cute Without The 'E' (Cut From The Team) - Remastered 2019","Tell All Your Friends (Remastered)","Taking Back Sunday",2002-03-26,212937,66,,2022-07-26T16:46:12Z,"emo,pop punk,emo pop,screamo","Craft Recordings",0.398,0.89,1,-2.248,0,0.0473,0.0252,0,0.0472,0.572,95.095,4
6cL7NCFSvqWrBH5r4mkvVV,"Superman","The Best Of Goldfinger","Goldfinger",2005-07-16,185600,52,,2022-07-26T16:46:12Z,"ska punk,ska,skate punk,punk,pop punk","Jive",0.436,0.935,2,-3.946,1,0.0538,0.000129,0.000141,0.0821,0.901,194.902,4
61XspFITuKmAlYdQacNCbF,"Bleed American","Bleed American","Jimmy Eat World",2001-07-17,181493,63,,2022-07-26T16:46:12Z,"emo,pop punk,emo pop","Interscope",0.438,0.938,6,-5.611,0,0.094,0.00842,0.00000108,0.806,0.584,160.212,4
5YESYAHcr5GpjheBegwFd4,"Heavy Gloom","The Story So Far","The Story So Far",2015-05-18,169960,51,,2022-07-26T16:46:12Z,"pop punk,emo pop,midwest emo,punk","Pure Noise Records",0.521,0.96,6,-2.624,1,0.085,0.000694,0,0.242,0.36,101.954,4
7ajm14wJT1HiZOVCf4d00F,"Kitty Sucker","End of Suffering","Frank Carter & The Rattlesnakes",2019-05-03,224306,47,,2022-07-26T16:46:12Z,"","International Death Cult",0.47,0.86,6,-6.286,1,0.0434,0.021,0.000576,0.0789,0.628,155.961,4
3a3EDrWejkryzeGFkPypOR,"The Impression That I Get","Let’s Face It","The Mighty Mighty Bosstones",1997,195195,65,,2022-07-26T16:46:12Z,"ska,ska punk","Island Def Jam",0.546,0.65,4,-17.176,1,0.0535,0.0447,0.000659,0.117,0.725,90.67,4
33iv3wnGMrrDugd7GBso1z,"My Own Worst Enemy","A Place In The Sun","Lit",1999-02-22,169026,73,,2022-07-26T16:46:12Z,"pop punk","RCA Records Label",0.494,0.946,4,-2.757,1,0.0637,0.00129,0,0.398,0.741,103.408,4
3B4q6KbHbGV51HO3GznBFF,"What I Got","Sublime","Sublime",1996-07-30,170906,74,,2022-07-26T16:46:12Z,"reggae rock,ska punk,ska","Gasoline Alley",0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,4
23oxJmDc1V9uLUSmN2LIvx,"Ocean Avenue","Ocean Avenue","Yellowcard",2003-01-01,198266,72,,2022-07-26T16:46:12Z,"pop punk,emo pop,punk,emo","Capitol Records",0.486,0.904,6,-3.751,0,0.0638,0.0000343,0.0000283,0.0947,0.786,173.734,4
3tkMd2DUIbJ9cfB6FiIJKr,"Chlorine","Chemical Miracle","Trophy Eyes",2016-10-14,220000,45,,2022-07-26T16:46:12Z,"pop punk,melodic hardcore,emo,emo pop","Hopeless Records",0.423,0.925,1,-1.402,1,0.0463,0.0402,0.000028,0.304,0.423,89.985,4
2HY0xuuAqkGAlocHJ2Plu3,"Prisoner of Society","The Living End","The Living End",1999-01-15,229066,42,,2022-07-26T16:46:12Z,"psychobilly","Reprise",0.275,0.993,9,-5.474,0,0.138,0.000186,0,0.302,0.19,148.725,4
07oVZP9Er2Fz8S59ePWLyK,"Punk Rock Princess","Leaving Through The Window","Something Corporate",2002-01-01,232200,52,,2022-07-26T16:46:12Z,"pop punk,emo pop,emo","Drive Thru Records",0.522,0.882,7,-5.231,1,0.0847,0.00303,0.000151,0.0939,0.369,130.08,4
2g2a5kDeZexbUTD8abcvm6,"Lifestyles of the Rich & Famous","The Young and The Hopeless","Good Charlotte",2002-10-04,190173,67,,2022-07-26T16:46:12Z,"pop punk,punk,emo,emo pop","Epic/Daylight",0.62,0.93,1,-3.685,1,0.0374,0.00043,0,0.0686,0.609,106.22,4
0hsCfXTwB1QhJDpLmf1Q8U,"Keep This Up","Proper Dose","The Story So Far",2018-09-21,146622,50,,2022-07-26T16:46:12Z,"pop punk,emo pop,midwest emo,punk","Pure Noise Records",0.26,0.985,9,-3.704,1,0.063,0.0000836,0.000122,0.367,0.292,103.54,4
4daLV53Tvv0rD3FlWVt23m,"Beat Your Heart Out","Coral Fang (PA Version)","The Distillers",2003-10-07,169056,51,,2022-07-26T16:46:12Z,"punk,skate punk,ska punk","Sire/Warner Records",0.385,0.951,2,-4.198,1,0.0735,0.0307,0.0000136,0.113,0.797,192.322,4
25Sd73fleKUVPNqITPZkn1,"45","Handwritten","The Gaslight Anthem",2012-01-01,202493,47,,2022-07-26T16:46:12Z,"","Mercury Records",0.315,0.97,8,-4.709,1,0.102,0.000696,0,0.277,0.423,178.068,4
7AimHQrOUoUTYbVX87D3Zl,"96 Quite Bitter Beings","Camp Kill Yourself, Vol.1","CKY",1999-01-01,201920,60,,2022-07-26T16:46:12Z,"","Distant",0.458,0.779,3,-8.312,0,0.0486,0.00184,0.0000428,0.313,0.729,99.093,4
