Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5r5cp9IpziiIsR6b93vcnQ,"Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire Of The Sun",2008-10-03,198440,80,,2023-12-01T18:04:31Z,"","EMI Recorded Music Australia Pty Ltd",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
6MzofobZt2dm0Kf1hTThFz,"Diet Pepsi","Diet Pepsi","Addison Rae",2024-08-09,169697,85,,2025-03-04T23:02:36Z,"","Columbia",0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,4
3E7ZwUMJFqpsDOJzEkBrQ7,"Can't Get You out of My Head","Fever","Kylie Minogue",2001-10-01,230640,79,,2023-12-01T18:04:31Z,"dance pop","Parlophone UK",0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,4
3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,86,,2023-12-01T18:04:31Z,"","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
7g13jf3zqlP5S68Voo5v9m,"Dancing On My Own - Radio Edit","Body Talk","Robyn",2010-01-01,278080,61,,2023-12-01T18:04:31Z,"","Interscope",0.573,0.926,6,-6.045,1,0.0342,0.00202,0.0117,0.127,0.219,117.047,4
3WRQUvzRvBDr4AxMWhXc5E,"Sunset Lover","Presence","Petit Biscuit",2017-11-10,238906,67,,2023-12-01T18:04:31Z,"","Petit Biscuit Music",0.785,0.525,6,-7.556,1,0.042,0.665,0.423,0.114,0.251,90.853,4
0aj2QKJvz6CePykmlTApiD,"Señorita","Justified","Justin Timberlake",2002-11-04,294866,66,,2023-12-01T18:04:31Z,"","Jive",0.841,0.63,1,-5.356,1,0.0443,0.0725,0,0.0742,0.876,97.964,4
3850dYVgOFIXJh5U4BFEWH,"Hung Up","Confessions on a Dance Floor","Madonna",2005-11-11,337733,76,,2023-12-01T18:04:31Z,"","Warner Records",0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,4
6kopmMZiyLmw7h66uXcXR7,"Valerie (feat. Amy Winehouse) - Version Revisited","Version","Mark Ronson,Amy Winehouse",2007-04-16,219413,81,,2023-12-01T18:04:31Z,"","Columbia",0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,4
3HGwI9qwq5XqBDeZBV3zti,"World Hold On (Children of the Sky) - Radio Edit","World Hold On (Children of the Sky) [Radio Edit]","Bob Sinclar,Steve Edwards",2006-06-06,199194,76,,2023-12-01T18:04:31Z,"french house,disco house","Yellow Productions",0.738,0.933,8,-1.898,0,0.0946,0.0764,0.000108,0.247,0.633,126.994,4
1I8tHoNBFTuoJAlh4hfVVE,"Firestone","Cloud Nine","Kygo,Conrad Sewell",2016-05-13,271640,77,,2023-12-01T18:04:31Z,"tropical house","Kygo",0.704,0.634,11,-7.374,0,0.0428,0.393,0.0000317,0.0952,0.411,113.927,4
1xzi1Jcr7mEi9K2RfzLOqS,"CUFF IT","RENAISSANCE","Beyoncé",2022-07-29,225388,75,,2023-12-01T18:04:31Z,"","Parkwood Entertainment/Columbia",0.78,0.689,7,-5.668,1,0.141,0.0368,0.00000969,0.0698,0.642,115.042,4
7ef4DlsgrMEH11cDZd32M6,"One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris,Dua Lipa",2018-04-06,214846,79,,2023-12-01T18:04:31Z,"edm,pop","Sony Music UK",0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,4
3NK28cXAkO5JIM7YOiCQAx,"Smile","Alright, Still","Lily Allen",2006-07-17,196893,58,,2023-12-01T18:04:31Z,"","Parlophone UK",0.632,0.639,5,-5.938,1,0.0259,0.00143,0,0.221,0.733,95.506,4
