Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6SPmSdEj7hK6C9glgmQv0L,"Prendele","The Music Of Kingdom","Pure Negga",2018-07-03,198021,42,r.andruko,2024-04-08T15:46:26Z,"spanish-language reggae,reggae","Pure Nigga distribucion",0.648,0.91,9,-2.262,0,0.316,0.655,0,0.291,0.677,84.695,4
1EtDEQXZs65gZWeY2PwABf,"Без конца","Без конца","xxmonty",2024-03-25,137895,24,r.andruko,2024-04-08T17:13:40Z,"","xxmonty",0.905,0.837,11,-3.299,0,0.238,0.0529,0.000029,0.065,0.782,123.003,4
19CkdonOQ9GzR4LNyom85w,"Крузак","Крузак","SKOFKA",2021-04-23,170806,0,r.andruko,2024-03-15T16:26:00Z,"","Skofka",0.986,0.408,7,-8.17,0,0.472,0.00336,0.0000121,0.126,0.817,124.023,4
1vmRfKejQWsWnE3arhhEit,"Cnv Sound, Vol. 14","Cnv Sound Volums (Kion Studio One Shots)","Pure Negga,Skillz Beatz",2018-05-20,194583,69,r.andruko,2024-03-15T03:31:36Z,"spanish-language reggae,reggae","Pure Nigga distribucion",0.83,0.666,6,-4.281,0,0.443,0.4,0.000105,0.0922,0.938,173.364,4
6xRrfacr5bW5PCtsIZHp6w,"Остановіть ви цю ху..ню!","Остановіть ви цю ху..ню!","Мюслі UA",2022-05-11,192000,33,r.andruko,2024-03-15T16:28:11Z,"","мюслі UA",0.813,0.664,6,-8.504,0,0.225,0.0855,0.0000976,0.246,0.846,120.009,4
1oc6XKfCG5HH7IjWC7Ll7c,"Sogno","Sogno","Bearded Legend",2019-07-21,256971,19,r.andruko,2024-03-20T21:48:59Z,"dark trap,phonk,drift phonk","BEARDED LEGEND",0.374,0.691,9,-4.959,1,0.0318,0.0124,0.00000278,0.092,0.185,99.397,4
3lFrFQcZWPLa8WEG7xoc4b,"Я буду ебать","Я буду ебать","Moreart,IHI",2020-12-04,141217,56,r.andruko,2024-03-23T04:34:18Z,"","A+",0.811,0.712,11,-6.567,1,0.304,0.142,0.0000934,0.148,0.497,203.918,4
55ZATsjPlTeSTNJOuW90pW,"Shorty Party","Shorty Party","Cartel De Santa,La Kelly",2023-03-04,265000,73,r.andruko,2024-03-15T15:02:01Z,"mexican hip hop,latin hip hop","Babilonia Music, S.A. De C.V.",0.928,0.468,2,-8.196,1,0.364,0.328,0.00000427,0.0986,0.47,96.006,4
45sgAFSdCzu3DpPmyZdOBb,"Monster","Monster","Moreart",2022-05-27,111136,25,r.andruko,2024-03-23T04:37:16Z,"","Закрытый клуб",0.779,0.691,7,-5.421,1,0.0761,0.0117,0.0416,0.135,0.642,176.074,3
61XW2Qk0qCfSALVx5OL5Bf,"Brooklyn - 2022 Remastered","Brooklyn (2022 Remastered)","WERTUS,Travelx",2022-02-03,211754,17,r.andruko,2024-04-03T16:34:27Z,"","BADSQUAD.Inc",0.615,0.53,0,-9.264,0,0.232,0.246,0.0125,0.137,0.284,83.744,4
49W41j5sHcYh3M4Ub1C2KW,"Допоможе ЗСУ","Допоможе ЗСУ","Chico,Qatoshi",2022-04-27,137280,41,r.andruko,2024-04-03T16:59:04Z,"","NPRC MUSIC",0.94,0.79,7,-5.661,1,0.27,0.24,0.00399,0.241,0.387,125.011,4
5fiZvS43iQr085rOXgzgNP,"Я буду ебать - Remix","Я буду ебать (Remix)","Moreart,Harddope,IHI",2024-03-15,136470,24,r.andruko,2024-04-05T15:49:03Z,"slap house","А+",0.816,0.921,0,-3.937,1,0.222,0.146,0,0.123,0.433,101.958,4
457GkQkmvOvIexvxL9fNkQ,"Булава","Булава","Гармата Тата",2022-11-26,133833,5,r.andruko,2024-04-05T15:53:37Z,"","TATO muzic",0.877,0.716,8,-8.516,1,0.147,0.36,0.00149,0.127,0.609,125.018,4
2bo88biMYcS8Mo1mGuf78k,"Мне нужна любовь (Barabanov Remix)","Мне нужна любовь (Barabanov Remix)","Татем,Barabanov",2023-12-05,123579,12,r.andruko,2024-04-08T15:47:20Z,"","VS",0.773,0.833,1,-4.563,1,0.261,0.326,0.0278,0.498,0.59,175.958,4
4Evcu6xrP51SegvcBCJCQo,"My Love","My Love","MAUR,A’MIRI",2024-04-05,176640,58,r.andruko,2024-04-08T17:00:48Z,"","IZI Music under exclusive license to S&P Digital",0.855,0.797,6,-3.279,0,0.154,0.131,0,0.0987,0.729,124.957,4
5kkTJXt1GLG5SwiFFGFtE7,"ТУДА СЮДА","ТУДА СЮДА","DOLINOV,Badabum",2024-04-05,106153,35,r.andruko,2024-04-08T17:09:35Z,"phonk","Goost Music",0.73,0.932,6,-4.547,0,0.338,0.11,0.00208,0.549,0.438,130.228,4
6iUNYyrdUHx9QI6so0v3R6,"Долечу до бро","Большой кольцевой альбом","Moreart",2021-12-06,75294,24,r.andruko,2024-04-08T17:30:48Z,"","Инжир",0.935,0.838,9,-3.409,0,0.177,0.149,0.00142,0.247,0.598,102.025,4
0317HGeoWyPqqFn1AJKlbk,"Ushme Uturbe","Ushme Uturbe","Kalush Orchestra,bbno$,DITVAK,KALUSH",2023-04-14,196757,41,r.andruko,2024-04-17T17:56:03Z,"meme rap","Columbia Local",0.826,0.792,1,-6.355,1,0.0505,0.0561,0.0307,0.126,0.877,147,4
1WMLlq8vBbEKmUoD2LN9MD,"Фарарей 2.0 - by MVUS remix","Фарарей 2.0 (by MVUS remix)","MAUR,MVUS",2023-05-23,156899,0,r.andruko,2024-07-30T19:26:05Z,"","IZI Music",0.856,0.795,2,-6.009,1,0.14,0.368,0.559,0.103,0.488,99.949,4
01vZxLzy1Jl2j8oajNw00l,"Súbete y Ya Verás (feat. Big Man & Millonario)","Sincopa","Cartel De Santa,bigman,Millonario",2011-07-26,295000,69,giniandruko,2024-09-27T19:29:17Z,"mexican hip hop,latin hip hop","RCA Records Label",0.722,0.714,6,-6.544,1,0.193,0.16,0,0.222,0.846,87.996,4
2H0nDjyK657MDemrZJNpeJ,"Окружение","Money Fest","Moreart,Аль-Хайям",2023-11-24,136000,19,giniandruko,2024-09-27T20:33:42Z,"","3k by "Закрытый клуб"",0.918,0.646,8,-6.052,1,0.149,0.0595,0.0146,0.18,0.273,120,4
