Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0lLTc1wmgU3dE2xDZCkWVU,"In the Air Tonight - 2015 Remaster","The Singles","Phil Collins",2016-10-14,335973,28,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"soft rock","Rhino",0.448,0.243,0,-14.193,1,0.0329,0.574,0.00000422,0.0728,0.31,189.186,4
2K22nUTdyr48JDwI5t906t,"Relax","Welcome To The Pleasuredome","Frankie Goes To Hollywood",1984-10-20,236800,70,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"synthpop,hi-nrg","ZTT Records",0.676,0.693,11,-13.396,0,0.0394,0.327,0.0000108,0.0462,0.688,114.934,4
2Di0qFNb7ATroCGB3q0Ka7,"West End Girls - 2018 Remaster","Please: Further Listening 1984 - 1986 (2018 Remaster)","Pet Shop Boys",1986-03-24,285906,71,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"synthpop,new wave","Rhino",0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,4
1gzIbdFnGJ226LTl0Cn2SX,"White Wedding - Pt. 1","Billy Idol","Billy Idol",1982-01-01,252200,71,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"","CAPITOL CATALOG MKT (C92)",0.673,0.814,9,-5.411,1,0.0367,0.0134,0.00293,0.343,0.728,147.193,4
2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,84,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights","After Hours","The Weeknd",2020-03-20,200040,87,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"","Republic Records",0.513,0.73,1,-5.94,1,0.0598,0.00143,0.0000954,0.0897,0.334,171.001,4
0odIT9B9BvOCnXfS0e4lB5,"Bette Davis Eyes","Mistaken Identity","Kim Carnes",1981-01-01,228000,78,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"","Capitol Records",0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.62,4
3cbV252akVZInSvJk7jAYX,"Flashdance...What a Feeling - Radio Edit","What a Feelin'","Irene Cara",1983-11-02,237053,75,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"","UNIDISC MUSIC INC.",0.572,0.655,7,-7.027,0,0.0344,0.00579,0.00000341,0.0901,0.392,122.49,4
4tLbY8yAdlbanpoDuAKcWS,"Fresh & Clean","EP5","letherette",2018-06-08,240280,5,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"lo-fi house","Wulf",0.766,0.604,11,-8.14,0,0.214,0.274,0.0763,0.37,0.53,100.969,4
5DeXQ3qADuDmqsosnZAK3o,"I Want to Know What Love Is - 2008 Remaster","No End in Sight: The Very Best of Foreigner","Foreigner",2008-07-08,301106,59,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"album rock,classic rock","Rhino",0.47,0.605,6,-6.12,1,0.0303,0.218,0.00000709,0.0738,0.419,81.399,4
5gOd6zDC8vhlYjqbQdJVWP,"Baker Street","City to City","Gerry Rafferty",1978,365626,69,21focq27ocnh36hhvz3btzlwy,2025-03-13T00:30:25Z,"","Parlophone UK",0.497,0.349,7,-14,1,0.0297,0.0929,0.028,0.259,0.421,113.762,4
