Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0agQ9vIV7NP4dntGKLcCXO,"Somebody (2024)","Somebody (2024)","Gotye,FISHER,Chris Lake,Kimbra,Sante Sansone",2024-02-09,153518,76,groovebassment,2024-02-10T02:24:46Z,"tech house,house,techno,bass house","Universal-Island Records Ltd.",0.848,0.629,0,-6.198,1,0.0424,0.016,0.18,0.049,0.586,130.017,4
3flWoQdYrWyqUsHbURIJby,"Stephanie - HNTR Remix","Stephanie (HNTR Remix)","Cloonee,Young M.A,InntRaw,HNTR",2025-02-07,145467,65,groovebassment,2025-02-07T15:16:16Z,"tech house,house,latin house,techno","Hellbent Records",0.765,0.948,6,-4.048,0,0.0436,0.00701,0.00651,0.113,0.743,134.011,4
6e2uvfP3pRdxsQLFSnbJPO,"Dreamin (feat. Daya)","Dreamin (feat. Daya)","Dom Dolla,Daya",2025-02-07,171526,66,groovebassment,2025-02-07T15:16:16Z,"house,tech house","Good Fortune Records",0.776,0.667,6,-7.553,0,0.154,0.0398,0.0000443,0.1,0.734,134.04,4
2VyvDGdcVY04cNYou9MFVX,"Dirty Cash (Money Talks)","Dirty Cash (Money Talks)","PAWSA,The Adventures Of Stevie V",2024-11-15,221448,82,groovebassment,2024-11-15T00:41:24Z,"tech house,house","Altra Moda Music",0.783,0.473,0,-6.493,1,0.167,0.0693,0.000034,0.149,0.539,131.89,4
39csPtAay4YkXMl81hOlYH,"Fill Me Up (feat. Tania Foster)","Fill Me Up (feat. Tania Foster)","Empher,Tania Foster",2025-03-07,182343,27,groovebassment,2025-03-08T14:27:09Z,"tech house,bass house","Groove Bassment",0.549,0.924,1,-5.357,0,0.0739,0.00197,0.727,0.207,0.459,127.926,4
357iDuZ0IXAAg3Aj7UszqO,"Buscando Money","Buscando Money","TWENTY SIX,Tayson Kryss",2023-07-21,150000,8,groovebassment,2024-02-07T23:13:29Z,"latin house,tech house","Glasgow Underground",0.817,0.812,9,-6.674,0,0.057,0.0895,0.536,0.0669,0.725,128.028,4
0FrP64eh0yTC3uDVsq0wG4,"Tuyo","Tuyo","Jack Villa,George Z",2021-06-25,190987,40,groovebassment,2021-06-24T20:09:36Z,"tech house,latin house","Groove Bassment",0.815,0.464,1,-9.734,1,0.0629,0.0057,0.271,0.117,0.265,125.982,4
2YDOjCfkGciEXxSutB6LJR,"World Hold On - FISHER Rework","World Hold On (FISHER Rework)","Bob Sinclar,FISHER,Steve Edwards",2022-07-08,178304,18,groovebassment,2022-07-11T15:38:34Z,"french house,disco house,tech house,house,techno","Yellow productions",0.771,0.883,1,-5.243,0,0.0584,0.00596,0.00607,0.135,0.895,127.008,4
4n4120bEXF1JYriXZ7JlNZ,"Free","Free","RICHIE ROZEX",2024-12-24,197812,38,groovebassment,2025-01-25T17:06:05Z,"","Groove Bassment",0.763,0.94,1,-3.466,1,0.109,0.153,0.0965,0.273,0.649,128.013,4
4R9TqikCVqX6EbLVEvtYLs,"Atmosphere","Atmosphere","FISHER,Kita Alexander",2023-08-11,182857,58,groovebassment,2023-08-10T15:06:10Z,"tech house,house,techno","etcetc",0.762,0.895,8,-4.562,1,0.0737,0.00618,0.145,0.203,0.755,125.979,4
