Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7lDGg8CFySbkKUrjgzcLlY,"The Less I Know The Better","The Less I Know The Better","Mau P",2025-02-28,176114,64,,2025-02-28T05:00:48Z,"tech house,house","Nervous Records",0.754,0.8,6,-7.383,0,0.0506,0.000793,0.651,0.352,0.948,128.001,4
1gkTO34Xg6FO8W9HrxYR4E,"Drum Death","Drum Death","Westend,HOSANNA",2025-02-21,170644,56,,2025-02-21T05:00:34Z,"tech house,latin house,house","Experts Only",0.749,0.97,0,-4.414,1,0.0799,0.0019,0.874,0.16,0.641,128.008,4
3flWoQdYrWyqUsHbURIJby,"Stephanie - HNTR Remix","Stephanie (HNTR Remix)","Cloonee,Young M.A,InntRaw,HNTR",2025-02-07,145467,65,,2025-02-07T05:00:27Z,"tech house,house,latin house,techno","Hellbent Records",0.765,0.948,6,-4.048,0,0.0436,0.00701,0.00651,0.113,0.743,134.011,4
2P7fnktG0n0P0UN9wUgas9,"BATTERY OPERATED","BATTERY OPERATED","Tigerblind",2025-02-28,127994,52,,2025-02-28T05:00:48Z,"melodic techno,melodic house","Ministry of Sound Recordings",0.785,0.937,5,-7.444,1,0.0551,0.000427,0.681,0.342,0.158,130.012,4
7cN7LW0oy05OuKc06eE1eV,"P!NK","D.O.P.E.","SLAMM,Dan Molinari",2025-02-28,180000,44,,2025-02-28T05:00:48Z,"tech house","Chaste Records",0.894,0.521,7,-10.749,1,0.176,0.0151,0.0235,0.098,0.588,128.001,4
2H9SdFmXgiHM5MhwLOuBm3,"Ménage À Trois","Ménage À Trois","SIDEPIECE,Barney Bones",2025-02-14,175600,54,,2025-02-14T05:00:34Z,"tech house,edm","Catch & Release",0.815,0.832,10,-4.846,0,0.0679,0.00212,0.0583,0.121,0.728,127.996,4
2J9jWkE2NUeULlJ7OSIZ3G,"Gravity","Gravity","Joshwa,Lauren Nicole",2025-02-14,195795,57,,2025-03-07T05:00:40Z,"tech house,latin house,house,brazilian bass","Selected.",0.667,0.794,10,-6.972,1,0.0321,0.105,0.091,0.384,0.533,131.955,4
4BFoLiWDZusUKvEvXDpDAF,"Up N Down","Up N Down","Kamino,MERYLL",2025-02-07,167175,51,,2025-02-07T05:00:27Z,"tech house,hardstyle","Catch & Release",0.688,0.871,7,-7.548,1,0.0411,0.0256,0.6,0.26,0.406,131.003,4
39KkGrkTwD0MIZAnWr9AkY,"Revolver","Revolver","Airwolf Paradise",2025-02-20,193171,44,,2025-02-21T05:00:34Z,"","Higher Ground",0.75,0.997,0,-5.93,1,0.0732,0.0229,0.663,0.103,0.529,130.019,4
4AmSnmfLdoKOsQPuXkXYxE,"Take Five","Take Five","Andruss",2025-02-28,228994,37,,2025-02-28T05:00:48Z,"latin house,tech house,tribal house","Drop Low Records",0.809,0.811,11,-9.135,0,0.0475,0.177,0.737,0.0883,0.507,127.96,4
5YtFmJF6RzB4etYr1rls48,"TELEMARKETER","TELEMARKETER","LUCATI",2025-03-07,214153,31,,2025-03-07T05:00:40Z,"tech house,bass house,g-house,latin house","Terminal Underground",0.859,0.597,8,-8.051,1,0.111,0.0126,0.00878,0.122,0.742,130.005,4
7qzNN86nlI4YaslP5lZVb0,"Supersonic","Supersonic","Crusy,Alex Now (ES)",2024-10-04,137343,45,,2024-10-04T04:00:00Z,"latin house,tech house,tribal house,bass house","Nothing Else Matters",0.886,0.856,7,-2.868,0,0.0722,0.00168,0.0474,0.187,0.117,128.084,4
6PWMNrSexfbrn7Fw1mxupR,"Playboy","Playboy","San Pacho,Cave Studio",2025-02-28,138461,44,,2025-02-28T05:00:48Z,"latin house,tech house,bass house,g-house,house","Catch & Release",0.793,0.956,10,-4.31,0,0.0583,0.000271,0.832,0.333,0.815,129.998,4
6rnKUsfpnb7hN7IfMpuzLP,"Bumper","Bumper","Supafly,Dave Winnel,DawgSide",2025-02-28,136499,33,,2025-02-28T05:00:48Z,"tech house,future house","TMRW Music",0.785,0.907,4,-6.194,1,0.191,0.0339,0.00154,0.191,0.663,132.022,4
7brE4PDHUmdJMFle4OTTAA,"Serotonine","Serotonine EP","Discip",2024-12-13,200314,51,,2025-01-10T05:00:18Z,"tech house","Revival New York",0.771,0.867,7,-9.635,1,0.0474,0.00629,0.709,0.112,0.663,128.015,4
7FtA4puD4CKWqoPMTsWPdq,"Rack City","Rack City","HILLS",2025-02-21,150000,46,,2025-02-21T05:00:34Z,"tech house","Repopulate Mars",0.774,0.952,11,-6.374,0,0.0582,0.00405,0.655,0.146,0.956,128.028,4
78IApFVx1V4KINyZnIXjoi,"Valerie","Valerie","CASSIMM",2024-12-06,141732,55,,2024-12-06T05:00:00Z,"tech house,funky house,disco house,latin house","Toolroom",0.605,0.963,9,-5.314,1,0.0378,0.0189,0.801,0.281,0.514,127.028,4
1ngjPnoeRNLB922MFkFUjq,"Jetsetter","Jetsetter","Walker & Royce,Life on Planets",2025-01-31,169965,48,,2025-01-31T05:00:33Z,"tech house,bass house,house","Solotoko",0.798,0.812,9,-6.658,1,0.046,0.00348,0.313,0.155,0.424,128.018,4
6Kxdy3nt65UFoNhTLQmVo3,"Crystal","Crystal","Roddy Lima",2025-03-07,203349,30,,2025-03-07T14:45:35Z,"tech house","Black Book Records",0.797,0.858,6,-6.543,1,0.056,0.0316,0.635,0.0806,0.47,127.988,4
3shstEV0fzPeSvby1ENMUs,"Whispers","Whispers EP","GREG (BR)",2025-01-24,155076,44,,2025-01-24T05:00:51Z,"tech house,latin house","Hellbent Records",0.801,0.733,9,-6.107,0,0.0429,0.000646,0.397,0.0706,0.745,130.021,4
