Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1Yyz9FCBlCuhZfhhgLaYrQ,"Undertone","Undertone","Couros",2018-05-16,176333,21,frosty480,2018-09-29T17:48:19Z,"","EMI",0.655,0.335,5,-9.529,0,0.182,0.574,0.0000419,0.0821,0.523,96.126,4
70SjyVMzhmMeJQD8hOmIBp,"Put Me Thru","Malibu","Anderson .Paak",2016-01-15,160760,52,frosty480,2018-09-29T17:48:56Z,"","OBE / Apeshit, Inc / EMPIRE",0.732,0.789,5,-3.717,0,0.0476,0.0459,0.0000311,0.123,0.607,107.978,4
3QWjljChcOMkRDYSzF33Qr,"Whippin (feat. Felix Snow)","Whippin (feat. Felix Snow)","Kiiara,Felix Snow",2017-04-12,160596,42,frosty480,2018-09-29T17:49:31Z,"","Atlantic Records",0.87,0.502,5,-7.497,0,0.0549,0.549,0.00356,0.0916,0.673,82.53,4
2HsadrpAUp28eDIOhR2hPC,"Off The Ground","Venice","Anderson .Paak",2014-10-28,288052,0,frosty480,2018-09-29T17:50:10Z,"","OBE / EMPIRE",0.653,0.712,7,-7.191,0,0.168,0.812,0.000107,0.149,0.551,183.075,3
4IY8Lz6j0sc2DuUva1KLNo,"The Sun","The Sun","Myd",2017-10-06,210040,0,frosty480,2018-09-29T17:50:18Z,"french house","Ed Banger Records",0.774,0.673,5,-6.473,0,0.035,0.22,0.583,0.0973,0.917,126.016,4
38kW1VVoZ5BepP82wQFkJ9,"Whole Heart - Mansionair Remix","Whole Heart (The Remixes)","Gryffin,Bipolar Sunshine,Mansionair",2016-12-02,262186,27,frosty480,2018-09-29T17:50:35Z,"edm,melodic bass,future bass","Darkroom",0.675,0.59,6,-9.943,0,0.0296,0.651,0.074,0.195,0.565,92.998,4
407qAIie8sIEgquKD1AAd2,"Shy","Good Thing","Leon Bridges",2018-05-04,194493,56,frosty480,2018-09-29T17:50:43Z,"retro soul","Columbia",0.803,0.498,8,-5.389,0,0.0634,0.279,0.00000133,0.161,0.832,92.032,4
3GmCb7uc8HnCdq0wGozVw2,"The Coast (feat. Jvzel)","The Coast (feat. Jvzel)","Far East Movement,RAC,JVZEL",2016-07-22,213500,33,frosty480,2018-09-29T17:50:54Z,"","Cherrytree Records",0.543,0.78,7,-5.726,1,0.102,0.0124,0.00000512,0.171,0.67,84.012,4
1sG601xf9rWPu6LQyTG54c,"Say It (feat. Tove Lo) [SG Lewis Remix]","Say It Feat. Tove Lo (Remixes)","Flume,Tove Lo,SG Lewis",2016-11-04,297600,0,frosty480,2018-09-29T17:51:27Z,"future bass","Mom & Pop Music",0.605,0.501,11,-7.49,0,0.0429,0.0318,0.35,0.208,0.103,150.013,4
2sKTYRCgUHXmIhI2hoBuZE,"When I Get There","Invincible EP","Big Wild",2017-02-10,220000,0,frosty480,2018-09-29T17:51:37Z,"","Foreign Family Collective",0.694,0.483,0,-7.157,1,0.0359,0.000196,0.557,0.134,0.132,96.029,4
