Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
76BYv24CcZt2u94JRjmATX,"Madhouse","Spreading The Disease","Anthrax",1985-10,259760,56,,2024-06-27T03:24:59Z,"thrash metal,metal,speed metal,heavy metal,groove metal,rap metal","Island Records",0.329,0.885,9,-10.661,1,0.0904,0.0242,0.00433,0.735,0.481,163.538,4
5ohfpKB5tt275f4Y4lQ9F7,"Angel Of Death","Reign In Blood (Expanded)","Slayer",1986-01-01,291773,63,,2024-06-27T03:24:59Z,"thrash metal,metal,speed metal,heavy metal,groove metal,death metal","American Recordings Catalog P&D",0.326,0.995,1,-4.38,1,0.147,0.0000941,0.386,0.145,0.092,105.459,4
18zjwSgYiwu1Meb7Po3tUP,"Lux Æterna","72 Seasons","Metallica",2023-04-14,205679,51,,2024-06-27T03:24:59Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings",0.386,0.996,11,-2.96,0,0.0754,0.0000115,0.000836,0.116,0.188,130.573,4
3NE8Lf1wUAt56JOajf58et,"Dropped Out","Tango & Thrash","Municipal Waste",2024-03-07,49733,31,,2024-06-27T03:24:59Z,"thrash metal,speed metal,groove metal,metal,hardcore punk","Nuclear Blast",0.29,0.962,7,-6.453,1,0.295,0.000012,0.000863,0.294,0.338,122.037,5
3nn2BBMs1fwcUzvz3SsWBk,"Pyhä Vitutus","Pyhä Vitutus","Mokoma",2023-12-29,201223,19,,2024-06-27T03:24:59Z,"finnish rock,finnish pop,thrash metal","Sakara Records",0.438,0.961,6,-5.436,0,0.124,0.000222,0.000865,0.0809,0.514,197.11,4
22wCXpyHaTQDM5odduUeIJ,"Forever and Beyond Despair","Defectum Omnium","Exhorder",2024-03-08,182573,32,,2024-06-27T03:24:59Z,"groove metal,thrash metal,speed metal,metal","Nuclear Blast",0.237,0.978,7,-4.83,1,0.165,0.00000482,0.833,0.291,0.283,150.314,4
1UaQv5HGSKoI6WXNO86Hzd,"Assassination","Assassination","Take Offense",2024-03-22,164400,7,,2024-06-27T03:24:59Z,"hardcore punk,hardcore","MNRK Music",0.442,0.962,1,-3.071,0,0.234,0.000317,0.0952,0.253,0.258,74.921,4
1kbwEcixFWVj5dFO9Kso3J,"Executioner's Tax (Swing of the Axe)","Nightmare Logic","Power Trip",2017-02-24,225245,50,,2024-06-27T03:24:59Z,"thrash metal,groove metal,speed metal,metal,hardcore","Southern Lord",0.484,0.991,8,-4.028,0,0.0676,0.000289,0.657,0.359,0.559,167.035,4
3I9K8tSZRsAw7bRYfbhJEA,"Cyco Vision","Freedumb","Suicidal Tendencies",1999,109306,56,,2024-06-27T03:24:59Z,"thrash metal,hardcore punk,punk,skate punk,speed metal","Suicidal Records",0.282,0.996,9,-3.991,1,0.274,0.00668,0,0.0674,0.323,185.423,4
3Ks3K2RmCxSUcXS6cOvd43,"Agent Orange","Agent Orange","Sodom",2010-02-26,365320,48,,2024-06-27T03:24:59Z,"thrash metal,speed metal,metal,groove metal,black metal,heavy metal","SPV",0.271,0.988,4,-4.936,0,0.117,0.0000166,0.735,0.21,0.253,114.027,4
