Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7so0lgd0zP2Sbgs2d7a1SZ,"Die With A Smile","MAYHEM","Lady Gaga,Bruno Mars",2025-03-07,251667,83,,2025-03-19T13:29:35Z,"art pop,pop","Interscope Records",0.519,0.601,6,-7.727,0,0.0317,0.289,0,0.126,0.498,157.964,3
3LPLRNr58Z9Pn0clnEtkXb,"Anxiety","Alligator Bites Never Heal (Extended)","Doechii",2025-03-14,249302,71,,2025-03-19T13:29:35Z,"","Top Dawg Entertainment/Capitol Records",0.807,0.596,0,-6.818,1,0.0394,0.321,0.000294,0.105,0.881,129.013,4
4wJ5Qq0jBN4ajy7ouZIV1c,"APT.","rosie","ROSÉ,Bruno Mars",2024-12-06,169917,91,,2025-03-19T13:29:35Z,"k-pop","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
6iycYUk3oB0NPMdaDUrN1w,"EVIL J0RDAN","MUSIC","Playboi Carti",2025-03-14,183928,88,,2025-03-19T13:29:35Z,"rage rap","AWGE/Interscope Records",0.689,0.36,1,-7.029,1,0.0564,0.00665,0.0000611,0.119,0.0599,154.009,4
6dOtVTDdiauQNBQEDOtlAB,"BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,210373,98,,2025-03-19T13:29:35Z,"","Darkroom/Interscope Records",0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
2CGNAOSuO1MEFCbBRgUzjd,"luther (with sza)","GNX","Kendrick Lamar,SZA",2024-11-21,177598,93,,2025-03-19T13:29:35Z,"hip hop,west coast hip hop,r&b","pgLang, under exclusive license to Interscope Records",0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
68qeaZhtMZ6abrJCYt6nQn,"RATHER LIE (with The Weeknd)","MUSIC","Playboi Carti,The Weeknd",2025-03-14,209680,86,,2025-03-19T13:29:35Z,"rage rap","AWGE/Interscope Records",0.72,0.665,8,-4.431,1,0.0325,0.0583,0,0.213,0.279,132.991,4
0fK7ie6XwGxQTIkpFoWkd1,"like JENNIE","Ruby","JENNIE",2025-03-07,123517,89,,2025-03-19T13:29:35Z,"k-pop","OA Entertainment/Columbia",0.811,0.743,10,-5.321,0,0.0611,0.281,0.00671,0.0868,0.815,130.019,4
3sK8wGT43QFpWrvNQsrQya,"DtMF","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,237117,97,,2025-03-19T13:29:35Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
7ne4VBA60CxGM75vw0EYad,"That’s So True","The Secret of Us (Deluxe)","Gracie Abrams",2024-10-18,166300,96,,2025-03-19T13:29:35Z,"","Gracie Abrams, under exclusive license to Interscope Records",0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,96,,2025-03-19T13:29:35Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
6qqrTXSdwiJaq8SO0X2lSe,"Ordinary","Ordinary","Alex Warren",2025-02-07,186964,91,,2025-03-19T13:29:35Z,"","Atlantic Records",0.446,0.682,2,-6.229,1,0.0497,0.739,0.00000951,0.0562,0.382,112.252,4
2lTm559tuIvatlT1u0JYG2,"BAILE INoLVIDABLE","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,367725,96,,2025-03-19T13:29:35Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
7tI8dRuH2Yc6RuoTjxo4dU,"Who","MUSE","Jimin",2024-07-19,170887,88,,2025-03-19T13:29:35Z,"k-pop","BIGHIT MUSIC",0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
2262bWmqomIaJXwCRHr13j,"Sailor Song","Sailor Song","Gigi Perez",2024-07-26,211978,94,,2025-03-19T13:29:35Z,"","Gigi Perez PS/ Island",0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4
