Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0jJLwPDpyuZRpd800yScN0,"Blurred","Blurred","Kiasmos",2017-10-06,305546,54,,2025-02-20T13:03:54Z,"","Erased Tapes",0.853,0.406,4,-11.658,1,0.0483,0.587,0.855,0.09,0.0825,122.009,3
1SJ7eKG6Ha5opLNxlXXvwa,"Lonely Nights","Sunsetter","LEISURE",2021-12-03,200093,62,,2025-02-20T13:03:54Z,"","Nettwerk Music Group",0.688,0.596,5,-7.698,0,0.0298,0.124,0.0321,0.244,0.718,104.06,4
4Tzw9IdZbVyzmpWrvsGaNX,"Wildfires","Untitled (Black Is)","SAULT",2020-06-19,206947,73,,2025-02-20T13:03:54Z,"","Forever Living Originals",0.862,0.314,3,-8.269,0,0.0369,0.108,0.156,0.0878,0.502,114.472,4
2eVofaQRJvddSUBfcub7Gz,"Oceans","Oceans","RY X,Ólafur Arnalds",2020-01-31,279573,59,,2025-02-20T13:03:54Z,"indie folk,neoclassical,minimalism","Decca Music Group Ltd.",0.659,0.387,6,-13.172,0,0.0335,0.467,0.692,0.0839,0.0779,114.989,4
61VJXbD4Ea3KTumwwLgnTQ,"One More Trip Around The Sun","One More Trip Around The Sun","Cari Cari",2025-01-24,272800,51,,2025-02-20T13:03:54Z,"","perla nera",0.395,0.506,7,-8.854,1,0.0379,0.621,0.809,0.104,0.129,152.125,4
3UBNj3GZN0Wf3LjUrxQdH1,"feel like we used to","feel like we used to","Zimmer90",2024-09-18,176000,55,,2025-02-20T13:03:54Z,"","Interior Records",0.735,0.418,3,-11.182,1,0.0349,0.745,0.479,0.108,0.783,130.016,4
2np2e0pDBBmUgcdItVb6d3,"You and I","Suddenly","Caribou",2020-02-28,243946,43,,2025-02-20T13:03:54Z,"idm","Merge Records",0.732,0.524,9,-7.973,0,0.0312,0.0662,0.126,0.109,0.445,111.921,4
4I59UjiR1vDGGdLmdvFoJO,"August 10","Con Todo El Mundo","Khruangbin",2018-01-26,265410,59,,2025-02-20T13:03:54Z,"","Dead Oceans",0.593,0.403,4,-12.585,0,0.0382,0.0156,0.886,0.16,0.74,82.083,4
5J59tqY0Ad4r27tJJajzyB,"Rose Pink Cadillac","Rose Pink Cadillac","DOPE LEMON",2022-01-07,261911,68,,2025-02-20T13:03:54Z,"","BMG Rights Management (Australia) Pty Ltd.",0.746,0.805,1,-6.827,1,0.0339,0.321,0.00685,0.104,0.906,100.003,4
0VrdF2Q4bSf5DWCnEPii0P,"Around The Sun","Around The Sun","Poolside,Amo Amo",2020-01-14,234493,49,,2025-02-20T13:03:54Z,"nu disco","Pacific Standard Records",0.729,0.628,7,-5.127,1,0.0323,0.0896,0.0303,0.0956,0.826,110.011,4
2ZaibOeYCGrtHAptHMWnA0,"One Evening","Let It Die","Feist",2004-05-18,216440,40,,2025-02-20T13:03:54Z,"chamber pop","Arts & Crafts",0.956,0.374,0,-9.811,0,0.0357,0.119,0.000138,0.0948,0.633,112.15,4
3BeaiIXko9QV8689eWB6yd,"Stockholmsvy","Stockholmsvy","Hannes,waterbaby",2022-04-29,161396,65,,2025-02-20T13:03:54Z,"","The Satchi Six",0.741,0.389,1,-10.971,1,0.0615,0.462,0.532,0.103,0.742,90.01,4
16kXm4oFQvX0yjKjl5K46Q,"Belo Horizonte","Welcome To Kookoo Island","Cari Cari",2022-09-16,226165,50,,2025-02-20T13:03:54Z,"","Bohemian Vienna",0.628,0.536,5,-11.422,1,0.0294,0.239,0.563,0.174,0.329,94.004,4
4HpFU6eMThgW6Cael5AwYy,"So We Won't Forget","Mordechai","Khruangbin",2020-06-26,298333,64,,2025-02-20T13:03:54Z,"","Dead Oceans",0.641,0.413,2,-13.212,1,0.102,0.0305,0.844,0.183,0.967,101.27,4
3uKuL94RnvekaDsDLHPOMD,"Old Graffiti","Ribbons","Bibio",2019-04-12,208853,51,,2025-02-20T13:03:54Z,"downtempo","Warp Records",0.639,0.914,10,-7.189,0,0.0393,0.277,0.802,0.0382,0.966,94.822,4
3HjAGIYYXG7PS7OegQa0xM,"Casita","Casita","Goth Babe",2021-09-10,206000,59,,2025-02-20T13:03:54Z,"","Goth Babe LLC",0.647,0.748,11,-8.674,0,0.349,0.379,0.00000136,0.12,0.523,120.057,4
31ys9ZVrUE0HyS2C6ePzpn,"Pretty Lady","Terra Firma","Tash Sultana",2021-02-19,279137,53,,2025-02-20T13:03:54Z,"","Mom+Pop",0.449,0.607,2,-7.356,1,0.161,0.688,0.00000386,0.0878,0.613,59.571,4
52MkFwdFmpPHCAbSgtaGgB,"Days Of Lantana","Is It?","Ben Howard",2023-06-16,315040,47,,2025-02-20T13:03:54Z,"indie folk,folk pop","Universal-Island Records Ltd.",0.623,0.511,5,-7.647,1,0.0325,0.298,0.203,0.157,0.444,74.985,4
60GK9ifHXOrJXJq46lwILc,"Tender love","I Need Space","Mounika.,Ocie Elliott",2020-06-19,203500,61,,2025-02-20T13:03:54Z,"lo-fi beats,indie folk","MaJu. Records & I.O.T Records",0.622,0.371,6,-12.724,1,0.0408,0.529,0.81,0.118,0.275,80.984,4
2dono2Koz7DEvGwxUsmMLq,"Linger - SiriusXM Session","Linger / Heading For The Door (Sirius XM Session)","Royel Otis",2024-05-31,186000,77,,2025-02-20T13:03:54Z,"indie","OURNESS PTY LTD",0.404,0.393,2,-6.607,1,0.0262,0.806,0.000443,0.0938,0.403,98.217,4
4RJYhQEGxI42b2OkiA6eYP,"Low","Hotel Surrender","Chet Faker",2021-07-16,274423,57,,2025-02-20T13:03:54Z,"","BMG Rights Management (Australia) Pty Ltd.",0.651,0.532,1,-8.727,1,0.068,0.132,0.186,0.158,0.567,79.542,4
2wQlywnCQG88drPNdEOuRO,"Petals","A Mineral Love","Bibio",2016-04-01,156000,54,,2025-02-20T13:03:54Z,"downtempo","Warp Records",0.314,0.344,9,-8.273,0,0.0325,0.889,0.00585,0.108,0.192,76.553,4
5ekn0rTXRpR5M99v64inDc,"tonight","tonight","BEACHPEOPLE",2022-02-04,164477,50,,2025-02-20T13:03:54Z,"","corner.company",0.682,0.472,7,-9.806,0,0.0296,0.572,0.88,0.0697,0.297,126.991,4
5XSxXLUFrOvxZcV7EQPWCg,"Too Timid","Vagabond","Holdan Sutton",2024-07-05,308072,30,,2025-02-20T13:03:54Z,"","Original Sin",0.683,0.355,4,-6.397,0,0.0332,0.135,0.0626,0.125,0.85,143.985,4
2ogq0f3TzF5OU1155mnKOy,"Golden Rope","Golden Rope","Bulgarian Cartrader",2022-03-11,220275,46,,2025-02-20T13:03:54Z,"","Bulgarian Cartrader",0.908,0.492,5,-8.103,1,0.042,0.463,0.0487,0.129,0.83,110.031,4
1WWF1IGjA7VjAFjnpaNoRI,"The Love","Slow Reveal: Chapter One","Dekker",2020-11-20,158948,60,,2025-02-20T13:03:54Z,"","B Dekker Records",0.695,0.47,0,-12.166,0,0.0366,0.677,0.491,0.104,0.506,149.951,4
3Acg5sKJcCjUQBHA8KjX5F,"Sunny Afternoon","Music","Benny Sings",2021-04-09,171756,58,,2025-02-20T13:03:54Z,"","Stones Throw Records",0.838,0.408,8,-11.721,1,0.0727,0.104,0.000593,0.0793,0.485,101.767,4
3PwiD0JaTDiBMWDUW2hXNX,"Confidence","Chiaroscuro","Ocean Alley",2018-03-09,253076,71,,2025-02-20T13:03:54Z,"surf rock","Ocean Alley",0.589,0.558,11,-9.602,0,0.0513,0.0624,0,0.105,0.573,140.789,4
