Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,genres_list,genre_embedding
0dpusM1gM6ULx0QvjJctbT,Pictures of You,Hiding in Plain Sight,"Drugdealer,Kate Bollinger",2022-10-28,189466,69,12183928166,2025-02-13T16:59:09Z,psychedelic pop,Mexican Summer,0.927,0.31,6.0,-14.604,0.0,0.0661,0.507,0.705,0.104,0.783,114.513,4.0,['psychedelic pop'],"[-0.2772945761680603, 0.9748565554618835, -0.2706246078014374, 1.4390232563018799, -0.8673323392868042, 0.24672017991542816, -1.272478461265564, -0.7464970350265503, 1.2500367164611816, 0.13946358859539032, -1.8631081581115723, 1.0940498113632202, 0.9652422070503235, -0.7261701822280884, 0.12354815006256104, -0.3582124710083008]"
7K6nhFus3bYxYojgrt1n9e,Musta Been A Ghost,Kind Reminder,Próxima Parada,2019-09-27,220096,63,12183928166,2025-02-13T16:59:09Z,"folk, soul, alternative, blues, usa",Próxima Parada,0.835,0.547,0.0,-9.189,1.0,0.072,0.607,0.0,0.0754,0.543,107.016,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4jmLj7bALZTQoe93dT623W,In Your Eyes,IV,"BADBADNOTGOOD,Charlotte Day Wilson",2016-07-08,247054,60,12183928166,2025-02-13T16:59:09Z,alternative r&b,Innovative Leisure,0.488,0.528,0.0,-5.952,0.0,0.0298,0.457,0.000792,0.108,0.438,79.765,4.0,['alternative r&b'],"[0.2450946718454361, -1.0490716695785522, -1.4695392847061157, 0.8077957034111023, -0.2793058156967163, 0.34066101908683777, -1.2751667499542236, -1.8861867189407349, 1.3297513723373413, 0.7939417362213135, -0.5315377116203308, 1.8012946844100952, 0.02284856140613556, -0.5206022262573242, 0.9083576798439026, 0.25098198652267456]"
3MtP9T0WF4xbIo8vqHYeXM,Spooky,Dusty... Definitely (Expanded Edtion),Dusty Springfield,1968-11-22,164173,71,12183928166,2025-02-13T16:59:09Z,"soul, female vocalists, 60s, pop, oldies",UMC (Universal Music Catalogue),0.752,0.445,4.0,-12.725,0.0,0.0338,0.5,0.0,0.0912,0.964,106.283,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4R5GN0mBvb6jkRj3Zvyhkl,Will I See You Again?,Will I See You Again?,Thee Sacred Souls,2020-12-01,240653,74,12183928166,2025-02-13T16:59:09Z,retro soul,Penrose Records,0.515,0.451,9.0,-8.047,0.0,0.0309,0.405,1.12e-06,0.111,0.661,169.931,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
4zIeRcsaho6lZuaXEYR1y3,Easier Said Than Done,Thee Sacred Souls,Thee Sacred Souls,2022-08-26,174706,74,12183928166,2025-02-16T04:40:49Z,retro soul,Penrose / Daptone Records,0.547,0.399,10.0,-9.808,1.0,0.0246,0.668,2.81e-06,0.132,0.563,84.127,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
5ZK62nSchTamBy8F6HIZov,Sea Gets Hotter,American Love Call,"Durand Jones & The Indications,Durand Jones,Aaron Frazer",2019-03-01,197226,72,12183928166,2025-02-16T04:40:51Z,retro soul,Dead Oceans,0.793,0.537,0.0,-7.123,0.0,0.0338,0.834,0.00256,0.326,0.778,120.012,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
6DYLWAdxEJvwWmT7EkeDkX,Charmed,Up and Away,"Σtella,Redinho",2022-06-17,158359,73,12183928166,2025-02-16T04:40:52Z,,Sub Pop Records,0.782,0.359,11.0,-9.088,1.0,0.0302,0.417,0.0237,0.203,0.793,98.996,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4A48ckONJNoXU5smWT9CeG,If You Don't Want My Love,Come Around and Love Me,Jalen Ngonda,2023-09-08,146813,75,12183928166,2025-02-16T04:40:52Z,retro soul,Daptone Records,0.595,0.776,11.0,-5.772,0.0,0.0386,0.129,0.000602,0.246,0.933,92.881,4.0,['retro soul'],"[0.7842516899108887, 0.5914891362190247, 0.5398790836334229, 0.27202147245407104, 0.19074158370494843, 1.8130228519439697, -0.5800071954727173, -0.6008235216140747, 0.10721626877784729, 1.3129016160964966, -1.188448429107666, 0.06842642277479172, 0.10598301887512207, -1.249554991722107, 0.6274387240409851, 0.3479209542274475]"
6Dq2LzijkY9WNPwBGDah4L,Didn't I,Let My People Go,Darondo,2005-01-24,209160,65,12183928166,2025-02-16T04:40:53Z,,Luv N' Haight,0.463,0.382,5.0,-11.682,1.0,0.0278,0.897,0.263,0.108,0.638,74.573,4.0,[''],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
