Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3KTuR5TklU3D3BiBQkWEpI,"RARI","RARI","Peso Pluma",2025-03-13,153394,75,,2025-03-14T04:00:23Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,sad sierreño,electro corridos,banda","Double P Records",0.751,0.697,7,-7.679,1,0.05,0.511,0.0171,0.0913,0.387,109.958,3
3KgHiAVuP88QoQs9CO4z1P,"TATTOO","TATTOO","Tito Double P",2025-02-27,167955,87,,2025-03-14T04:00:23Z,"corrido,corridos tumbados,corridos bélicos,electro corridos,música mexicana","Double P Records",0.755,0.747,10,-4.278,0,0.0656,0.482,0.00000548,0.0853,0.463,109.897,3
2lTm559tuIvatlT1u0JYG2,"BAILE INoLVIDABLE","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,367725,96,,2025-03-14T04:00:23Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
7rdgssw9cq1TloP5HbopVx,"Brinca (Acuario)","ASTROPICAL","Bomba Estéreo,Rawayana,ASTROPICAL",2025-03-07,219221,68,,2025-03-14T04:00:23Z,"latin alternative,spanish-language reggae,reggae","Sony Music Latin",0.827,0.678,5,-6.975,0,0.131,0.00291,0.0386,0.132,0.481,128.024,4
2SkB7jADnfiWH8qAE9H8cO,"En Privado","En Privado","Xavi,Manuel Turizo",2025-02-06,199399,83,,2025-03-14T04:00:23Z,"corridos tumbados,corrido,corridos bélicos,sad sierreño,música mexicana,banda,reggaeton,latin,colombian pop","Interscope Records",0.833,0.863,7,-3.822,1,0.0377,0.111,0.00000475,0.135,0.91,126.973,4
6TzgG83Mj85lfnkWTuyO8O,"Más Que Tú","Más Que Tú","Ozuna,Kapo",2025-02-12,197081,79,,2025-03-14T04:00:23Z,"reggaeton,latin,trap latino,urbano latino,latin afrobeat","Nibiru International/Sony Music Latin",0.828,0.743,2,-4.099,1,0.104,0.127,0.00000168,0.0897,0.774,102.988,4
5jHozZMWbrExAFni95mvvH,"Por Esos Ojos","Por Esos Ojos","Fuerza Regida",2025-02-11,188064,88,,2025-03-14T04:00:23Z,"corrido,corridos tumbados,corridos bélicos,música mexicana,banda,sierreño,electro corridos,sad sierreño","Rancho Humilde/Street Mob Records/Sony Music Latin",0.509,0.681,5,-6.978,0,0.106,0.294,0,0.191,0.511,102.462,3
3t72JCbFJ3syOhFC7x9Pa4,"M&M","Mi Vida Mi Muerte","Neton Vega",2025-02-14,166801,86,,2025-03-14T04:00:23Z,"corrido,corridos tumbados,corridos bélicos,electro corridos","Josa Records",0.596,0.839,5,-6.022,1,0.038,0.334,0.00713,0.0952,0.537,178.837,3
5TFD2bmFKGhoCRbX61nXY5,"NUEVAYoL","DeBÍ TiRAR MáS FOToS","Bad Bunny",2025-01-05,183685,94,,2025-03-14T04:00:23Z,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC.",0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
7hNgSEQ4Ho7kWBA2rKpDd9,"Amigos? No.","Amigos? No.","Oscar Maydon,Neton Vega",2025-03-06,226816,79,,2025-03-14T04:00:23Z,"corridos tumbados,corrido,corridos bélicos,electro corridos,sad sierreño,banda,música mexicana","Rancho Humilde/Sony Music Latin",0.673,0.653,10,-5.945,1,0.029,0.0765,0.000392,0.12,0.597,122.064,3
